,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,-2.12,1.44,-2.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
1,-2.12,1.44,-2.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
2,-2.12,1.44,-2.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
3,-2.56,1.44,-2.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
4,-2.56,1.44,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
5,-2.56,1.44,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
6,-2.56,1.44,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
7,-1.31,1.44,-0.88,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
8,-1.31,1.44,-0.88,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
9,-1.31,1.44,-0.88,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
10,-1.31,1.44,-0.88,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
11,-2.19,1.75,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
12,-2.19,1.75,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
13,-2.19,1.75,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
14,-2.19,1.75,-1.19,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
15,-1.81,3.44,-0.81,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
16,-1.81,3.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
17,-1.81,3.44,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
18,-1.81,3.44,-0.81,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
19,-2.62,3.19,-0.81,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
20,-2.62,3.19,-0.81,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
21,-2.62,3.19,-0.81,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
22,-2.62,3.19,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
23,-1.75,3.44,-1.94,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
24,-1.75,3.44,-1.94,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
25,-1.75,3.44,-1.94,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
26,-1.75,3.44,-1.94,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
27,-0.94,2.81,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
28,-0.94,2.81,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
29,-0.94,2.81,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
30,-0.94,2.81,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
31,-1.37,3.44,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
32,-1.37,3.44,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
33,-1.37,3.44,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
34,-1.37,3.44,-1.19,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
35,-2.19,4.50,-1.19,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
36,-2.19,4.50,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
37,-2.19,4.50,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
38,-2.19,4.50,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
39,-0.94,2.75,-2.37,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
40,-0.94,2.75,-2.37,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
41,-0.94,2.75,-2.37,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
42,-0.94,2.75,-2.37,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
43,-1.37,3.44,-1.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
44,-1.37,3.44,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
45,-1.37,3.44,-1.19,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
46,-1.37,3.44,-1.19,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
47,-2.62,2.44,-1.62,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
48,-2.62,2.44,-1.62,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
49,-2.62,2.44,-1.62,0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
50,-2.62,2.44,-1.62,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
51,-1.31,2.75,-2.75,-0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
52,-1.31,2.75,-2.75,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
53,-1.31,2.75,-2.75,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.01,0.03,-0.07,1.00
