,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgd,Ygd,Zgd,Xad,Yad,Zad,Xgdd,Ygdd,Zgdd,Xadd,Yadd,Zadd
0,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.02,0.72,-0.69,0.07,364479,7691,W,1.4483209652161408,-2.2077926736734392,1.4540076499420895,-1.8609098900015264,-2.740385017382611,-0.3494170745665858,0.0,0.0,0.0,-0.020500000000000008,0.029000000000000005,0.020999999999999998,-0.00010714285714285715,-0.001392857142857143,-0.0001428571428571428,0.0010250000000000003,-0.0014500000000000003,-0.00105
1,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364499,7711,W,1.4441859039813416,-2.462384595020487,1.4182427941153166,-2.2610048182652487,-2.5027427554825703,-0.5289141515450877,-0.002142857142857143,-0.027857142857142858,-0.002857142857142856,0.0,0.0,0.0,0.00015306122448979594,0.001989795918367347,0.00020408163265306112,0.0,0.0,0.0
2,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364513,7725,W,1.284792665154254,-2.6667291707527894,1.1961362288409592,-2.550636230158892,-2.5886084587933595,-0.7596855815796378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6920473773265666e-05,-0.0002030456852791878,8.460236886632833e-06
3,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364710,7922,W,0.9284329485333868,-2.856507916979531,0.8024453791573739,-2.829912906019527,-2.7805921872984767,-1.022490170365999,0.0,0.0,0.0,-0.003333333333333336,-0.04,0.001666666666666668,0.0,0.0,0.0,-0.00997222222222222,-0.018555555555555554,-0.003680555555555555
4,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.29,-8.24,2.19,0.02,0.72,-0.69,0.07,364734,7946,W,0.429498002107227,-3.091528465074388,0.3050779654117307,-3.1068291297569357,-3.022336563582475,-1.305811507636166,0.0,0.0,0.0,-0.24266666666666664,-0.4853333333333333,-0.08666666666666666,0.0044761904761904765,-0.002333333333333333,0.011571428571428571,0.016177777777777777,0.032355555555555554,0.005777777777777777
5,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364749,7961,W,-0.1439097032361312,2.8711264506641485,-0.2346886236413964,2.892541014420116,2.9916967526003004,-1.6039023865896025,0.06714285714285714,-0.034999999999999996,0.17357142857142857,0.0,0.0,0.0,-0.004795918367346939,0.0024999999999999996,-0.012397959183673469,0.0,0.0,0.0
6,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364763,7975,W,-0.7162627381186367,2.48196712944229,-0.7663900784878187,2.5989754815138264,2.708774801453369,-1.919014180712936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017033542976939198,0.00012054507337526197,-6.72606568832984e-05
7,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.07,0.69,-0.71,0.12,365187,8399,W,-1.2359180101796918,2.064158980568221,-1.2606628549619712,2.304492562224023,2.4234980597221,-2.2737864581209597,0.0,0.0,0.0,0.0722222222222222,0.05111111111111107,-0.02851851851851852,-0.0035185185185185185,0.0020105820105820104,-0.009867724867724867,-0.002674897119341563,-0.001893004115226336,0.001056241426611797
8,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365214,8426,W,-1.689185183704666,1.6370056345162824,-1.70876179716726,2.019332138383529,2.145703916208572,-2.792432748584841,-0.095,0.054285714285714284,-0.2664285714285714,0.0,0.0,0.0,0.0067857142857142855,-0.0038775510204081634,0.01903061224489796,0.008344155844155845,0.025616883116883118,0.0012337662337662339
9,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365228,8440,W,-2.076783028232199,1.202152985246711,-2.109718163679564,1.759910376368531,1.889672444729268,2.012935558244493,0.0,0.0,0.0,0.11681818181818183,0.35863636363636364,0.017272727272727273,0.0,0.0,0.0,-0.005600321395775942,-0.017172865013774106,-0.0005831037649219467
