,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Xgd,Ygd,Zgd,Xad,Yad,Zad,Xgdd,Ygdd,Zgdd,Xadd,Yadd,Zadd
0,0.17,-0.27,-1.62,2.25,-16.31,-8.69,-8.24,5.46,2.64,0.62,-0.04,-0.78,0.09,752992,2347,W,-0.3234596260214042,1.1420586712121812,-3.028937336564655,3.0486664988970897,-0.0567911655510599,-0.9727852770880184,0.0,0.0,0.0,-0.023589743589743587,-0.0058974358974358855,-0.01564102564102565,0.00028205128205128203,5.769230769230771e-05,-4.4871794871794766e-05,0.0006048652202498355,0.0001512163050624586,0.00040105193951347817
1,0.17,-0.27,-1.62,2.25,-16.31,-8.69,-9.16,5.23,2.03,0.62,-0.04,-0.78,0.09,753031,2386,W,-0.5960695312776644,1.2239477207798797,2.9672825973627512,2.956141833982798,-0.269962648614206,-1.1970181052483837,0.011,0.0022500000000000007,-0.001749999999999996,0.0,0.0,0.0,-0.00027499999999999996,-5.625000000000002e-05,4.37499999999999e-05,0.00023780487804878083,0.00016463414634146315,-0.0005853658536585365
2,0.61,-0.18,-1.69,2.25,-16.31,-8.69,-9.16,5.23,2.03,0.62,-0.04,-0.78,0.09,753071,2426,W,-0.9418593689885892,1.299876001854739,2.749749537096053,2.891516731473704,-0.4614653875609156,-1.151518791031534,0.0,0.0,0.0,0.009512195121951233,0.006585365853658526,-0.023414634146341456,-0.0003414634146341463,0.00015853658536585366,5.487804878048772e-05,-0.0002320047590719813,-0.00016061867935752503,0.0005710886377156452
3,0.61,-0.18,-1.69,2.25,-16.31,-8.69,-8.77,5.5,1.07,0.62,-0.04,-0.78,0.09,753112,2467,W,-1.3083960338711578,1.212374694574472,2.621918324302433,2.854387617704912,-0.6334343571940868,0.5345187950670285,-0.013999999999999999,0.006500000000000001,0.0022499999999999964,0.0,0.0,0.0,0.00034999999999999994,-0.00016250000000000002,-5.624999999999991e-05,4.375000000000018e-05,-0.0007874999999999998,0.0003375
4,0.05,0.08,-1.6,2.25,-16.31,-8.69,-8.77,5.5,1.07,0.62,-0.04,-0.78,0.09,753152,2507,W,-1.6749447390589431,0.9928279579395248,2.565269994074348,2.8178258045513207,-0.7134805479973719,0.6496152314111692,0.0,0.0,0.0,0.0017500000000000072,-0.03149999999999999,0.013500000000000002,0.0,0.0,0.0,-0.00044506578947368523,0.0007348684210526314,0.00024144736842105272
5,0.05,0.08,-1.6,2.25,-16.31,-8.69,-8.7,4.24,1.61,0.62,-0.04,-0.78,0.09,753192,2547,W,-2.0336039250935065,0.7089040290950454,2.5359487929420865,2.758142337977492,-0.4158732621888529,0.493356201440806,0.0,0.0,0.0,-0.0160526315789474,-0.0021052631578947385,0.02315789473684211,-0.0004671052631578948,0.0003355263157894737,0.00010526315789473693,0.00042243767313019477,5.540166204986154e-05,-0.0006094182825484766
6,0.05,0.08,-1.6,2.25,-16.31,-8.69,-9.31,4.16,2.49,0.62,-0.04,-0.78,0.09,753230,2585,W,-2.38241888484259,0.4075826556183342,2.5318208604391006,2.680729839420713,0.2425246847475973,0.3379886666462174,-0.017750000000000002,0.012750000000000001,0.0040000000000000036,0.0,0.0,0.0,0.00028125000000000003,-0.00043750000000000006,-1.2500000000000151e-05,0.0,0.0,0.0
7,-0.66,0.59,-1.44,2.25,-16.31,-8.69,-9.31,4.16,2.49,0.62,-0.04,-0.78,0.09,753270,2625,W,-2.721400599914421,0.1070297809903709,2.547291784735389,2.618941630037497,0.3364562144047024,0.2357577978310546,-0.006500000000000001,-0.004749999999999999,0.0034999999999999975,0.0,0.0,0.0,0.00016250000000000002,0.00011874999999999997,-8.749999999999993e-05,0.00018902439024390274,7.317073170731714e-05,0.0005609756097560975
8,-0.92,0.4,-1.3,2.25,-16.31,-8.69,-9.31,4.16,2.49,0.62,-0.04,-0.78,0.09,753310,2665,W,-3.052305068796094,-0.1946579223213377,2.5171682589150275,2.627318609836877,0.1524197501697901,0.1891356402257666,0.0,0.0,0.0,0.0075609756097561095,0.0029268292682926855,0.0224390243902439,0.0,0.0,0.0,6.543723973825071e-05,0.00040452111838191535,-0.0005472932778108269
9,-0.92,0.4,-1.3,2.25,-16.31,-8.69,-9.0,4.28,3.41,0.62,-0.04,-0.78,0.09,753351,2706,W,2.907143674423104,-0.4991336595228473,2.403156349122518,2.7614735598998887,-0.1235311473728363,0.1503783206825967,0.0,0.0,0.0,0.010243902439024389,0.019512195121951216,0.0,0.0,0.0,0.0,0.0012440511600237954,0.0026338488994646046,-0.000725609756097561
