,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.04,-0.03,0.01,10.81,27.50,39.25,5.08,5.74,6.41,0.00,0.00,0.00,0.00,192218,14:40:43.359686
1,-0.04,-0.03,0.01,10.81,27.50,39.25,6.80,2.95,6.87,0.00,0.00,0.00,0.00,192265,14:40:43.414309
2,-0.04,-0.03,0.01,10.81,27.50,39.25,2.86,3.18,8.94,0.00,0.00,0.00,0.00,192329,14:40:43.476565
3,-0.03,-0.04,0.01,10.81,27.50,39.25,2.86,3.18,8.94,0.00,0.00,0.00,0.00,192389,14:40:43.539117
4,-0.04,-0.03,0.00,10.81,27.50,39.25,2.86,3.18,8.94,0.00,0.00,0.00,0.00,194567,14:40:45.616931
5,-0.04,-0.03,0.00,10.81,27.50,39.25,2.89,3.14,8.98,0.00,0.00,0.00,0.00,196772,14:40:47.817835
6,-0.04,-0.03,0.00,10.81,27.50,39.25,2.40,3.33,9.98,0.00,0.00,0.00,0.00,198965,14:40:50.040206
7,-0.04,-0.03,0.00,10.81,27.50,39.25,2.97,3.06,8.90,0.00,0.00,0.00,0.00,201015,14:40:52.163804
8,-0.01,0.00,0.00,10.81,27.50,39.25,2.97,3.06,8.90,0.00,0.00,0.00,0.00,203079,14:40:54.231317
9,-0.01,0.00,0.00,10.81,27.50,39.25,2.78,3.25,8.98,0.00,0.00,0.00,0.00,205224,14:40:56.263653
