,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.07,-0.17,-0.45,-3.37,-20.12,-12.75,2.19,9.77,-0.23,0.00,0.00,0.00,0.00,462172,17:00:22.354283
1,0.07,-0.17,-0.45,-3.37,-20.12,-12.75,1.81,11.27,0.11,0.00,0.00,0.00,0.00,462202,17:00:22.392348
2,0.07,-0.17,-0.45,-3.37,-20.12,-12.75,3.30,9.16,0.61,0.00,0.00,0.00,0.00,464353,17:00:24.433871
3,-0.00,0.06,-0.00,-3.37,-20.12,-12.75,3.30,9.16,0.61,0.00,0.00,0.00,0.00,466549,17:00:26.614341
4,0.02,-0.06,0.02,-3.37,-20.12,-12.75,3.30,9.16,0.61,0.00,0.00,0.00,0.00,468601,17:00:28.793422
5,-0.35,0.20,0.21,-3.37,-20.12,-12.75,3.30,9.16,0.61,0.00,0.00,0.00,0.00,470679,17:00:30.849551
6,0.05,-0.49,-0.87,-3.37,-20.12,-12.75,3.30,9.16,0.61,0.00,0.00,0.00,0.00,471804,17:00:31.991944
7,0.05,-0.49,-0.87,-3.37,-20.12,-12.75,2.38,10.58,-0.61,0.00,0.00,0.00,0.00,471863,17:00:32.046159
8,0.05,-0.49,-0.87,-3.37,-20.12,-12.75,1.08,8.78,0.54,0.00,0.00,0.00,0.00,471895,17:00:32.086129
9,0.47,0.02,-0.17,-3.37,-20.12,-12.75,1.08,8.78,0.54,0.00,0.00,0.00,0.00,471921,17:00:32.108671
10,0.47,0.02,-0.17,-3.37,-20.12,-12.75,0.85,9.85,0.57,0.00,0.00,0.00,0.00,471942,17:00:32.132393
11,0.31,-0.14,-0.10,-3.37,-20.12,-12.75,0.85,9.85,0.57,0.00,0.00,0.00,0.00,471966,17:00:32.156023
12,0.31,-0.14,-0.10,-3.37,-20.12,-12.75,0.77,12.07,0.65,0.00,0.00,0.00,0.00,471998,17:00:32.183001
13,0.16,0.09,0.04,-3.37,-20.12,-12.75,0.77,12.07,0.65,0.00,0.00,0.00,0.00,472053,17:00:32.213065
