,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.00,0.01,-0.00,-18.19,-11.13,-2.62,4.07,8.89,-0.19,0.00,0.00,0.00,0.00,266960,16:57:07.155222
1,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,4.07,8.89,-0.19,0.00,0.00,0.00,0.00,267024,16:57:07.217141
2,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.34,9.08,-0.27,0.00,0.00,0.00,0.00,281886,16:57:22.073500
3,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,2.65,7.78,-0.12,0.00,0.00,0.00,0.00,281936,16:57:22.126570
4,0.01,0.20,-0.03,-18.19,-11.13,-2.62,2.65,7.78,-0.12,0.00,0.00,0.00,0.00,281966,16:57:22.162072
5,0.01,0.20,-0.03,-18.19,-11.13,-2.62,1.08,8.97,-0.88,0.00,0.00,0.00,0.00,281990,16:57:22.186930
6,0.20,0.39,-0.04,-18.19,-11.13,-2.62,1.08,8.97,-0.88,0.00,0.00,0.00,0.00,282025,16:57:22.222344
7,0.20,0.39,-0.04,-18.19,-11.13,-2.62,1.46,10.08,-0.96,0.00,0.00,0.00,0.00,282044,16:57:22.241285
8,0.20,0.39,-0.04,-18.19,-11.13,-2.62,0.89,10.58,-1.46,0.00,0.00,0.00,0.00,282096,16:57:22.294361
9,0.08,0.31,0.28,-18.19,-11.13,-2.62,0.89,10.58,-1.46,0.00,0.00,0.00,0.00,282122,16:57:22.316655
10,0.08,0.31,0.28,-18.19,-11.13,-2.62,-1.03,9.31,-1.15,0.00,0.00,0.00,0.00,282171,16:57:22.364038
11,0.08,0.31,0.28,-18.19,-11.13,-2.62,-0.68,8.89,-0.77,0.00,0.00,0.00,0.00,282203,16:57:22.397953
12,0.08,0.31,0.28,-18.19,-11.13,-2.62,1.65,8.43,-0.08,0.00,0.00,0.00,0.00,282231,16:57:22.424058
13,0.16,-0.33,0.10,-18.19,-11.13,-2.62,1.65,8.43,-0.08,0.00,0.00,0.00,0.00,282308,16:57:22.504353
14,0.16,-0.33,0.10,-18.19,-11.13,-2.62,2.27,8.39,-0.23,0.00,0.00,0.00,0.00,282354,16:57:22.536747
15,0.46,0.77,0.16,-18.19,-11.13,-2.62,2.27,8.39,-0.23,0.00,0.00,0.00,0.00,282392,16:57:22.586215
16,0.46,0.77,0.16,-18.19,-11.13,-2.62,2.00,9.05,0.04,0.00,0.00,0.00,0.00,282442,16:57:22.636046
17,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.00,9.05,0.04,0.00,0.00,0.00,0.00,282544,16:57:22.740802
18,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.15,8.36,-1.50,0.00,0.00,0.00,0.00,282577,16:57:22.771759
19,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.92,8.36,-2.49,0.00,0.00,0.00,0.00,282605,16:57:22.802721
20,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.46,7.78,-2.99,0.00,0.00,0.00,0.00,282634,16:57:22.829597
21,0.13,0.50,0.53,-18.19,-11.13,-2.62,3.00,9.35,-3.30,0.00,0.00,0.00,0.00,282668,16:57:22.866205
22,0.13,0.50,0.53,-18.19,-11.13,-2.62,3.64,11.50,-3.45,0.00,0.00,0.00,0.00,282705,16:57:22.902202
23,0.13,0.50,0.53,-30.81,-15.63,21.87,3.64,11.50,-3.45,0.00,0.00,0.00,0.00,282744,16:57:22.939685
24,0.13,0.50,0.53,-30.81,-15.63,21.87,2.88,12.84,-0.65,0.00,0.00,0.00,0.00,282783,16:57:22.973527
25,-0.51,-0.36,0.20,-30.81,-15.63,21.87,2.88,12.84,-0.65,0.00,0.00,0.00,0.00,282816,16:57:23.011336
26,-0.51,-0.36,0.20,-30.81,-15.63,21.87,2.34,8.89,-0.04,0.00,0.00,0.00,0.00,282854,16:57:23.050154
27,-0.51,-0.36,0.20,-29.06,-14.31,23.37,2.34,8.89,-0.04,0.00,0.00,0.00,0.00,282898,16:57:23.094360
28,-0.26,0.35,-0.23,-29.06,-14.31,23.37,2.34,8.89,-0.04,0.00,0.00,0.00,0.00,283016,16:57:23.210417
29,-0.26,0.35,-0.23,-29.06,-14.31,23.37,3.80,9.20,-1.23,0.00,0.00,0.00,0.00,283187,16:57:23.379131
30,-0.37,0.01,-0.53,-29.06,-14.31,23.37,3.80,9.20,-1.23,0.00,0.00,0.00,0.00,283229,16:57:23.422445
