,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.04,-0.05,-0.01,-3.50,-3.56,5.56,0.06,9.84,1.54,0.65,-0.01,-0.02,0.76,1114851
1,0.04,-0.05,-0.01,-3.50,-3.56,5.56,-0.05,9.80,1.39,0.65,-0.01,-0.02,0.76,1114868
2,0.04,-0.05,-0.01,-3.50,-3.56,5.56,-0.13,9.65,1.27,0.65,-0.01,-0.02,0.76,1114886
3,0.01,-0.06,0.02,-3.50,-3.56,5.56,-0.13,9.65,1.27,0.65,-0.01,-0.02,0.76,1114901
4,0.01,-0.06,0.02,-3.50,-3.56,5.56,-0.17,9.61,1.39,0.65,-0.01,-0.02,0.76,1114916
5,0.01,-0.06,0.02,-3.50,-3.56,5.56,-0.05,9.69,1.62,0.65,-0.01,-0.02,0.76,1114930
6,0.05,-0.01,-0.01,-3.50,-3.56,5.56,-0.05,9.69,1.62,0.65,-0.01,-0.02,0.76,1114945
7,0.05,-0.01,-0.01,-3.50,-3.56,5.56,-0.05,9.69,1.62,0.65,-0.02,-0.02,0.76,1114960
8,0.05,-0.01,-0.01,-3.50,-3.56,5.56,-0.02,9.69,1.81,0.65,-0.02,-0.02,0.76,1114975
9,-0.03,0.01,-0.03,-3.50,-3.56,5.56,-0.02,9.69,1.81,0.65,-0.02,-0.02,0.76,1114990
10,-0.03,0.01,-0.03,-3.50,-3.56,5.56,-0.02,9.69,1.81,0.65,-0.02,-0.02,0.76,
11,-0.03,0.01,-0.03,-3.50,-3.56,5.56,0.10,9.73,1.73,0.65,-0.02,-0.02,0.76,1118064
12,-0.03,0.01,-0.03,-3.50,-3.56,5.56,-0.02,9.69,1.31,0.65,-0.02,-0.02,0.76,1118082
13,-0.03,0.01,-0.03,-3.50,-3.56,5.56,6.42,7.66,1.62,0.65,-0.02,-0.02,0.76,1118103
14,-0.03,0.01,-0.03,-3.50,-3.56,5.56,6.80,8.73,2.38,0.65,-0.02,-0.02,0.76,1118130
15,-0.10,0.33,0.56,-3.50,-3.56,5.56,6.80,8.73,2.38,0.65,-0.02,-0.02,0.76,1118149
16,-0.10,0.33,0.56,-13.25,-6.50,4.00,6.80,8.73,2.38,0.65,-0.02,-0.02,0.76,1118167
17,-0.10,0.33,0.56,-13.25,-6.50,4.00,12.85,8.73,2.23,0.65,-0.02,-0.02,0.76,1118190
18,-0.41,1.48,0.99,-13.25,-6.50,4.00,12.85,8.73,2.23,0.65,-0.02,-0.02,0.76,1118214
19,-0.41,1.48,0.99,-13.25,-6.50,4.00,10.32,6.89,3.00,0.65,-0.02,-0.02,0.76,1118231
20,-0.39,1.89,1.21,-13.25,-6.50,4.00,10.32,6.89,3.00,0.65,-0.02,-0.02,0.76,1118254
21,-0.39,1.89,1.21,-13.25,-6.50,4.00,8.56,4.79,2.77,0.65,-0.02,-0.02,0.76,1118277
22,-0.39,1.89,1.21,-13.25,-6.50,4.00,7.49,3.95,2.30,0.65,-0.02,-0.02,0.76,1118295
23,-0.25,1.74,0.96,-13.25,-6.50,4.00,7.49,3.95,2.30,0.65,-0.02,-0.02,0.76,1118311
24,-0.25,1.74,0.96,-13.25,-6.50,4.00,7.87,4.90,2.15,0.65,-0.02,-0.02,0.76,1118329
25,-0.02,1.60,0.96,-13.25,-6.50,4.00,7.87,4.90,2.15,0.65,-0.02,-0.02,0.76,1118347
