,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,0.01,0.00,21.94,20.94,40.69,-8.64,1.96,4.07,-0.28,0.46,0.59,0.60,1932092
1,0.00,0.01,0.00,21.94,20.94,40.69,-8.64,1.96,4.07,-0.28,0.46,0.59,0.60,1932113
2,0.00,0.01,0.00,21.94,20.94,40.69,-8.64,1.96,4.07,-0.28,0.46,0.59,0.60,1932127
3,0.00,0.01,0.00,21.94,20.94,40.69,-8.64,1.96,4.07,-0.28,0.46,0.59,0.60,1932150
4,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.64,1.96,4.07,-0.28,0.46,0.59,0.60,1932167
5,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.64,1.96,4.03,-0.28,0.46,0.59,0.60,1932187
6,-0.01,-0.00,0.01,21.94,20.94,40.69,-8.64,1.96,4.03,-0.28,0.46,0.59,0.60,1932204
7,-0.01,-0.00,0.01,21.94,20.94,40.69,-8.64,1.96,4.03,-0.28,0.46,0.59,0.60,1932222
8,-0.01,-0.00,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932246
9,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932266
10,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932284
11,-0.00,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932302
12,-0.00,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932319
13,-0.00,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932347
14,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932365
15,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.64,1.96,4.11,-0.28,0.46,0.59,0.60,1932379
16,-0.01,-0.01,0.01,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932394
17,-0.00,-0.01,0.00,21.94,20.94,40.69,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1932409
18,-0.00,-0.01,0.00,21.94,20.94,40.69,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932423
19,-0.00,-0.00,0.01,21.94,20.94,40.69,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932438
20,-0.00,-0.00,0.01,21.94,20.94,40.69,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932453
21,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932466
22,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932751
23,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932780
24,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932795
25,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1932812
26,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.67,2.00,4.07,-0.28,0.46,0.59,0.60,1933080
27,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933108
28,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933122
29,-0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933139
30,0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933157
31,0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933171
32,0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933187
33,0.00,0.00,-0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933200
34,0.00,0.00,-0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933214
35,0.00,0.00,-0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933297
36,-0.00,-0.01,-0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933316
37,-0.00,-0.01,-0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933337
38,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933378
39,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933394
40,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933426
41,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933444
42,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933468
43,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933492
44,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933513
45,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,1.96,4.11,-0.28,0.46,0.59,0.60,1933531
46,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933549
47,-0.01,0.00,-0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933571
48,-0.01,0.00,-0.00,20.87,19.06,35.75,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1933591
49,0.00,0.01,-0.00,20.87,19.06,35.75,-8.67,1.96,4.07,-0.28,0.46,0.59,0.60,1933612
50,0.00,0.01,-0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933634
51,0.00,0.01,-0.00,20.87,19.06,35.75,-8.64,1.96,4.11,-0.28,0.46,0.59,0.60,1933652
52,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,1.96,4.11,-0.28,0.46,0.59,0.60,1933676
53,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933699
54,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933719
55,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933739
56,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933757
57,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933780
58,0.00,0.01,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933798
59,-0.00,0.00,-0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933815
60,-0.00,0.00,-0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933829
61,0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933843
62,0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933872
63,0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933886
64,0.00,-0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933907
65,-0.00,-0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933955
66,-0.00,-0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1933973
67,-0.00,-0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1933994
68,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1934013
69,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.07,-0.28,0.46,0.59,0.60,1934031
70,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1934047
71,-0.00,0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1934069
72,-0.00,0.00,0.01,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1934083
73,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1934102
74,-0.00,0.00,0.00,20.87,19.06,35.75,-8.64,2.00,4.11,-0.28,0.46,0.59,0.60,1934124
