,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.03,0.02,0.06,-3.00,-3.44,5.50,-0.39,9.60,1.43,0.18,0.61,0.73,0.25,465086
1,-0.03,0.02,0.06,-3.00,-3.44,5.50,-0.39,9.60,1.43,0.18,0.61,0.73,0.25,465107
2,-0.03,0.02,0.06,-3.00,-3.44,5.50,-0.39,9.71,1.51,0.18,0.61,0.73,0.25,465126
3,-0.03,0.02,0.06,-3.00,-3.44,5.50,-0.39,9.71,1.51,0.18,0.61,0.73,0.25,465144
4,-0.03,0.02,0.06,-3.00,-3.44,5.50,-0.43,9.79,1.51,0.18,0.61,0.73,0.25,465160
5,0.01,0.07,0.06,-3.00,-3.44,5.50,-0.43,9.79,1.51,0.18,0.61,0.73,0.25,465175
6,0.01,0.07,0.06,-3.00,-3.44,5.50,-0.51,9.71,1.59,0.18,0.61,0.73,0.25,465190
7,0.01,0.07,0.06,-3.00,-3.44,5.50,-0.62,9.68,1.62,0.18,0.61,0.73,0.25,465204
8,0.03,0.01,0.05,-3.00,-3.44,5.50,-0.62,9.68,1.62,0.18,0.61,0.73,0.25,465218
9,0.03,0.01,0.05,-3.00,-3.44,5.50,-0.62,9.68,1.62,0.18,0.61,0.73,0.25,465232
10,0.03,0.01,0.05,-3.00,-3.44,5.50,-0.62,9.71,1.66,0.18,0.61,0.73,0.25,465247
11,0.05,-0.02,0.02,-3.00,-3.44,5.50,-0.62,9.71,1.66,0.18,0.61,0.73,0.25,465260
12,0.05,-0.02,0.02,-3.00,-3.44,5.50,-0.62,9.71,1.66,0.19,0.61,0.73,0.24,466824
13,0.05,-0.02,0.02,-3.00,-3.44,5.50,-0.62,9.71,1.74,0.19,0.61,0.73,0.24,466859
14,0.05,-0.02,0.02,-3.00,-3.44,5.50,-0.39,9.75,1.78,0.19,0.61,0.73,0.24,466876
15,0.05,-0.02,0.02,-3.00,-3.44,5.50,-0.43,9.75,1.74,0.19,0.61,0.73,0.24,466897
16,0.05,-0.02,0.02,-3.00,-3.44,5.50,-0.39,9.75,1.74,0.19,0.61,0.73,0.24,466919
17,-0.00,-0.00,0.00,-3.00,-3.44,5.50,-0.39,9.75,1.74,0.19,0.61,0.73,0.24,466939
18,-0.00,-0.00,0.00,-3.00,-3.44,5.50,-0.36,9.68,1.74,0.19,0.61,0.73,0.24,466955
19,-0.01,0.00,0.00,-3.00,-3.44,5.50,-0.36,9.68,1.74,0.19,0.61,0.73,0.24,466974
20,-0.01,0.00,0.00,-3.81,-4.37,3.75,-0.36,9.68,1.74,0.19,0.61,0.73,0.24,466992
21,-0.01,0.00,0.00,-3.81,-4.37,3.75,-0.36,9.79,1.70,0.19,0.61,0.73,0.24,467010
22,-0.00,-0.01,-0.01,-3.81,-4.37,3.75,-0.36,9.79,1.70,0.19,0.61,0.73,0.24,467031
23,-0.00,-0.01,-0.01,-3.81,-4.37,3.75,-0.32,9.75,1.70,0.19,0.61,0.73,0.24,467064
24,-0.00,0.01,0.01,-3.81,-4.37,3.75,-0.32,9.75,1.70,0.19,0.61,0.73,0.24,467085
25,-0.00,0.01,0.01,-3.81,-4.37,3.75,-0.32,9.75,1.82,0.19,0.61,0.73,0.24,467103
26,-0.03,-0.01,0.03,-3.81,-4.37,3.75,-0.32,9.75,1.82,0.19,0.61,0.73,0.24,467129
27,-0.03,-0.01,0.03,-3.81,-4.37,3.75,-0.32,9.75,1.82,0.19,0.61,0.73,0.25,467146
28,-0.04,-0.08,0.04,-3.81,-4.37,3.75,-0.32,9.75,1.82,0.19,0.61,0.73,0.25,467161
29,-0.04,-0.08,0.04,-3.81,-4.37,3.75,-0.32,9.75,1.82,0.19,0.61,0.73,0.25,467177
30,-0.04,-0.08,0.04,-3.81,-4.37,3.75,-0.39,9.71,1.66,0.19,0.61,0.73,0.25,467193
31,-0.02,-0.05,0.04,-3.81,-4.37,3.75,-0.39,9.71,1.66,0.19,0.61,0.73,0.25,467219
32,-0.02,-0.05,0.04,-3.81,-4.37,3.75,-0.39,9.71,1.66,0.19,0.61,0.73,0.25,467245
33,-0.02,-0.05,0.04,-3.81,-4.37,3.75,-0.39,9.87,1.74,0.19,0.61,0.73,0.25,467266
34,-0.02,-0.05,0.04,-3.81,-4.37,3.75,-0.47,9.83,1.70,0.19,0.61,0.73,0.25,467291
35,-0.02,-0.05,0.04,-3.81,-4.37,3.75,-0.43,9.79,1.78,0.19,0.61,0.73,0.25,467310
36,-0.01,0.00,-0.01,-3.81,-4.37,3.75,-0.43,9.79,1.78,0.19,0.61,0.73,0.25,467330
37,-0.01,0.00,-0.01,-3.81,-4.37,3.75,-0.39,9.64,1.78,0.19,0.61,0.73,0.25,467351
38,-0.01,0.00,-0.01,-3.81,-4.37,3.75,-0.43,9.64,1.78,0.19,0.61,0.73,0.25,467369
39,0.00,0.04,-0.05,-3.81,-4.37,3.75,-0.43,9.64,1.78,0.19,0.61,0.73,0.25,467386
40,0.00,0.04,-0.05,-3.81,-4.37,3.75,-0.39,9.68,1.78,0.19,0.61,0.73,0.25,467404
41,0.00,0.01,-0.06,-3.81,-4.37,3.75,-0.39,9.68,1.78,0.19,0.61,0.73,0.25,467427
42,0.00,0.01,-0.06,-3.81,-4.37,3.75,-0.39,9.68,1.78,0.19,0.61,0.73,0.25,467450
43,0.00,0.01,-0.06,-3.81,-4.37,3.75,-0.20,9.79,1.78,0.19,0.61,0.73,0.25,467469
44,-0.01,0.00,-0.03,-3.81,-4.37,3.75,-0.20,9.79,1.78,0.19,0.61,0.73,0.25,467493
45,-0.01,0.00,-0.03,-3.81,-4.37,3.75,-0.20,9.83,1.78,0.19,0.61,0.73,0.25,467510
46,-0.02,-0.02,0.01,-3.81,-4.37,3.75,-0.20,9.83,1.78,0.19,0.61,0.73,0.25,467533
47,-0.02,-0.02,0.01,-3.81,-4.37,3.75,-0.24,9.79,1.74,0.19,0.61,0.73,0.25,467558
48,-0.03,-0.02,0.04,-3.81,-4.37,3.75,-0.24,9.79,1.74,0.19,0.61,0.73,0.25,467582
49,-0.03,-0.02,0.04,-3.81,-4.37,3.75,-0.32,9.68,1.70,0.19,0.61,0.73,0.25,467604
50,-0.01,-0.05,0.05,-3.81,-4.37,3.75,-0.32,9.68,1.70,0.19,0.61,0.73,0.25,467621
51,-0.01,-0.05,0.05,-3.81,-4.37,3.75,-0.32,9.68,1.70,0.19,0.61,0.73,0.25,467641
52,-0.01,-0.05,0.05,-3.81,-4.37,3.75,-0.32,9.64,1.78,0.19,0.61,0.73,0.25,467660
53,0.00,0.02,0.02,-3.81,-4.37,3.75,-0.32,9.64,1.78,0.19,0.61,0.73,0.25,467677
54,0.00,0.02,0.02,-3.81,-4.37,3.75,-0.43,9.75,1.70,0.19,0.61,0.73,0.25,467693
55,0.00,0.02,0.02,-3.81,-4.37,3.75,-0.39,9.75,1.74,0.19,0.61,0.73,0.25,467719
