,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.03,-0.60,0.67,-4.25,-2.00,5.00,-0.77,9.25,0.73,0.29,0.54,0.68,0.39,805921
1,0.03,-0.60,0.67,-4.25,-2.00,5.00,-0.89,8.75,0.96,0.29,0.54,0.68,0.39,806249
2,0.44,-0.58,0.38,-4.25,-2.00,5.00,-0.89,8.75,0.96,0.29,0.54,0.68,0.39,806278
3,0.04,0.77,-0.00,-4.25,-2.00,5.00,-0.89,8.75,0.96,0.29,0.54,0.68,0.39,806298
4,0.04,0.77,-0.00,-4.25,-2.00,5.00,-0.20,9.71,1.08,0.29,0.54,0.68,0.39,806315
5,0.01,0.57,-0.01,-4.25,-2.00,5.00,-0.20,9.71,1.08,0.29,0.54,0.68,0.39,806330
6,0.01,0.57,-0.01,-4.25,-2.00,5.00,-0.47,9.48,1.12,0.29,0.54,0.68,0.39,806346
7,0.01,0.57,-0.01,-4.25,-2.00,5.00,-0.54,9.45,1.39,0.29,0.54,0.68,0.39,806361
8,0.02,0.19,-0.06,-4.25,-2.00,5.00,-0.54,9.45,1.39,0.29,0.54,0.68,0.39,806378
9,0.02,0.19,-0.06,-4.25,-2.00,5.00,-0.47,9.45,1.58,0.29,0.54,0.68,0.39,806393
10,0.04,-0.00,-0.09,-4.25,-2.00,5.00,-0.47,9.45,1.58,0.29,0.54,0.68,0.39,806407
11,0.04,-0.00,-0.09,-4.25,-2.00,5.00,-0.47,9.45,1.58,0.28,0.58,0.67,0.37,808407
12,0.04,-0.00,-0.09,-4.25,-2.00,5.00,-0.20,9.60,1.89,0.28,0.58,0.67,0.37,809427
13,0.04,-0.00,-0.09,-4.25,-2.00,5.00,-1.12,9.52,1.66,0.28,0.58,0.67,0.37,809476
14,0.04,-0.00,-0.09,-4.25,-2.00,5.00,-0.89,9.64,1.31,0.28,0.58,0.67,0.37,809496
15,0.04,-0.00,-0.09,-4.25,-2.00,5.00,-1.00,9.68,1.89,0.28,0.58,0.67,0.37,809521
16,0.03,-0.02,-0.00,-4.25,-2.00,5.00,-1.00,9.68,1.89,0.28,0.58,0.67,0.37,809541
17,0.03,-0.02,-0.00,-4.25,-2.00,5.00,-0.81,9.56,1.73,0.28,0.58,0.67,0.37,809560
18,0.08,-0.02,0.01,-4.25,-2.00,5.00,-0.81,9.56,1.73,0.28,0.58,0.67,0.37,809576
19,0.08,-0.02,0.01,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.28,0.58,0.67,0.37,809595
20,0.01,-0.06,-0.02,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.28,0.58,0.67,0.37,809625
21,0.01,-0.06,-0.02,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.23,0.60,0.69,0.33,809641
22,-0.01,-0.02,-0.01,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.23,0.60,0.69,0.33,809726
23,-0.01,-0.02,-0.01,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.23,0.60,0.69,0.33,809745
24,-0.01,0.03,-0.01,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.23,0.60,0.69,0.33,809761
25,-0.01,0.03,-0.01,-4.25,-2.00,5.00,-1.00,9.64,1.66,0.23,0.60,0.69,0.33,809783
26,-0.01,0.03,-0.01,-4.25,-2.00,5.00,-0.77,9.64,1.81,0.23,0.60,0.69,0.33,809797
