,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.01,0.00,0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2031815
1,0.01,0.00,0.00,15.94,24.00,36.50,-8.45,2.30,4.22,-0.32,0.43,0.66,0.53,2031840
2,0.01,0.00,0.00,15.94,24.00,36.50,-8.45,2.30,4.22,-0.32,0.43,0.66,0.53,2031863
3,0.00,-0.00,-0.00,15.94,24.00,36.50,-8.45,2.30,4.22,-0.32,0.43,0.66,0.53,2031880
4,0.00,-0.00,-0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2031897
5,0.00,-0.00,-0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2031914
6,-0.00,0.00,0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2031929
7,-0.00,0.00,0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2031960
8,-0.01,0.00,-0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2031986
9,-0.01,0.00,-0.00,15.94,24.00,36.50,-8.45,2.30,4.18,-0.32,0.43,0.66,0.53,2032009
10,-0.01,0.00,-0.00,15.94,24.00,36.50,-8.45,2.30,4.22,-0.32,0.43,0.66,0.53,2032028
11,-0.01,-0.00,-0.01,15.94,24.00,36.50,-8.45,2.30,4.22,-0.32,0.43,0.66,0.53,2032048
12,-0.01,-0.00,-0.01,15.94,24.00,36.50,-8.48,2.30,4.22,-0.32,0.43,0.66,0.53,2032066
13,0.00,0.01,-0.01,15.94,24.00,36.50,-8.48,2.30,4.22,-0.32,0.43,0.66,0.53,2032085
14,0.00,0.01,-0.01,15.94,24.00,36.50,-8.48,2.27,4.18,-0.32,0.43,0.66,0.53,2032117
15,0.00,0.00,0.00,15.94,24.00,36.50,-8.48,2.27,4.18,-0.32,0.43,0.66,0.53,2032138
16,0.00,0.00,0.00,15.94,24.00,36.50,-8.48,2.27,4.22,-0.32,0.43,0.66,0.53,2032153
17,0.00,0.00,0.00,15.94,24.00,36.50,-8.48,2.30,4.18,-0.32,0.43,0.66,0.53,2032177
18,0.00,0.00,0.01,15.94,24.00,36.50,-8.48,2.30,4.18,-0.32,0.43,0.66,0.53,2032196
19,0.00,0.00,0.01,15.94,24.00,36.50,-8.48,2.30,4.22,-0.32,0.43,0.66,0.53,2032212
20,0.00,0.00,0.00,15.94,24.00,36.50,-8.48,2.30,4.22,-0.32,0.43,0.66,0.53,2032230
