,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397253
1,0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397283
2,0.00,0.01,-0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397305
3,0.00,0.01,-0.00,4.94,27.12,49.44,-8.52,2.34,4.11,-0.18,0.51,0.48,0.69,2397326
4,-0.00,-0.00,0.00,4.94,27.12,49.44,-8.52,2.34,4.11,-0.18,0.51,0.48,0.69,2397340
5,-0.00,-0.00,0.00,4.94,27.12,49.44,-8.52,2.34,4.11,-0.18,0.51,0.48,0.69,2397358
6,-0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397376
7,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397403
8,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397423
9,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397442
10,-0.00,-0.01,0.01,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397465
11,-0.00,-0.01,0.01,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397483
12,-0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397502
13,-0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397517
14,-0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397543
15,-0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397568
16,-0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397593
17,0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397614
18,0.00,-0.01,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397636
19,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397653
20,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397673
21,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397693
22,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397712
23,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397733
24,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397756
25,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397779
26,0.00,-0.00,0.00,4.94,27.12,49.44,-8.48,2.34,4.11,-0.18,0.51,0.48,0.69,2397798
