,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.03,0.03,0.01,7.62,-37.31,16.56,0.08,9.79,-0.68,0.67,-0.21,-0.21,0.68,3126144,16:33:20.852250
1,-0.01,0.02,0.00,7.62,-37.31,16.56,-0.07,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143119,16:33:37.889325
2,-0.01,0.02,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143297,16:33:38.071494
3,-0.01,0.02,0.00,7.62,-37.31,16.56,0.05,10.02,-0.26,0.67,-0.21,-0.21,0.68,3143345,16:33:38.129441
4,-0.01,0.00,0.00,7.62,-37.31,16.56,0.05,10.02,-0.26,0.67,-0.21,-0.21,0.68,3143402,16:33:38.186908
5,-0.01,0.00,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143436,16:33:38.213524
6,-0.01,-0.00,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143486,16:33:38.271254
7,-0.01,-0.00,0.00,7.62,-37.31,16.56,0.12,10.06,-0.22,0.67,-0.21,-0.21,0.68,3143517,16:33:38.304336
8,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.12,10.06,-0.22,0.67,-0.21,-0.21,0.68,3143576,16:33:38.362273
9,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.26,0.67,-0.21,-0.21,0.68,3143620,16:33:38.407967
10,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.12,10.02,-0.18,0.67,-0.21,-0.21,0.68,3143685,16:33:38.464126
11,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143729,16:33:38.512770
12,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3143764,16:33:38.544926
13,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,10.06,-0.18,0.67,-0.21,-0.21,0.68,3143869,16:33:38.647483
14,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143918,16:33:38.700879
15,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,9.98,-0.18,0.67,-0.21,-0.21,0.68,3143964,16:33:38.746077
16,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143991,16:33:38.778174
17,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144024,16:33:38.809030
18,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144066,16:33:38.846704
19,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3144139,16:33:38.920860
20,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.26,0.67,-0.21,-0.21,0.68,3144192,16:33:38.974162
21,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3144290,16:33:39.070949
22,-0.01,0.02,0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3144356,16:33:39.136766
