,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,1.09,0.21,-0.60,21.94,-15.69,-10.63,-1.30,10.67,-0.45,0.65,0.26,0.28,0.65,1454207,16:05:29.046479
1,1.09,0.21,-0.60,21.94,-15.69,-10.63,-1.68,12.47,0.09,0.65,0.26,0.28,0.65,1457355,16:05:32.198615
2,0.03,0.13,-0.04,21.94,-15.69,-10.63,-1.68,12.47,0.09,0.65,0.26,0.28,0.65,1457386,16:05:32.232668
3,-0.26,0.23,0.19,21.94,-15.69,-10.63,-1.68,12.47,0.09,0.65,0.26,0.28,0.65,1459416,16:05:34.264287
4,-0.26,0.23,0.19,23.50,-6.81,25.25,-1.68,12.47,0.09,0.65,0.26,0.28,0.65,1461539,16:05:36.303098
5,-0.26,0.23,0.19,23.50,-6.81,25.25,1.23,10.86,0.05,0.65,0.26,0.28,0.65,1462691,16:05:37.538183
6,0.85,0.60,-0.68,23.50,-6.81,25.25,1.23,10.86,0.05,0.65,0.26,0.28,0.65,1463369,16:05:38.203473
7,-0.85,0.31,0.62,23.50,-6.81,25.25,1.23,10.86,0.05,0.65,0.26,0.28,0.65,1463616,16:05:38.461840
8,0.24,0.05,0.02,23.50,-6.81,25.25,1.23,10.86,0.05,0.65,0.26,0.28,0.65,1464188,16:05:39.021146
9,0.24,0.05,0.02,23.50,-6.81,25.25,-0.72,13.89,-0.07,0.65,0.26,0.28,0.65,1464303,16:05:39.144337
10,0.24,0.05,0.02,23.50,-6.81,25.25,-0.30,9.45,0.36,0.65,0.26,0.28,0.65,1464409,16:05:39.253381
11,0.24,0.05,0.02,23.50,-6.81,25.25,-1.56,13.74,-1.21,0.65,0.26,0.28,0.65,1464902,16:05:39.747111
12,0.24,0.05,0.02,23.50,-6.81,25.25,-1.07,8.99,0.62,0.65,0.26,0.28,0.65,1465045,16:05:39.886474
13,0.24,0.05,0.02,20.50,-22.31,11.63,-1.07,8.99,0.62,0.65,0.26,0.28,0.65,1465161,16:05:40.005961
14,-1.13,0.69,0.38,20.50,-22.31,11.63,-1.07,8.99,0.62,0.65,0.26,0.28,0.65,1465229,16:05:40.069185
15,-1.13,0.69,0.38,20.50,-22.31,11.63,-0.57,10.75,-0.03,0.65,0.26,0.28,0.65,1465343,16:05:40.168483
16,-1.13,0.69,0.38,20.50,-22.31,11.63,0.50,10.14,0.16,0.65,0.26,0.28,0.65,1465455,16:05:40.296950
17,-1.00,0.70,0.50,20.50,-22.31,11.63,0.50,10.14,0.16,0.65,0.26,0.28,0.65,1465502,16:05:40.337857
18,-1.00,0.70,0.50,20.50,-22.31,11.63,-0.49,8.68,-0.22,0.65,0.26,0.28,0.65,1465570,16:05:40.412979
19,0.16,-0.21,0.14,20.50,-22.31,11.63,-0.49,8.68,-0.22,0.65,0.26,0.28,0.65,1465622,16:05:40.462349
20,0.16,-0.21,0.14,20.50,-22.31,11.63,-0.84,9.21,0.62,0.65,0.26,0.28,0.65,1465664,16:05:40.507405
21,0.16,-0.21,0.14,20.50,-22.31,11.63,-1.79,10.40,0.36,0.65,0.26,0.28,0.65,1465871,16:05:40.713477
22,0.16,-0.21,0.14,20.50,-22.31,11.63,-2.29,14.50,0.24,0.65,0.26,0.28,0.65,1465925,16:05:40.762478
23,0.16,-0.21,0.14,20.50,-22.31,11.63,-0.41,10.21,-1.02,0.65,0.26,0.28,0.65,1466074,16:05:40.897863
24,0.16,-0.21,0.14,20.50,-22.31,11.63,-0.57,8.60,-0.56,0.65,0.26,0.28,0.65,1466144,16:05:40.979190
25,0.16,-0.21,0.14,20.50,-22.31,11.63,-1.07,9.18,0.55,0.65,0.26,0.28,0.65,1466184,16:05:41.030726
26,0.34,0.19,0.20,20.50,-22.31,11.63,-1.07,9.18,0.55,0.65,0.26,0.28,0.65,1466379,16:05:41.221268
27,0.34,0.19,0.20,20.50,-22.31,11.63,-2.18,9.25,0.51,0.65,0.26,0.28,0.65,1466467,16:05:41.302705
28,0.34,0.19,0.20,20.50,-22.31,11.63,0.01,12.93,0.32,0.65,0.26,0.28,0.65,1466556,16:05:41.404710
