,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.09,-0.16,-0.59,-21.12,11.88,-5.69,9.28,-5.27,2.77,-0.06,-0.66,0.03,0.75,537687,11:55:05.706113
1,-0.09,-0.16,-0.59,-21.12,11.88,-5.69,9.36,-4.11,2.20,-0.06,-0.66,0.03,0.75,538132,11:55:06.141140
2,-0.09,-0.16,-0.59,-21.12,11.88,-5.69,7.29,-4.11,6.29,-0.06,-0.66,0.03,0.75,540783,11:55:08.805418
3,-0.09,-0.16,-0.59,-21.12,11.88,-5.69,6.18,-5.34,5.61,-0.06,-0.66,0.03,0.75,540825,11:55:08.836432
4,-0.12,-0.31,0.05,-21.12,11.88,-5.69,6.18,-5.34,5.61,-0.06,-0.66,0.03,0.75,540857,11:55:08.879012
5,-0.04,0.09,0.04,-21.12,11.88,-5.69,6.18,-5.34,5.61,-0.06,-0.66,0.03,0.75,542887,11:55:10.911281
6,-0.04,0.09,0.04,-21.12,11.88,-5.69,2.42,-1.20,9.78,-0.06,-0.66,0.03,0.75,542933,11:55:10.951780
7,0.02,-0.17,0.29,-21.12,11.88,-5.69,2.42,-1.20,9.78,-0.06,-0.66,0.03,0.75,542980,11:55:11.001607
8,1.39,-0.44,0.62,-21.12,11.88,-5.69,2.42,-1.20,9.78,-0.06,-0.66,0.03,0.75,543039,11:55:11.050896
9,2.33,-0.33,0.43,-21.12,11.88,-5.69,2.42,-1.20,9.78,-0.06,-0.66,0.03,0.75,543094,11:55:11.109567
10,2.49,0.09,-0.17,-21.12,11.88,-5.69,2.42,-1.20,9.78,-0.06,-0.66,0.03,0.75,543187,11:55:11.196742
11,2.49,0.09,-0.17,-21.12,11.88,-5.69,3.30,-0.52,10.39,-0.06,-0.66,0.03,0.75,543255,11:55:11.278111
12,0.29,0.85,-0.24,-21.12,11.88,-5.69,3.30,-0.52,10.39,-0.06,-0.66,0.03,0.75,543303,11:55:11.323712
13,0.29,0.85,-0.24,-21.12,11.88,-5.69,1.73,0.10,9.55,-0.06,-0.66,0.03,0.75,543364,11:55:11.386250
14,0.29,0.85,-0.24,-21.12,11.88,-5.69,1.62,-0.71,10.09,-0.06,-0.66,0.03,0.75,543402,11:55:11.425666
15,0.29,0.85,-0.24,-21.12,11.88,-5.69,3.22,-1.12,10.16,-0.06,-0.66,0.03,0.75,543437,11:55:11.460693
16,0.29,0.85,-0.24,-21.12,11.88,-5.69,2.30,-0.93,9.82,-0.06,-0.66,0.03,0.75,543478,11:55:11.502821
17,-0.03,-0.15,-0.07,-21.12,11.88,-5.69,2.30,-0.93,9.82,-0.06,-0.66,0.03,0.75,543508,11:55:11.531722
18,-0.03,-0.15,-0.07,-21.12,11.88,-5.69,2.57,-1.01,10.13,-0.06,-0.66,0.03,0.75,543549,11:55:11.568613
19,-0.03,-0.15,-0.07,-21.12,11.88,-5.69,1.69,-1.01,9.93,-0.06,-0.66,0.03,0.75,543589,11:55:11.610780
20,-0.03,-0.15,-0.07,-21.12,11.88,-5.69,2.11,-1.09,9.43,-0.06,-0.66,0.03,0.75,543630,11:55:11.655659
21,0.07,0.06,-0.11,-21.12,11.88,-5.69,2.11,-1.09,9.43,-0.06,-0.66,0.03,0.75,543671,11:55:11.694129
22,0.09,-0.06,-0.05,-21.12,11.88,-5.69,2.11,-1.09,9.43,-0.06,-0.66,0.03,0.75,543711,11:55:11.732390
23,0.09,-0.06,-0.05,-21.12,11.88,-5.69,1.96,-1.12,9.78,-0.06,-0.66,0.03,0.75,543774,11:55:11.775952
24,0.09,-0.06,-0.05,-21.12,11.88,-5.69,2.30,-0.82,10.05,-0.06,-0.66,0.03,0.75,543821,11:55:11.843001
25,-0.02,0.13,0.08,-21.12,11.88,-5.69,2.30,-0.82,10.05,-0.06,-0.66,0.03,0.75,543894,11:55:11.917275
26,-0.02,0.13,0.08,-21.12,11.88,-5.69,1.88,-1.16,9.78,-0.06,-0.66,0.03,0.75,543934,11:55:11.956032
27,-0.02,0.13,0.08,15.00,15.69,-30.00,1.88,-1.16,9.78,-0.06,-0.66,0.03,0.75,543980,11:55:12.002024
28,0.07,-0.11,-0.04,15.00,15.69,-30.00,1.88,-1.16,9.78,-0.06,-0.66,0.03,0.75,544019,11:55:12.042546
29,0.08,0.03,0.06,15.00,15.69,-30.00,1.88,-1.16,9.78,-0.06,-0.66,0.03,0.75,544054,11:55:12.073599
30,0.08,0.03,0.06,15.00,15.69,-30.00,2.34,-1.05,9.74,-0.06,-0.66,0.03,0.75,544101,11:55:12.123106
31,0.08,0.03,0.06,15.00,15.69,-30.00,1.54,-0.63,9.82,-0.06,-0.66,0.03,0.75,544145,11:55:12.166748
32,0.08,0.03,0.06,15.00,15.69,-30.00,3.95,1.79,12.92,-0.06,-0.66,0.03,0.75,544188,11:55:12.210158
33,0.08,0.03,0.06,15.88,13.50,-33.75,3.95,1.79,12.92,-0.06,-0.66,0.03,0.75,544232,11:55:12.253459
34,-2.70,-1.40,0.70,15.88,13.50,-33.75,3.95,1.79,12.92,-0.06,-0.66,0.03,0.75,544272,11:55:12.294438
35,-2.65,-0.87,0.19,15.88,13.50,-33.75,3.95,1.79,12.92,-0.06,-0.66,0.03,0.75,544314,11:55:12.336933
36,-2.65,-0.87,0.19,15.88,13.50,-33.75,-1.60,-3.81,8.25,-0.06,-0.66,0.03,0.75,544355,11:55:12.377755
37,-2.08,-0.64,-1.41,15.88,13.50,-33.75,-1.60,-3.81,8.25,-0.06,-0.66,0.03,0.75,544445,11:55:12.447491
38,-2.08,-0.64,-1.41,15.88,13.50,-33.75,4.03,-7.98,2.73,-0.06,-0.66,0.03,0.75,544525,11:55:12.540408
39,0.28,-1.99,-1.18,15.88,13.50,-33.75,4.03,-7.98,2.73,-0.06,-0.66,0.03,0.75,544583,11:55:12.596666
40,0.28,-1.99,-1.18,15.88,13.50,-33.75,3.76,-5.15,2.46,-0.06,-0.66,0.03,0.75,544624,11:55:12.644276
41,1.28,-0.87,-0.75,15.88,13.50,-33.75,3.76,-5.15,2.46,-0.06,-0.66,0.03,0.75,544694,11:55:12.717680
42,1.28,-0.87,-0.75,15.88,13.50,-33.75,7.82,-2.81,5.11,-0.06,-0.66,0.03,0.75,544724,11:55:12.747994
