,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.16,0.00,0.06,-18.94,14.81,-2.00,7.29,-4.57,1.85,-0.16,-0.53,0.05,0.83,391830,11:52:39.855569
1,-0.01,-0.02,0.03,-18.94,14.81,-2.00,7.29,-4.57,1.85,-0.16,-0.53,0.05,0.83,392019,11:52:40.035788
2,-0.01,-0.02,0.03,-18.94,14.81,-2.00,8.24,-4.65,2.27,-0.16,-0.53,0.05,0.83,399892,11:52:47.912967
3,-0.00,-0.01,0.00,-18.94,14.81,-2.00,8.24,-4.65,2.27,-0.16,-0.53,0.05,0.83,399964,11:52:47.991170
4,-0.00,-0.01,0.00,-18.94,14.81,-2.00,8.20,-4.61,2.35,-0.16,-0.53,0.05,0.83,400003,11:52:48.029929
5,-0.03,-0.01,0.02,-18.94,14.81,-2.00,8.20,-4.61,2.35,-0.16,-0.53,0.05,0.83,400041,11:52:48.069201
6,-0.01,-0.03,-0.01,-18.94,14.81,-2.00,8.20,-4.61,2.35,-0.16,-0.53,0.05,0.83,400074,11:52:48.096956
7,-0.01,-0.03,-0.01,-18.94,14.81,-2.00,8.24,-4.61,2.39,-0.16,-0.53,0.05,0.83,400125,11:52:48.155105
8,-0.01,-0.03,-0.01,-18.94,14.81,-2.00,8.20,-4.57,2.31,-0.16,-0.53,0.05,0.83,400150,11:52:48.172607
9,-0.01,-0.03,-0.01,-18.94,14.81,-2.00,8.20,-4.61,2.39,-0.16,-0.53,0.05,0.83,400193,11:52:48.222337
10,-0.01,-0.03,-0.01,-18.94,14.81,-2.00,8.20,-4.61,2.43,-0.16,-0.53,0.05,0.83,400234,11:52:48.262390
11,0.00,0.01,0.01,-18.94,14.81,-2.00,8.20,-4.61,2.43,-0.16,-0.53,0.05,0.83,400268,11:52:48.295667
12,0.00,0.01,0.01,-18.94,14.81,-2.00,8.20,-4.57,2.43,-0.16,-0.53,0.05,0.83,400310,11:52:48.337584
13,0.00,0.01,0.01,-18.94,14.81,-2.00,8.24,-4.61,2.43,-0.16,-0.53,0.05,0.83,400334,11:52:48.363253
