,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.83,-0.56,-0.77,-8.44,7.37,12.81,-4.95,8.67,-0.93,0.56,0.39,0.36,0.63,2584481,20:08:28.931438
1,-0.57,0.66,0.76,-8.44,7.37,12.81,-4.95,8.67,-0.93,0.56,0.39,0.36,0.63,2584591,20:08:29.008637
2,0.84,-0.13,-0.61,-8.44,7.37,12.81,-4.95,8.67,-0.93,0.56,0.39,0.36,0.63,2584619,20:08:29.064313
3,0.84,-0.13,-0.61,-8.44,7.37,12.81,-5.29,7.45,-0.08,0.56,0.39,0.36,0.63,2584653,20:08:29.101059
4,0.84,-0.13,-0.61,-8.44,7.37,12.81,-5.79,9.09,0.37,0.56,0.39,0.36,0.63,2584693,20:08:29.142776
5,0.84,-0.13,-0.61,-8.44,7.37,12.81,-5.37,9.40,-0.12,0.56,0.39,0.36,0.63,2584758,20:08:29.209083
6,0.14,-0.58,-0.71,-8.44,7.37,12.81,-5.37,9.40,-0.12,0.56,0.39,0.36,0.63,2584792,20:08:29.237725
7,0.14,-0.58,-0.71,-8.44,7.37,12.81,-6.36,10.28,0.30,0.56,0.39,0.36,0.63,2584822,20:08:29.269737
8,0.14,-0.58,-0.71,37.69,-18.81,25.44,-6.36,10.28,0.30,0.56,0.39,0.36,0.63,2584857,20:08:29.305132
9,0.01,-0.84,-0.17,37.69,-18.81,25.44,-6.36,10.28,0.30,0.56,0.39,0.36,0.63,2584901,20:08:29.350027
10,0.01,-0.84,-0.17,37.69,-18.81,25.44,-6.40,10.05,-0.93,0.56,0.39,0.36,0.63,2584954,20:08:29.402468
11,0.01,-0.84,-0.17,37.69,-18.81,25.44,-5.83,9.32,-0.62,0.56,0.39,0.36,0.63,2585004,20:08:29.453107
12,0.01,-0.84,-0.17,37.69,-18.81,25.44,-6.32,9.63,-0.54,0.56,0.39,0.36,0.63,2585055,20:08:29.485728
13,0.01,-0.84,-0.17,37.69,-18.81,25.44,-6.10,9.55,-0.24,0.56,0.39,0.36,0.63,2585078,20:08:29.525290
14,0.01,-0.84,-0.17,37.69,-18.81,25.44,-5.75,9.32,-0.35,0.56,0.39,0.36,0.63,2585123,20:08:29.573483
15,-0.27,-0.07,0.08,37.69,-18.81,25.44,-5.75,9.32,-0.35,0.56,0.39,0.36,0.63,2586331,20:08:30.780088
16,-0.27,-0.07,0.08,37.69,-18.81,25.44,-6.13,8.71,-0.27,0.56,0.39,0.36,0.63,2586463,20:08:30.876276
17,-0.27,-0.07,0.08,37.69,-18.81,25.44,-2.95,10.59,0.14,0.56,0.39,0.36,0.63,2586493,20:08:30.941812
18,-0.27,-0.07,0.08,37.69,-18.81,25.44,-2.88,9.17,-1.88,0.56,0.39,0.36,0.63,2586511,20:08:30.962676
19,-0.47,2.19,1.23,37.69,-18.81,25.44,-2.88,9.17,-1.88,0.56,0.39,0.36,0.63,2586562,20:08:31.010932
20,-0.47,2.19,1.23,37.69,-18.81,25.44,-2.42,8.25,-1.73,0.56,0.39,0.36,0.63,2586607,20:08:31.028932
21,-0.47,2.19,1.23,37.69,-18.81,25.44,-2.23,7.37,-2.69,0.56,0.39,0.36,0.63,2586625,20:08:31.074694
22,-0.47,2.19,1.23,37.69,-18.81,25.44,-2.73,8.25,-2.23,0.56,0.39,0.36,0.63,2586673,20:08:31.107855
23,-0.60,2.92,0.08,37.69,-18.81,25.44,-2.73,8.25,-2.23,0.56,0.39,0.36,0.63,2586700,20:08:31.150003
24,-0.60,2.92,0.08,37.69,-18.81,25.44,-2.50,6.56,-1.54,0.56,0.39,0.36,0.63,2586728,20:08:31.176374
25,-0.60,2.92,0.08,37.69,-18.81,25.44,-2.61,6.30,-1.04,0.56,0.39,0.36,0.63,2586764,20:08:31.213762
26,-0.11,1.97,0.05,37.69,-18.81,25.44,-2.61,6.30,-1.04,0.56,0.39,0.36,0.63,2586801,20:08:31.251094
27,-0.11,1.97,0.05,37.69,-18.81,25.44,-1.88,6.34,-0.85,0.56,0.39,0.36,0.63,2586818,20:08:31.268560
28,-0.11,1.97,0.05,37.69,-18.81,25.44,-2.30,6.53,-0.58,0.56,0.39,0.36,0.63,2586845,20:08:31.296291
29,-0.11,1.97,0.05,37.69,-18.81,25.44,-3.18,7.60,-1.08,0.56,0.39,0.36,0.63,2586890,20:08:31.340955
30,0.06,2.44,0.35,37.69,-18.81,25.44,-3.18,7.60,-1.08,0.56,0.39,0.36,0.63,2586932,20:08:31.381701
31,-0.15,2.23,0.32,37.69,-18.81,25.44,-3.18,7.60,-1.08,0.56,0.39,0.36,0.63,2586948,20:08:31.399087
32,-0.15,2.23,0.32,37.69,-18.81,25.44,-3.26,7.48,-1.88,0.56,0.39,0.36,0.63,2587017,20:08:31.460139
33,0.04,2.47,0.39,37.69,-18.81,25.44,-3.26,7.48,-1.88,0.56,0.39,0.36,0.63,2587090,20:08:31.508056
34,0.04,2.47,0.39,37.69,-18.81,25.44,-4.83,9.48,-2.19,0.56,0.39,0.36,0.63,2587121,20:08:31.570249
35,0.18,0.87,-0.25,37.69,-18.81,25.44,-4.83,9.48,-2.19,0.56,0.39,0.36,0.63,2587138,20:08:31.587649
36,0.18,0.87,-0.25,37.69,-18.81,25.44,-6.10,7.52,0.88,0.56,0.39,0.36,0.63,2587250,20:08:31.701457
37,0.08,-1.07,-0.85,37.69,-18.81,25.44,-6.10,7.52,0.88,0.56,0.39,0.36,0.63,2587302,20:08:31.743406
38,0.08,-1.07,-0.85,-3.25,-43.25,3.75,-6.10,7.52,0.88,0.56,0.39,0.36,0.63,2587331,20:08:31.779023
39,0.08,-1.07,-0.85,-3.25,-43.25,3.75,-4.83,9.59,-0.43,0.56,0.39,0.36,0.63,2587349,20:08:31.798440
40,-0.26,0.63,-2.27,-3.25,-43.25,3.75,-4.83,9.59,-0.43,0.56,0.39,0.36,0.63,2587395,20:08:31.846906
41,-0.26,0.63,-2.27,-3.25,-43.25,3.75,-4.83,9.59,-0.43,0.49,0.50,0.27,0.66,2587419,20:08:31.864578
42,-0.11,0.21,-1.96,-3.25,-43.25,3.75,-4.83,9.59,-0.43,0.49,0.50,0.27,0.66,2587459,20:08:31.907067
43,0.01,-0.11,-1.26,-3.25,-43.25,3.75,-4.83,9.59,-0.43,0.49,0.50,0.27,0.66,2587494,20:08:31.943662
44,0.01,-0.11,-1.26,-3.25,-43.25,3.75,-3.14,9.13,-0.35,0.49,0.50,0.27,0.66,2587512,20:08:31.962843
45,-0.19,0.02,-0.91,-3.25,-43.25,3.75,-3.14,9.13,-0.35,0.49,0.50,0.27,0.66,2587546,20:08:31.995337
46,-0.19,0.02,-0.91,-3.25,-43.25,3.75,-2.92,9.32,-0.50,0.49,0.50,0.27,0.66,2587592,20:08:32.042533
47,-0.43,0.27,-0.44,-3.25,-43.25,3.75,-2.92,9.32,-0.50,0.49,0.50,0.27,0.66,2587647,20:08:32.095514
48,-0.64,0.70,-0.31,-3.25,-43.25,3.75,-2.92,9.32,-0.50,0.49,0.50,0.27,0.66,2587719,20:08:32.143180
49,-0.57,0.76,0.18,-3.25,-43.25,3.75,-2.92,9.32,-0.50,0.49,0.50,0.27,0.66,2587768,20:08:32.211486
50,-0.57,0.76,0.18,-3.25,-43.25,3.75,-1.92,7.48,0.53,0.49,0.50,0.27,0.66,2587807,20:08:32.255347
51,-0.57,0.76,0.18,-3.25,-43.25,3.75,-2.88,10.01,-0.01,0.49,0.50,0.27,0.66,2587855,20:08:32.301119
52,-0.57,0.76,0.18,-3.25,-43.25,3.75,-2.84,10.59,-0.89,0.49,0.50,0.27,0.66,2587899,20:08:32.348275
53,-0.57,0.76,0.18,-3.25,-43.25,3.75,-3.64,10.36,-0.73,0.49,0.50,0.27,0.66,2587938,20:08:32.382375
54,-0.81,1.70,1.83,-3.25,-43.25,3.75,-3.64,10.36,-0.73,0.49,0.50,0.27,0.66,2587981,20:08:32.423210
