,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.15,-0.31,-0.12,-5.56,4.81,14.19,-3.19,9.24,-1.52,0.55,-0.46,-0.57,0.39,9887573,22:10:11.720374
1,-0.15,-0.31,-0.12,-5.56,4.81,14.19,-4.04,10.43,-2.47,0.55,-0.46,-0.57,0.39,9889768,22:10:13.816958
2,-0.15,-0.31,-0.12,-5.56,4.81,14.19,-4.30,8.93,-2.36,0.55,-0.46,-0.57,0.39,9891904,22:10:16.072866
3,-0.03,0.12,0.06,-5.56,4.81,14.19,-4.30,8.93,-2.36,0.55,-0.46,-0.57,0.39,9894036,22:10:18.131151
4,-0.03,0.12,0.06,-5.56,4.81,14.19,-3.46,8.85,-2.39,0.55,-0.46,-0.57,0.39,9896185,22:10:20.353610
5,-0.03,0.12,0.06,-5.56,4.81,14.19,-3.84,10.31,-1.40,0.55,-0.46,-0.57,0.39,9898339,22:10:22.501269
6,-0.03,0.12,0.06,-8.56,-32.44,8.81,-3.84,10.31,-1.40,0.55,-0.46,-0.57,0.39,9900575,22:10:24.634664
7,-0.03,0.12,0.06,16.87,-46.06,-2.25,-3.84,10.31,-1.40,0.55,-0.46,-0.57,0.39,9903129,22:10:27.299896
8,-1.19,0.93,1.15,16.87,-46.06,-2.25,-3.84,10.31,-1.40,0.55,-0.46,-0.57,0.39,9905368,22:10:29.464829
9,-1.19,0.93,1.15,16.87,-46.06,-2.25,-4.19,9.39,-1.94,0.55,-0.46,-0.57,0.39,9907424,22:10:31.594564
10,-1.19,0.93,1.15,16.87,-46.06,-2.25,-3.38,8.97,-1.94,0.55,-0.46,-0.57,0.39,9909596,22:10:33.650352
11,-1.19,0.93,1.15,16.87,-46.06,-2.25,-3.27,8.97,-2.13,0.55,-0.46,-0.57,0.39,9911719,22:10:35.817375
12,-0.83,2.29,0.15,16.87,-46.06,-2.25,-3.27,8.97,-2.13,0.55,-0.46,-0.57,0.39,9912803,22:10:36.968259
13,-0.83,2.29,0.15,5.94,-49.19,-10.31,-3.27,8.97,-2.13,0.55,-0.46,-0.57,0.39,9912851,22:10:37.018810
14,0.28,0.27,-0.06,5.94,-49.19,-10.31,-3.27,8.97,-2.13,0.55,-0.46,-0.57,0.39,9912919,22:10:37.073091
15,0.28,0.27,-0.06,5.94,-49.19,-10.31,-4.58,8.43,-1.23,0.55,-0.46,-0.57,0.39,9912955,22:10:37.122380
16,0.14,-0.18,0.14,5.94,-49.19,-10.31,-4.58,8.43,-1.23,0.55,-0.46,-0.57,0.39,9913000,22:10:37.167157
17,0.15,-0.35,0.18,5.94,-49.19,-10.31,-4.58,8.43,-1.23,0.55,-0.46,-0.57,0.39,9913035,22:10:37.206230
18,0.15,-0.35,0.18,5.94,-49.19,-10.31,-3.93,7.93,-2.04,0.55,-0.46,-0.57,0.39,9913059,22:10:37.225089
19,0.15,-0.35,0.18,5.94,-49.19,-10.31,-4.12,8.96,-2.54,0.55,-0.46,-0.57,0.39,9913157,22:10:37.330816
20,0.57,-0.81,0.11,5.94,-49.19,-10.31,-4.12,8.96,-2.54,0.55,-0.46,-0.57,0.39,9913202,22:10:37.371647
21,0.74,-1.54,-0.34,5.94,-49.19,-10.31,-4.12,8.96,-2.54,0.55,-0.46,-0.57,0.39,9913267,22:10:37.403743
22,0.74,-1.54,-0.34,5.94,-49.19,-10.31,-2.85,8.39,-3.15,0.55,-0.46,-0.57,0.39,9913302,22:10:37.471859
23,1.42,-1.78,-1.03,5.94,-49.19,-10.31,-2.85,8.39,-3.15,0.55,-0.46,-0.57,0.39,9913350,22:10:37.519215
24,1.42,-1.78,-1.03,5.94,-49.19,-10.31,-2.39,11.04,-4.22,0.55,-0.46,-0.57,0.39,9913390,22:10:37.550068
25,1.42,-1.78,-1.03,5.94,-49.19,-10.31,-1.40,9.08,-3.15,0.55,-0.46,-0.57,0.39,9913443,22:10:37.603277
26,1.42,-1.78,-1.03,5.94,-49.19,-10.31,-1.74,8.39,-2.69,0.55,-0.46,-0.57,0.39,9913508,22:10:37.676522
27,1.42,-1.78,-1.03,5.94,-49.19,-10.31,-2.12,8.20,-2.35,0.55,-0.46,-0.57,0.39,9913569,22:10:37.729269
28,0.34,-0.79,0.46,5.94,-49.19,-10.31,-2.12,8.20,-2.35,0.55,-0.46,-0.57,0.39,9913606,22:10:37.774662
29,-0.17,-0.18,0.74,5.94,-49.19,-10.31,-2.12,8.20,-2.35,0.55,-0.46,-0.57,0.39,9913631,22:10:37.796678
30,-0.58,0.43,0.99,5.94,-49.19,-10.31,-2.12,8.20,-2.35,0.55,-0.46,-0.57,0.39,9913672,22:10:37.843621
31,-0.58,0.43,0.99,5.94,-49.19,-10.31,-3.43,9.46,-1.81,0.55,-0.46,-0.57,0.39,9913713,22:10:37.884479
32,-0.98,0.72,1.03,5.94,-49.19,-10.31,-3.43,9.46,-1.81,0.55,-0.46,-0.57,0.39,9913752,22:10:37.922733
33,-0.98,0.72,1.03,5.94,-49.19,-10.31,-4.04,10.04,-2.00,0.55,-0.46,-0.57,0.39,9913793,22:10:37.951893
34,-1.84,1.39,0.88,5.94,-49.19,-10.31,-4.04,10.04,-2.00,0.55,-0.46,-0.57,0.39,9913829,22:10:37.997850
35,-1.84,1.39,0.88,5.94,-49.19,-10.31,-3.93,11.19,-3.38,0.55,-0.46,-0.57,0.39,9913866,22:10:38.039045
36,-1.84,1.39,0.88,5.94,-49.19,-10.31,-4.38,9.81,-3.15,0.55,-0.46,-0.57,0.39,9913900,22:10:38.064635
37,-1.54,1.44,0.45,5.94,-49.19,-10.31,-4.38,9.81,-3.15,0.55,-0.46,-0.57,0.39,9913951,22:10:38.121166
38,-1.54,1.44,0.45,5.94,-49.19,-10.31,-4.50,7.39,-2.80,0.55,-0.46,-0.57,0.39,9914003,22:10:38.172365
39,-1.54,1.44,0.45,5.94,-49.19,-10.31,-3.31,7.28,-2.73,0.55,-0.46,-0.57,0.39,9914089,22:10:38.255167
40,-1.54,1.44,0.45,5.94,-49.19,-10.31,-3.96,8.74,-2.61,0.55,-0.46,-0.57,0.39,9914144,22:10:38.313925
41,-1.54,1.44,0.45,5.94,-49.19,-10.31,-4.42,8.32,-1.50,0.55,-0.46,-0.57,0.39,9914220,22:10:38.380598
42,-1.54,1.44,0.45,5.94,-49.19,-10.31,-4.00,8.16,-0.89,0.55,-0.46,-0.57,0.39,9914255,22:10:38.424707
43,0.54,-0.66,0.10,5.94,-49.19,-10.31,-4.00,8.16,-0.89,0.55,-0.46,-0.57,0.39,9914300,22:10:38.468939
