,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.63,-0.91,-2.28,-47.63,-46.50,10.44,-0.21,14.40,-4.32,0.68,0.06,-0.49,0.55,10163931,22:14:48.003535
1,-0.63,-0.91,-2.28,14.63,-2.69,13.25,-3.96,8.93,-0.76,0.68,0.06,-0.49,0.55,10169994,22:14:54.092548
2,-0.63,-0.91,-2.28,10.19,6.62,10.31,-3.96,8.93,-0.76,0.68,0.06,-0.49,0.55,10170034,22:14:54.193366
3,1.40,-0.05,2.07,10.19,6.62,10.31,-3.96,8.93,-0.76,0.68,0.06,-0.49,0.55,10170072,22:14:54.232919
4,1.40,-0.05,2.07,4.00,-45.81,16.25,-3.96,8.93,-0.76,0.68,0.06,-0.49,0.55,10170170,22:14:54.332459
5,1.40,-0.05,2.07,4.00,-45.81,16.25,-2.47,8.77,-2.45,0.68,0.06,-0.49,0.55,10170336,22:14:54.494191
6,1.40,-0.05,2.07,4.00,-45.81,16.25,-5.38,8.62,-0.84,0.68,0.06,-0.49,0.55,10170529,22:14:54.688190
7,1.40,-0.05,2.07,-6.87,-39.94,17.62,-5.38,8.62,-0.84,0.68,0.06,-0.49,0.55,10170647,22:14:54.804576
8,1.40,-0.05,2.07,-6.87,-39.94,17.62,-4.00,9.73,-1.68,0.68,0.06,-0.49,0.55,10171128,22:14:55.278732
9,1.40,-0.05,2.07,-6.87,-39.94,17.62,-5.38,11.88,-2.48,0.68,0.06,-0.49,0.55,10171257,22:14:55.414031
10,1.40,-0.05,2.07,-25.37,-10.00,14.31,-5.38,11.88,-2.48,0.68,0.06,-0.49,0.55,10171311,22:14:55.471546
11,1.40,-0.05,2.07,-25.37,-10.00,14.31,-19.21,4.60,4.83,0.68,0.06,-0.49,0.55,10171379,22:14:55.538706
12,1.40,-0.05,2.07,-25.37,-10.00,14.31,-4.27,11.88,-2.10,0.68,0.06,-0.49,0.55,10171442,22:14:55.603314
13,1.40,-0.05,2.07,-37.75,-9.50,19.31,-4.27,11.88,-2.10,0.68,0.06,-0.49,0.55,10171929,22:14:56.087918
14,1.40,-0.05,2.07,-37.75,-9.50,19.31,-5.54,9.23,-0.95,0.68,0.06,-0.49,0.55,10171969,22:14:56.124033
15,1.40,-0.05,2.07,-51.75,6.19,14.50,-5.54,9.23,-0.95,0.68,0.06,-0.49,0.55,10172253,22:14:56.413672
16,1.40,-0.05,2.07,-51.75,6.19,14.50,-6.19,12.37,-1.30,0.68,0.06,-0.49,0.55,10172437,22:14:56.594468
17,1.40,-0.05,2.07,-51.75,6.19,14.50,-2.70,6.24,-0.91,0.68,0.06,-0.49,0.55,10172757,22:14:56.919228
18,1.40,-0.05,2.07,40.63,-91.25,1.06,-2.70,6.24,-0.91,0.68,0.06,-0.49,0.55,10172837,22:14:56.992729
19,1.40,-0.05,2.07,40.63,-91.25,1.06,-3.85,8.70,-2.64,0.68,0.06,-0.49,0.55,10172876,22:14:57.038598
20,1.40,-0.05,2.07,14.25,-93.50,16.37,-3.85,8.70,-2.64,0.68,0.06,-0.49,0.55,10173046,22:14:57.206605
21,1.40,-0.05,2.07,13.19,-91.94,13.56,-3.85,8.70,-2.64,0.68,0.06,-0.49,0.55,10173242,22:14:57.396452
22,0.17,0.30,1.22,13.19,-91.94,13.56,-3.85,8.70,-2.64,0.68,0.06,-0.49,0.55,10173377,22:14:57.536805
23,-0.51,2.06,3.25,13.19,-91.94,13.56,-3.85,8.70,-2.64,0.68,0.06,-0.49,0.55,10173551,22:14:57.706446
24,-0.51,2.06,3.25,13.19,-91.94,13.56,-9.06,2.68,0.66,0.68,0.06,-0.49,0.55,10173592,22:14:57.753503
25,-0.51,2.06,3.25,13.19,-91.94,13.56,-7.30,19.34,-4.94,0.68,0.06,-0.49,0.55,10173691,22:14:57.854113
26,-0.47,-1.70,-5.28,13.19,-91.94,13.56,-7.30,19.34,-4.94,0.68,0.06,-0.49,0.55,10173812,22:14:57.939606
27,0.16,0.47,1.63,13.19,-91.94,13.56,-7.30,19.34,-4.94,0.68,0.06,-0.49,0.55,10173915,22:14:58.072948
28,0.16,0.47,1.63,13.19,-91.94,13.56,-3.85,7.74,-0.76,0.68,0.06,-0.49,0.55,10174080,22:14:58.234271
29,0.16,0.47,1.63,13.19,-91.94,13.56,-5.54,9.00,-1.11,0.68,0.06,-0.49,0.55,10174120,22:14:58.276925
30,0.16,0.47,1.63,58.13,-56.38,-4.56,-5.54,9.00,-1.11,0.68,0.06,-0.49,0.55,10174167,22:14:58.326434
31,0.16,0.47,1.63,58.13,-56.38,-4.56,-3.39,9.08,-2.03,0.68,0.06,-0.49,0.55,10174213,22:14:58.374708
32,0.16,0.47,1.63,53.69,-58.63,-2.44,-3.39,9.08,-2.03,0.68,0.06,-0.49,0.55,10174309,22:14:58.469889
33,0.16,0.47,1.63,53.69,-58.63,-2.44,-3.89,9.23,-1.30,0.68,0.06,-0.49,0.55,10174363,22:14:58.519964
34,0.16,0.47,1.63,53.69,-58.63,-2.44,-4.04,12.07,-2.18,0.68,0.06,-0.49,0.55,10174412,22:14:58.570812
35,0.16,0.47,1.63,53.69,-58.63,-2.44,-6.91,13.33,-2.45,0.68,0.06,-0.49,0.55,10174570,22:14:58.701812
36,0.16,0.47,1.63,9.88,-58.56,2.87,-6.91,13.33,-2.45,0.68,0.06,-0.49,0.55,10175156,22:14:59.310090
