,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0.03,0.08,0.01,-13.44,3,4.5,-3.18,-9.05,0.85,-0.04,0.68,-0.68,0.28,260653,0,T
1,0.03,0.07,0.02,-13.44,3,4.5,-3.18,-9.05,0.85,-0.04,0.68,-0.68,0.28,260682,29,T
2,0.01,0.02,0,-13.44,3,4.5,-3.18,-9.05,0.85,-0.04,0.68,-0.68,0.28,260701,48,T
3,0.01,0.02,0,-13.44,3,4.5,-3.07,-9.09,0.78,-0.04,0.68,-0.68,0.28,260716,63,T
4,0.02,0.07,0,-13.44,3,4.5,-3.07,-9.09,0.78,-0.04,0.68,-0.68,0.28,260734,81,T
5,0.02,0.07,0,-13.44,3,4.5,-3.14,-9.13,0.78,-0.04,0.68,-0.68,0.28,260754,101,T
6,0.02,0.07,0,-13.44,3,4.5,-3.14,-9.05,0.82,-0.04,0.68,-0.68,0.28,260769,116,T
7,0.02,0.06,0.01,-13.44,3,4.5,-3.14,-9.05,0.82,-0.04,0.68,-0.68,0.28,260784,131,T
8,0.02,0.06,0.01,-13.44,3,4.5,-3.18,-9.05,0.82,-0.04,0.68,-0.68,0.28,260798,145,T
9,0.01,0.05,0,-13.44,3,4.5,-3.18,-9.05,0.82,-0.04,0.68,-0.68,0.28,260813,160,T
10,0.01,0.05,0,-13.44,3,4.5,-3.18,-9.05,0.82,-0.03,0.68,-0.68,0.27,260827,174,T
11,0.01,0.05,0,-13.44,3,4.5,-3.18,-9.09,0.82,-0.03,0.68,-0.68,0.27,260842,189,T
12,0.01,0.05,0,-13.44,3,4.5,-3.22,-9.09,0.82,-0.03,0.68,-0.68,0.27,260856,203,T
13,0.01,0.02,-0.01,-13.44,3,4.5,-3.22,-9.09,0.82,-0.03,0.68,-0.68,0.27,260870,217,T
14,0.01,0.02,-0.01,-13.44,3,4.5,-3.22,-9.09,0.82,-0.03,0.68,-0.68,0.27,260884,231,T
15,0.01,0.02,-0.01,-13.44,3,4.5,-3.22,-9.09,0.82,-0.03,0.68,-0.68,0.27,261889,1236,T
16,0,-0.01,-0.01,-13.44,3,4.5,-3.22,-9.09,0.82,-0.03,0.68,-0.68,0.27,262778,2125,T
17,0,-0.01,-0.01,-13.44,3,4.5,-2.49,-9.24,0.55,-0.03,0.68,-0.68,0.27,262792,2139,W
18,0,-0.01,-0.01,-13.44,3,4.5,-6.93,-7.44,3,-0.03,0.68,-0.68,0.27,262804,2151,W
19,0.85,-0.1,2.28,-13.44,3,4.5,-6.93,-7.44,3,-0.03,0.68,-0.68,0.27,262816,2163,W
20,0.85,-0.1,2.28,-13.44,3,4.5,-6.93,-7.44,3,0.21,0.55,-0.73,0.35,262830,2177,W
21,0.85,-0.1,2.28,-13.44,3,4.5,-7.16,-7.06,3,0.21,0.55,-0.73,0.35,263088,2435,W
22,0.85,-0.1,2.28,-13.44,3,4.5,-6.74,-6.48,3.46,0.21,0.55,-0.73,0.35,263110,2457,W
23,0.85,-0.1,2.28,-13.44,3,4.5,-4.18,-6.52,2.04,0.21,0.55,-0.73,0.35,263124,2471,W
24,-0.48,-0.02,-1.19,-13.44,3,4.5,-4.18,-6.52,2.04,0.21,0.55,-0.73,0.35,263143,2490,W
25,-0.48,-0.02,-1.19,-13.44,3,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263163,2510,W
26,-0.83,0.18,-1.9,-13.44,3,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263177,2524,W
27,-0.83,0.18,-1.9,-13.44,3,4.5,-3.53,-5.41,2.31,0.29,0.47,-0.7,0.46,263192,2539,W
28,-0.83,0.18,-1.9,-13.44,3,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263281,2628,W
29,-1.08,0.05,-2.28,-13.44,3,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263297,2644,W
30,-1.08,0.05,-2.28,-13.44,3,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263392,2739,W
31,-1.45,0.11,-2.67,-13.44,3,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263423,2770,W
32,-1.45,0.11,-2.67,-13.44,3,4.5,-5.21,-11.54,1.43,0.29,0.47,-0.7,0.46,263446,2793,W
33,-1.45,0.11,-2.67,-13.44,3,4.5,-6.17,-11.04,1.04,0.29,0.47,-0.7,0.46,263459,2806,W
34,-1.45,0.11,-2.67,-13.44,3,4.5,-6.09,-10.96,0.97,0.29,0.47,-0.7,0.46,263480,2827,W
35,-1.03,0.55,-1.96,-13.44,3,4.5,-6.09,-10.96,0.97,0.29,0.47,-0.7,0.46,263500,2847,W
36,-1.03,0.55,-1.96,-13.44,3,4.5,-6.78,-10.77,-0.07,0.29,0.47,-0.7,0.46,263519,2866,W
37,-1.48,-0.91,-1.7,-13.44,3,4.5,-6.78,-10.77,-0.07,0.29,0.47,-0.7,0.46,263533,2880,W
38,-1.48,-0.91,-1.7,-13.44,3,4.5,-6.9,-10.16,0.16,0.29,0.47,-0.7,0.46,263556,2903,W
39,-1.48,-0.91,-1.7,-13.44,3,4.5,-5.1,-9.74,0.55,0.29,0.47,-0.7,0.46,263577,2924,W
40,-1.6,-0.09,-1.33,-13.44,3,4.5,-5.1,-9.74,0.55,0.29,0.47,-0.7,0.46,263597,2944,W
41,-1.6,-0.09,-1.33,-13.44,3,4.5,-5.55,-9.36,-0.14,0.29,0.47,-0.7,0.46,263612,2959,W
42,-1.21,0.58,-1.12,-13.44,3,4.5,-5.55,-9.36,-0.14,0.29,0.47,-0.7,0.46,263630,2977,W
43,-1.21,0.58,-1.12,-13.44,3,4.5,-5.55,-9.36,-0.14,-0.05,0.73,-0.67,0.13,263645,2992,W
44,-1.21,0.58,-1.12,-13.44,3,4.5,-5.14,-8.51,0.2,-0.05,0.73,-0.67,0.13,263679,3026,W
45,-0.86,0.82,-0.92,-13.44,3,4.5,-5.14,-8.51,0.2,-0.05,0.73,-0.67,0.13,263697,3044,W
46,-0.86,0.82,-0.92,-13.44,3,4.5,-5.14,-8.21,0.39,-0.05,0.73,-0.67,0.13,263711,3058,W
47,-0.86,0.82,-0.92,-13.44,3,4.5,-5.14,-8.93,0.51,-0.05,0.73,-0.67,0.13,263724,3071,W
48,-0.41,0.91,-0.48,-13.44,3,4.5,-5.14,-8.93,0.51,-0.05,0.73,-0.67,0.13,263796,3143,W
49,-0.41,0.91,-0.48,-13.44,3,4.5,-5.17,-9.13,0.7,-0.05,0.73,-0.67,0.13,264034,3381,W
50,-0.41,0.91,-0.48,-13.44,3,4.5,-3.34,-8.09,0.89,-0.05,0.73,-0.67,0.13,264055,3402,W
51,-0.41,0.91,-0.48,-13.44,3,4.5,-1.73,-13.38,1.31,-0.05,0.73,-0.67,0.13,264068,3415,W
52,1.39,-0.67,2.26,-13.44,3,4.5,-1.73,-13.38,1.31,-0.05,0.73,-0.67,0.13,264097,3444,W
53,1.39,-0.67,2.26,-13.44,3,4.5,-2.87,-14.18,1.81,-0.05,0.73,-0.67,0.13,264119,3466,W
54,1.58,0.91,3,-13.44,3,4.5,-2.87,-14.18,1.81,-0.05,0.73,-0.67,0.13,264277,3624,W
55,1.58,0.91,3,-13.44,3,4.5,-2.87,-14.18,1.81,0.11,0.65,-0.74,0.17,264306,3653,W
56,1.58,0.91,3,-13.44,3,4.5,-5.17,-7.17,2,0.11,0.65,-0.74,0.17,264320,3667,W
57,0.7,-0.47,2.29,-13.44,3,4.5,-5.17,-7.17,2,0.11,0.65,-0.74,0.17,264336,3683,W
