,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,-0.01,0,0,8.56,-105.75,-20.63,-9.32,-2.81,0,-0.71,0.01,0.67,0.21,470173,0,T
1,-0.01,0,0,8.56,-105.75,-20.63,-9.32,-2.81,0.04,-0.71,0.01,0.67,0.21,470213,40,T
2,0,0,0,8.56,-105.75,-20.63,-9.32,-2.81,0.04,-0.71,0.01,0.67,0.21,470254,81,T
3,0,0,0,8.56,-105.75,-20.63,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470296,123,T
4,0,0,0,8.56,-105.75,-20.63,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470337,164,T
5,0,0,0,8.56,-105.75,-20.63,-9.32,-2.85,0,-0.71,0.01,0.67,0.21,470377,204,T
6,0,0,0,8.56,-105.75,-20.63,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470418,245,T
7,0,0,0,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470458,285,T
8,0,-0.01,0,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470498,325,T
9,0,-0.01,0.01,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470540,367,T
10,0,-0.01,0.01,7.88,-104.94,-21.81,-9.28,-2.85,0.04,-0.71,0.01,0.67,0.21,470583,410,T
11,0,-0.01,0.01,7.88,-104.94,-21.81,-9.32,-2.81,0.04,-0.71,0.01,0.67,0.21,470624,451,T
12,0,-0.01,0.01,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470664,491,T
13,0,-0.03,0.02,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470705,532,T
14,0,-0.03,0.03,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470746,573,T
15,0,-0.02,0.02,7.88,-104.94,-21.81,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,470787,614,T
16,0,-0.02,0.02,7.88,-104.94,-21.81,-9.36,-2.77,0.08,-0.71,0.01,0.67,0.21,470828,655,T
17,0,-0.02,0.02,7.88,-104.94,-21.81,-9.32,-2.77,0.12,-0.71,0.01,0.67,0.21,470871,698,T
18,0,-0.02,0.02,7.88,-105,-19.81,-9.32,-2.77,0.12,-0.71,0.01,0.67,0.21,470910,737,T
19,0,0.01,0,7.88,-105,-19.81,-9.32,-2.77,0.12,-0.71,0.01,0.67,0.21,470952,779,T
20,0,0.01,0,7.88,-105,-19.81,-9.32,-2.81,0.08,-0.71,0.01,0.67,0.21,470995,822,T
21,0,-0.01,0.01,7.88,-105,-19.81,-9.32,-2.81,0.08,-0.71,0.01,0.67,0.21,471036,863,T
22,0,-0.01,0.01,7.88,-105,-19.81,-9.32,-2.81,0.04,-0.71,0.01,0.67,0.21,471077,904,T
23,0,-0.01,0.01,7.88,-105,-19.81,-9.32,-2.81,0.08,-0.71,0.01,0.67,0.21,471117,944,T
24,0,-0.01,0.01,7.5,-104.56,-18.19,-9.32,-2.81,0.08,-0.71,0.01,0.67,0.21,471157,984,T
25,0,-0.01,0.01,7.5,-104.56,-18.19,-9.32,-2.81,0.08,-0.71,0.01,0.67,0.21,471198,1025,T
26,0,-0.01,0.01,7.5,-104.56,-18.19,-9.36,-2.77,0.08,-0.71,0.01,0.67,0.21,471241,1068,T
27,0,0.01,-0.01,7.5,-104.56,-18.19,-9.36,-2.77,0.08,-0.71,0.01,0.67,0.21,471283,1110,T
28,0,0.01,-0.01,7.5,-104.56,-18.19,-9.32,-2.81,0.08,-0.71,0.01,0.67,0.21,471324,1151,T
29,0,0.01,-0.01,7.5,-104.56,-18.19,-9.32,-2.77,0.08,-0.71,0.01,0.67,0.21,471365,1192,T
30,0,-0.01,0.01,7.5,-104.56,-18.19,-9.32,-2.77,0.08,-0.71,0.01,0.67,0.21,471406,1233,T
31,0,-0.01,0,7.5,-104.56,-18.19,-9.32,-2.77,0.08,-0.71,0.01,0.67,0.21,471446,1273,T
32,0,-0.01,0,7.5,-104.56,-18.19,-9.36,-2.77,0.12,-0.71,0.01,0.67,0.21,471488,1315,T
33,0,0,0,7.5,-104.56,-18.19,-9.36,-2.77,0.12,-0.71,0.01,0.67,0.21,471528,1355,T
34,0,0,0,7.5,-104.56,-18.19,-9.36,-2.77,0.12,-0.71,0.01,0.67,0.21,471570,1397,T
35,0,0,0,7.5,-104.56,-18.19,-9.36,-2.77,0.08,-0.71,0.01,0.67,0.21,471611,1438,T
36,0,0,0,7.5,-104.56,-18.19,-9.36,-2.77,0.08,-0.71,0.01,0.67,0.21,471653,1480,T
37,0,0.01,-0.01,7.5,-104.56,-18.19,-9.36,-2.77,0.08,-0.71,0.01,0.67,0.21,471694,1521,T
38,0,0.01,-0.01,7.5,-104.56,-18.19,-9.36,-2.73,0.12,-0.71,0.01,0.67,0.21,471736,1563,T
39,0,0.06,-0.06,7.5,-104.56,-18.19,-9.36,-2.73,0.12,-0.71,0.01,0.67,0.21,471777,1604,T
40,0,0.06,-0.06,7.5,-104.56,-18.19,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,471818,1645,T
41,0,0.06,-0.06,8.19,-104.63,-21,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,471859,1686,T
42,0,0.06,-0.06,8.19,-104.63,-21,-9.28,-2.85,0.04,-0.71,0.01,0.67,0.21,471902,1729,T
43,0,0,0.01,8.19,-104.63,-21,-9.28,-2.85,0.04,-0.71,0.01,0.67,0.21,471944,1771,T
44,0,0,0.01,8.19,-104.63,-21,-9.24,-2.89,0.04,-0.71,0.01,0.67,0.21,471985,1812,T
45,0,0,0.01,8.19,-104.63,-21,-9.28,-2.85,0,-0.71,0.01,0.67,0.21,472027,1854,T
46,0,0,0.01,8.19,-104.63,-21,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,472069,1896,T
47,0,0,0.01,8.5,-105,-21.44,-9.32,-2.85,0.04,-0.71,0.01,0.67,0.21,472109,1936,T
48,0,0,0.01,8.5,-105,-21.44,-9.24,-2.92,0,-0.71,0.01,0.67,0.21,472152,1979,T
49,0,-0.02,-0.03,8.5,-105,-21.44,-9.24,-2.92,0,-0.71,0.01,0.67,0.21,472194,2021,T
50,0,-0.02,-0.03,8.5,-105,-21.44,-9.09,-2.96,0.08,-0.71,0.01,0.67,0.21,472236,2063,T
51,0,-0.02,-0.03,8.5,-105,-21.44,-8.86,-3.19,-0.03,-0.71,0.01,0.67,0.21,472278,2105,T
52,0,-0.02,-0.03,8.5,-105,-21.44,-9.43,-3.11,-0.26,-0.71,0.01,0.67,0.21,472321,2148,T
53,0,-0.02,-0.03,8.5,-105,-21.44,-9.43,-2.7,0.27,-0.71,0.01,0.67,0.21,472363,2190,T
54,-0.08,-0.13,0.24,8.5,-105,-21.44,-9.43,-2.7,0.27,-0.71,0.01,0.67,0.21,472404,2231,T
55,-0.01,-0.06,0.05,8.5,-105,-21.44,-9.43,-2.7,0.27,-0.71,0.01,0.67,0.21,472445,2272,T
56,-0.01,-0.06,0.05,8.5,-105,-21.44,-9.55,-2.35,0.54,-0.71,0.01,0.67,0.21,472487,2314,T
57,0.11,0.35,-0.33,8.5,-105,-21.44,-9.55,-2.35,0.54,-0.71,0.01,0.67,0.21,472529,2356,T
58,0.11,0.35,-0.33,8.5,-105,-21.44,-9.59,-2.77,-0.03,-0.71,0.01,0.67,0.21,472570,2397,T
59,0.11,0.35,-0.33,8.5,-105,-21.44,-9.24,-3,-0.03,-0.71,0.01,0.67,0.21,472611,2438,T
60,0.15,0.13,-0.16,8.5,-105,-21.44,-9.24,-3,-0.03,-0.71,0.01,0.67,0.21,472653,2480,T
61,0.08,0.14,-0.13,8.5,-105,-21.44,-9.24,-3,-0.03,-0.71,0.01,0.67,0.21,472695,2522,W
62,0.08,0.14,-0.13,8.5,-105,-21.44,-9.01,-3.15,0.08,-0.71,0.01,0.67,0.21,472736,2563,W
63,0.08,0.14,-0.13,8.5,-105,-21.44,-9.43,-3.04,-0.03,-0.71,0.01,0.67,0.21,472777,2604,W
64,0.08,0.14,-0.13,8.5,-105,-21.44,-9.47,-2.96,-0.19,-0.71,0.01,0.67,0.21,472819,2646,W
65,0.08,0.14,-0.13,8.31,-106.5,-21.44,-9.47,-2.96,-0.19,-0.71,0.01,0.67,0.21,472859,2686,W
66,0.08,0.14,-0.13,8.31,-106.5,-21.44,-9.51,-2.89,-0.11,-0.71,0.01,0.67,0.21,472902,2729,W
67,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.51,-2.89,-0.11,-0.71,0.01,0.67,0.21,472944,2771,W
68,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.47,-2.77,0.16,-0.71,0.01,0.67,0.21,472986,2813,W
69,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W
70,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W
