,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0,0,0,15.75,-108.5,-28.69,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565740,0,T
1,0,0,0,15.75,-108.5,-28.69,-9.24,-3,0.2,-0.71,0.01,0.67,0.24,565781,41,T
2,0,0,0,15.75,-108.5,-28.69,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565821,81,T
3,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565863,123,T
4,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565905,165,T
5,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565947,207,T
6,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,565989,249,T
7,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566030,290,T
8,0,0,0,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566070,330,T
9,0,0.02,-0.01,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566111,371,T
10,0,0.02,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.16,-0.71,0.01,0.67,0.24,566154,414,T
11,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.16,-0.71,0.01,0.67,0.24,566196,456,T
12,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3,0.16,-0.71,0.01,0.67,0.24,566239,499,T
13,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566281,541,T
14,0,0.01,-0.01,15.44,-108.88,-29.13,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566321,581,T
15,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566363,623,T
16,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566405,665,T
17,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566446,706,T
18,0,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566489,749,T
19,0,0.01,-0.01,7.38,-109.88,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,566530,790,T
20,0,0.01,-0.01,7.38,-109.88,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,566569,829,T
21,0,-0.01,0,7.38,-109.88,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,566610,870,T
22,0,-0.01,0,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566651,911,T
23,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,566693,953,T
24,0,0,0,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566734,994,T
25,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,566776,1036,T
26,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,566816,1076,T
27,0,0,0,7.38,-109.88,-16.56,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,566857,1117,T
28,0,0,0,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566899,1159,T
29,0.01,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566940,1200,T
30,0.01,0.01,-0.01,7.38,-109.88,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,566980,1240,T
31,0.01,0.01,-0.01,7.38,-109.88,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567021,1281,T
32,0.01,0.01,-0.01,7.75,-109.56,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567062,1322,T
33,0,0,0,7.75,-109.56,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567103,1363,T
34,0,0,0,7.75,-109.56,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,567145,1405,T
35,0,-0.01,0,7.75,-109.56,-16.56,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,567187,1447,T
36,0,-0.01,0,7.75,-109.56,-16.56,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,567228,1488,T
37,0,-0.01,0,7.75,-109.56,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567268,1528,T
38,0,-0.02,0.02,7.75,-109.56,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567309,1569,T
39,0,-0.02,0.01,7.75,-109.56,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567349,1609,T
40,0,-0.02,0.01,7.75,-109.56,-16.56,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567390,1650,T
41,0,-0.02,0.01,7.75,-109.56,-16.56,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,567431,1691,T
42,0,-0.02,0.01,7.75,-109.56,-16.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,567472,1732,T
43,0,-0.02,0.01,17.25,-110.5,-29.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,567512,1772,T
44,0,-0.02,0.01,17.25,-110.5,-29.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,567555,1815,T
45,0,0,0,17.25,-110.5,-29.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,567597,1857,T
46,0,0,0,17.25,-110.5,-29.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,567638,1898,T
47,0,0,0,17.25,-110.5,-29.56,-9.24,-3.04,0.12,-0.71,0.01,0.67,0.24,567680,1940,T
48,0,0,0,17.25,-110.5,-29.56,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,567719,1979,T
49,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.12,-0.71,0.01,0.67,0.24,567759,2019,T
50,0,0,0,16.5,-109.75,-29.63,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,567800,2060,T
51,0,0.01,-0.01,16.5,-109.75,-29.63,-9.24,-3.04,0.08,-0.71,0.01,0.67,0.24,567841,2101,T
52,0,0.01,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567884,2144,T
53,0,0.01,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567927,2187,T
54,0,0.01,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,567967,2227,T
55,0,0,0,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568009,2269,T
56,0,0,0,16.5,-109.75,-29.63,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,568051,2311,T
57,0,0,-0.01,16.5,-109.75,-29.63,-9.2,-3.08,0.08,-0.71,0.01,0.67,0.24,568093,2353,T
58,0,0,-0.01,16.5,-109.75,-29.63,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,568134,2394,T
59,0,0,-0.01,16.5,-109.75,-29.63,-9.2,-3.04,0.08,-0.71,0.01,0.67,0.24,568177,2437,T
60,0,0,-0.01,16.5,-109.75,-29.63,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,568217,2477,T
61,0,0,0,16.5,-109.75,-29.63,-9.24,-3.08,0.08,-0.71,0.01,0.67,0.24,568259,2519,T
