,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,Time,Label,,,0
0,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844558,0,S,,6530,6530
1,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844598,40,S,,1570,8100
2,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844638,80,S,,5740,13840
3,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844676,120,S,,2020,15860
4,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844716,160,S,,5740,21600
5,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844756,200,S,,1630,23230
6,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844797,241,S,,,
7,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,844837,282,S,,,
8,0,0,0,-47.56,19.56,54,-9.62,0.25,1.75,0.2,0.61,-0.22,0.74,844875,322,S,,,
9,0,0,0,-47.56,19.56,54,-9.62,0.25,1.75,0.2,0.61,-0.22,0.74,844915,361,S,,,
10,0,0,0,-47.56,19.56,54,-9.62,0.29,1.79,0.2,0.61,-0.22,0.74,844956,402,S,,,
11,0,0,0,-47.56,19.56,54,-9.62,0.29,1.79,0.2,0.61,-0.22,0.74,844996,442,S,,,
12,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845036,483,S,,,
13,0,0,0,-47.56,19.56,54,-9.66,0.25,1.79,0.2,0.61,-0.22,0.74,845075,522,S,,,
14,0,0,0,-47.56,19.56,54,-9.66,0.25,1.79,0.2,0.61,-0.22,0.74,845116,562,S,,,
15,0,0,0.01,-47.56,19.56,54,-9.66,0.25,1.79,0.2,0.61,-0.22,0.74,845157,601,S,,,
16,0,0,0,-47.56,19.56,54,-9.66,0.25,1.79,0.2,0.61,-0.22,0.74,845197,642,S,,,
17,0,0,0,-47.56,19.56,54,-9.62,0.29,1.79,0.2,0.61,-0.22,0.74,845237,682,S,,,
18,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845275,721,S,,,
19,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845315,761,S,,,
20,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845355,802,S,,,
21,0,0,0,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845394,842,S,,,
22,0,0,0,-47.56,19.56,54,-9.62,0.29,1.75,0.2,0.61,-0.22,0.74,845436,881,S,,,
23,0,0,0,-47.56,19.56,54,-9.62,0.29,1.79,0.2,0.61,-0.22,0.74,845475,921,S,,,
24,0,0,-0.01,-47.56,19.56,54,-9.62,0.29,1.79,0.2,0.61,-0.22,0.74,845515,960,S,,,
25,0,0,-0.01,-47.56,19.56,54,-9.62,0.29,1.79,0.2,0.61,-0.22,0.74,845556,1000,S,,,
26,0,0,-0.01,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845597,1039,S,,,
27,0,0,-0.01,-47.56,19.56,54,-9.62,0.25,1.75,0.2,0.61,-0.22,0.74,845637,1080,S,,,
28,0,0,-0.01,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845676,1119,S,,,
29,0,-0.03,-0.02,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,845716,1158,S,,,
30,0,-0.03,-0.02,-47.56,19.56,54,-9.58,0.21,1.83,0.2,0.61,-0.22,0.74,845759,1199,S,,,
31,0,-0.02,0,-47.56,19.56,54,-9.58,0.21,1.83,0.2,0.61,-0.22,0.74,845799,1238,S,,,
32,0,-0.02,0,-47.56,19.56,54,-9.62,0.21,1.83,0.2,0.61,-0.22,0.74,845839,1279,S,,,
33,0,-0.02,0,-47.56,19.56,54,-9.62,0.21,1.83,0.2,0.61,-0.22,0.74,845878,1318,S,,,
34,0,0,0.01,-47.56,19.56,54,-9.62,0.21,1.83,0.2,0.61,-0.22,0.74,845918,1358,S,,,
35,0.01,0.05,0,-47.56,19.56,54,-9.62,0.21,1.83,0.2,0.61,-0.22,0.74,845959,1399,S,,,
36,0,0.01,0.01,-47.56,19.56,54,-9.62,0.21,1.83,0.2,0.61,-0.22,0.74,845999,1440,S,,,
37,0,0.01,0.01,-47.56,19.56,54,-9.62,0.21,1.79,0.2,0.61,-0.22,0.74,846038,1480,S,,,
38,0,0.01,0.01,-47.56,19.56,54,-9.62,0.25,1.83,0.2,0.61,-0.22,0.74,846075,1519,S,,,
39,-0.01,0.02,0.03,-47.56,19.56,54,-9.62,0.25,1.83,0.2,0.61,-0.22,0.74,846115,1560,S,,,
40,-0.01,0,0.02,-47.56,19.56,54,-9.62,0.25,1.83,0.2,0.61,-0.22,0.74,846156,1600,S,,,
41,-0.01,0,0.02,-47.56,19.56,54,-9.62,0.25,1.79,0.2,0.61,-0.22,0.74,846196,1641,S,,,
42,-0.01,0,0.02,-47.56,19.56,54,-9.62,0.29,1.83,0.2,0.61,-0.22,0.74,846237,1682,S,,,
43,-0.01,0,0.02,-47.56,19.56,54,-9.66,0.29,1.79,0.2,0.61,-0.22,0.74,846276,1722,S,,,
44,0,0.05,0.01,-47.56,19.56,54,-9.66,0.29,1.79,0.2,0.61,-0.22,0.74,846316,1763,S,,,
45,-0.01,0.05,0.01,-47.56,19.56,54,-9.66,0.29,1.79,0.2,0.61,-0.22,0.74,846357,1803,S,,,
46,-0.01,0.05,0.01,-47.56,19.56,54,-9.66,0.29,1.75,0.2,0.61,-0.22,0.74,846396,1843,S,,,
47,-0.01,0.05,0.01,-47.56,19.56,54,-9.66,0.29,1.71,0.2,0.61,-0.22,0.74,846438,1883,S,,,
48,-0.01,0.05,0.01,-47.56,19.56,54,-9.66,0.29,1.68,0.2,0.61,-0.22,0.74,846477,1924,S,,,
49,-0.02,0.03,0.02,-47.56,19.56,54,-9.66,0.29,1.68,0.2,0.61,-0.22,0.74,846517,1964,S,,,
50,-0.02,0.03,0.02,-47.56,19.56,54,-9.7,0.25,1.6,0.2,0.61,-0.22,0.74,846557,2004,W,,,
51,-0.02,0.03,0.02,-47.56,19.56,54,-9.73,0.29,1.56,0.2,0.61,-0.22,0.74,846597,2046,W,,,
52,-0.02,0.03,0.02,-47.56,19.56,54,-10.04,0.02,1.87,0.2,0.61,-0.22,0.74,846637,2086,W,,,
53,-0.02,0.03,0.02,-47.56,19.56,54,-10.42,0.32,2.02,0.2,0.61,-0.22,0.74,846675,2127,W,,,
54,0.16,-0.05,1.77,-47.56,19.56,54,-10.42,0.32,2.02,0.2,0.61,-0.22,0.74,846716,2167,W,,,
55,0.16,-0.05,1.77,-47.56,19.56,54,-13.3,1.05,1.56,0.2,0.61,-0.22,0.74,846757,2208,W,,,
56,-0.7,-2.7,1.86,-47.56,19.56,54,-13.3,1.05,1.56,0.2,0.61,-0.22,0.74,846797,2249,W,,,
57,-0.7,-2.7,1.86,-47.56,19.56,54,-7.74,-6.68,0.87,0.2,0.61,-0.22,0.74,846839,2289,W,,,
58,-0.7,-2.7,1.86,-47.56,19.56,54,-7.7,-6.61,-0.51,0.2,0.61,-0.22,0.74,846879,2329,W,,,
59,-0.7,-2.7,1.86,-54.75,23.5,72.75,-7.7,-6.61,-0.51,0.2,0.61,-0.22,0.74,846920,2368,W,,,
60,0.95,0.24,-1.8,-54.75,23.5,72.75,-7.7,-6.61,-0.51,0.2,0.61,-0.22,0.74,846962,2408,W,,,
61,0.95,0.24,-1.8,-54.75,23.5,72.75,-10.35,0.44,2.18,0.2,0.61,-0.22,0.74,847004,2448,W,,,
62,0.95,0.24,-1.8,-54.75,23.5,72.75,-10.23,1.48,1.71,0.2,0.61,-0.22,0.74,847045,2488,W,,,
63,0.95,0.24,-1.8,-54.75,23.5,72.75,-7.59,2.74,1.79,0.2,0.61,-0.22,0.74,847086,2529,W,,,
64,0.95,0.24,-1.8,-54.75,23.5,72.75,-7.17,1.9,0.91,0.2,0.61,-0.22,0.74,847124,2566,W,,,
65,0.66,1.05,-0.29,-54.75,23.5,72.75,-7.17,1.9,0.91,0.2,0.61,-0.22,0.74,847165,2606,W,,,
66,0.66,1.05,-0.29,-54.75,23.5,72.75,-13.76,2.43,3.71,0.2,0.61,-0.22,0.74,847206,2647,W,,,
67,-0.63,0.66,-1.36,-54.75,23.5,72.75,-13.76,2.43,3.71,0.2,0.61,-0.22,0.74,847247,2688,W,,,
68,-0.63,0.66,-1.36,-54.75,23.5,72.75,-11.61,4.31,2.59,0.2,0.61,-0.22,0.74,847288,2728,W,,,
69,-0.63,0.66,-1.36,-54.75,23.5,72.75,-9.31,4.73,2.98,0.2,0.61,-0.22,0.74,847328,2767,W,,,
70,0.22,-0.36,-0.12,-54.75,23.5,72.75,-9.31,4.73,2.98,0.2,0.61,-0.22,0.74,847368,2807,W,,,
71,0.75,-0.61,0.97,-54.75,23.5,72.75,-9.31,4.73,2.98,0.2,0.61,-0.22,0.74,847408,2848,W,,,
72,0.75,-0.61,0.97,-54.75,23.5,72.75,-10.2,-0.06,4.13,0.2,0.61,-0.22,0.74,847448,2888,W,,,
73,0.75,-0.61,0.97,-54.75,23.5,72.75,-10.77,-0.98,2.25,0.2,0.61,-0.22,0.74,847489,2929,W,,,
74,0.75,-0.61,0.97,-54.75,23.5,72.75,-12.8,1.29,3.9,0.2,0.61,-0.22,0.74,847528,2968,W,,,
75,0.75,-0.61,0.97,-46.94,-16.06,56.88,-12.8,1.29,3.9,0.2,0.61,-0.22,0.74,847567,3009,W,,,
76,0.09,-0.03,0.11,-46.94,-16.06,56.88,-12.8,1.29,3.9,0.2,0.61,-0.22,0.74,847608,3049,W,,,
77,0.09,-0.03,0.11,-46.94,-16.06,56.88,-9.5,0.06,2.18,0.2,0.61,-0.22,0.74,847649,3089,W,,,
78,0.09,-0.03,0.11,-46.94,-16.06,56.88,-9.62,0.06,2.06,0.2,0.61,-0.22,0.74,847690,3130,W,,,
79,0.09,-0.03,0.11,-46.94,-16.06,56.88,-9.54,0.13,2.1,0.2,0.61,-0.22,0.74,847731,3171,W,,,
80,0.09,-0.03,0.11,-46.94,-16.06,56.88,-9.62,0.17,2.06,0.2,0.61,-0.22,0.74,847770,3212,W,,,
81,0.09,-0.03,0.11,-46.94,-16.06,56.88,-9.62,0.17,2.02,0.2,0.61,-0.22,0.74,847812,3254,W,,,
82,0,0.18,0.03,-46.94,-16.06,56.88,-9.62,0.17,2.02,0.2,0.61,-0.22,0.74,847853,3297,W,,,
83,0,0.18,0.03,-46.94,-16.06,56.88,-9.62,0.21,1.91,0.2,0.61,-0.22,0.74,847894,3338,W,,,
84,0,0.18,0.03,-46.94,-16.06,56.88,-9.66,0.17,1.79,0.2,0.61,-0.22,0.74,847934,3380,W,,,
85,0,0.18,0.03,-46.94,-16.06,56.88,-9.66,0.17,1.83,0.2,0.61,-0.22,0.74,847973,3421,W,,,
86,-0.02,0.08,0,-46.94,-16.06,56.88,-9.66,0.17,1.83,0.2,0.61,-0.22,0.74,848014,3462,W,,,
87,-0.02,0.09,0,-46.94,-16.06,56.88,-9.66,0.17,1.83,0.2,0.61,-0.22,0.74,848055,3504,W,,,
88,-0.02,0.09,0,-46.94,-16.06,56.88,-9.7,0.21,1.68,0.2,0.61,-0.22,0.74,848096,3546,W,,,
89,-0.02,0.09,0,-46.94,-16.06,56.88,-9.66,0.17,1.68,0.2,0.61,-0.22,0.74,848137,3588,W,,,
90,-0.02,0.09,0,-46.94,-16.06,56.88,-9.85,0.1,1.29,0.2,0.61,-0.22,0.74,848178,3629,W,,,
91,-0.02,0.09,0,-46.81,-16.88,46.63,-9.85,0.1,1.29,0.2,0.61,-0.22,0.74,848217,3669,W,,,
92,-0.02,0.09,0,-46.81,-16.88,46.63,-12.49,0.36,1.52,0.2,0.61,-0.22,0.74,848258,3710,W,,,
93,-0.02,0.09,0,-46.81,-16.88,46.63,-16.94,-0.52,1.33,0.2,0.61,-0.22,0.74,848300,3749,W,,,
94,-0.02,0.09,0,-46.81,-16.88,46.63,-12.53,-12.58,0.95,0.2,0.61,-0.22,0.74,848343,3787,W,,,
95,-0.02,0.09,0,-46.81,-16.88,46.63,-6.71,-6.3,4.09,0.2,0.61,-0.22,0.74,848385,3826,W,,,
96,-0.02,0.09,0,-46.81,-16.88,46.63,-6.79,-6.49,3.17,0.2,0.61,-0.22,0.74,848424,3864,W,,,
97,-0.01,0.2,-1.78,-46.81,-16.88,46.63,-6.79,-6.49,3.17,0.2,0.61,-0.22,0.74,848466,3903,W,,,
98,-0.03,0.33,-2.29,-46.81,-16.88,46.63,-6.79,-6.49,3.17,0.2,0.61,-0.22,0.74,848507,3942,W,,,
99,-0.03,0.33,-2.29,-46.81,-16.88,46.63,-10.58,1.09,4.74,0.2,0.61,-0.22,0.74,848548,3980,W,,,
100,-0.63,0.14,-1.68,-46.81,-16.88,46.63,-10.58,1.09,4.74,0.2,0.61,-0.22,0.74,848590,4018,W,,,
101,-0.63,0.14,-1.68,-46.81,-16.88,46.63,-11.11,0.94,3.63,0.2,0.61,-0.22,0.74,848631,4055,W,,,
102,-0.63,0.14,-1.68,-46.81,-16.88,46.63,-11.65,1.9,4.01,0.2,0.61,-0.22,0.74,848672,4094,W,,,
103,-1.08,0.87,-1.63,-46.81,-16.88,46.63,-11.65,1.9,4.01,0.2,0.61,-0.22,0.74,848714,4133,W,,,
104,-0.68,1.14,-1.01,-46.81,-16.88,46.63,-11.65,1.9,4.01,0.2,0.61,-0.22,0.74,848755,4172,W,,,
105,-0.68,1.14,-1.01,-46.81,-16.88,46.63,-10.61,5.96,3.32,0.2,0.61,-0.22,0.74,848797,4210,W,,,
106,-0.68,1.14,-1.01,-46.81,-16.88,46.63,-9.77,6.11,3.44,0.2,0.61,-0.22,0.74,848838,4248,W,,,
107,-0.68,1.14,-1.01,-46.81,-16.88,46.63,-6.29,7.57,1.48,0.2,0.61,-0.22,0.74,848880,4288,W,,,
108,-0.68,1.14,-1.01,-46.81,-16.88,46.63,-9.66,-3.16,3.13,0.2,0.61,-0.22,0.74,848919,4326,W,,,
109,0.68,-0.87,2.22,-46.81,-16.88,46.63,-9.66,-3.16,3.13,0.2,0.61,-0.22,0.74,848962,4363,W,,,
110,0.68,-0.87,2.22,-46.81,-16.88,46.63,-14.95,1.86,7.19,0.2,0.61,-0.22,0.74,849004,4402,W,,,
111,0.12,0.05,0.37,-46.81,-16.88,46.63,-14.95,1.86,7.19,0.2,0.61,-0.22,0.74,849045,4441,W,,,
112,0.12,0.05,0.37,-46.81,-16.88,46.63,-9.66,-0.06,2.37,0.2,0.61,-0.22,0.74,849086,4479,W,,,
113,0.12,0.05,0.37,-46.81,-16.88,46.63,-9.58,-0.25,2.18,0.2,0.61,-0.22,0.74,849125,4518,W,,,
114,0.04,0.17,0.2,-46.81,-16.88,46.63,-9.58,-0.25,2.18,0.2,0.61,-0.22,0.74,849165,4556,W,,,
115,0.01,0.26,0.14,-46.81,-16.88,46.63,-9.58,-0.25,2.18,0.2,0.61,-0.22,0.74,849205,4596,W,,,
116,0.01,0.26,0.14,-46.81,-16.88,46.63,-9.7,0.06,1.95,0.2,0.61,-0.22,0.74,849246,4636,W,,,
117,0.01,0.26,0.14,-46.81,-16.88,46.63,-9.62,0.06,1.95,0.2,0.61,-0.22,0.74,849286,4676,W,,,
118,0.01,0.26,0.14,-46.81,-16.88,46.63,-9.62,0.02,1.91,0.2,0.61,-0.22,0.74,849324,4714,W,,,
119,-0.02,0.13,0.02,-46.81,-16.88,46.63,-9.62,0.02,1.91,0.2,0.61,-0.22,0.74,849363,4754,W,,,
120,-0.01,0.11,0.01,-46.81,-16.88,46.63,-9.62,0.02,1.91,0.2,0.61,-0.22,0.74,849404,4794,W,,,
121,-0.01,0.11,0.01,-46.81,-16.88,46.63,-9.66,0.06,1.75,0.2,0.61,-0.22,0.74,849445,4835,W,,,
122,-0.01,0.11,0.01,-46.81,-16.88,46.63,-9.66,0.02,1.68,0.2,0.61,-0.22,0.74,849486,4875,W,,,
123,-0.01,0.11,0.01,-46.81,-16.88,46.63,-9.66,0.06,1.68,0.2,0.61,-0.22,0.74,849525,4912,W,,,
124,-0.01,0.11,0.01,-3.94,-8.63,0.69,-9.66,0.06,1.68,0.2,0.61,-0.22,0.74,849565,4951,W,,,
125,-0.01,0.11,0.01,-3.94,-8.63,0.69,-10,0.1,1.21,0.2,0.61,-0.22,0.74,849604,4991,W,,,
126,-0.31,0.14,2.76,-3.94,-8.63,0.69,-10,0.1,1.21,0.2,0.61,-0.22,0.74,849643,5029,W,,,
127,-0.31,0.14,2.76,-3.94,-8.63,0.69,-16.48,0.1,1.29,0.2,0.61,-0.22,0.74,849683,5068,W,,,
128,-0.31,0.14,2.76,-3.94,-8.63,0.69,-15.44,-0.44,1.64,0.2,0.61,-0.22,0.74,849721,5105,W,,,
129,-1.14,-1.4,1.96,-3.94,-8.63,0.69,-15.44,-0.44,1.64,0.2,0.61,-0.22,0.74,849761,5144,W,,,
130,-1.14,-1.4,1.96,-3.94,-8.63,0.69,-6.48,-7.57,3.13,0.2,0.61,-0.22,0.74,849803,5183,W,,,
131,-0.25,-0.01,-1.45,-3.94,-8.63,0.69,-6.48,-7.57,3.13,0.2,0.61,-0.22,0.74,849843,5222,W,,,
132,-0.25,-0.01,-1.45,-3.94,-8.63,0.69,-7.59,-1.97,3.29,0.2,0.61,-0.22,0.74,849883,5259,W,,,
133,-0.25,-0.01,-1.45,-3.94,-8.63,0.69,-10.2,0.55,4.74,0.2,0.61,-0.22,0.74,849923,5298,W,,,
134,-0.65,-0.09,-2.55,-3.94,-8.63,0.69,-10.2,0.55,4.74,0.2,0.61,-0.22,0.74,849964,5336,W,,,
135,-0.56,0.15,-2.06,-3.94,-8.63,0.69,-10.2,0.55,4.74,0.2,0.61,-0.22,0.74,850003,5375,W,,,
136,-0.56,0.15,-2.06,-3.94,-8.63,0.69,-10.23,4.88,3.59,0.2,0.61,-0.22,0.74,850043,5412,W,,,
137,-0.56,0.15,-2.06,-3.94,-8.63,0.69,-9.89,4.27,4.05,0.2,0.61,-0.22,0.74,850083,5451,W,,,
138,-0.56,0.15,-2.06,-3.94,-8.63,0.69,-10.84,2.66,2.52,0.2,0.61,-0.22,0.74,850121,5490,W,,,
139,-0.45,0.97,-1.44,-3.94,-8.63,0.69,-10.84,2.66,2.52,0.2,0.61,-0.22,0.74,850162,5529,W,,,
140,0.07,0.69,-0.88,-3.94,-8.63,0.69,-10.84,2.66,2.52,0.2,0.61,-0.22,0.74,850202,5568,W,,,
141,0.07,0.69,-0.88,-3.94,-8.63,0.69,-9.7,6.95,2.63,0.2,0.61,-0.22,0.74,850241,5606,W,,,
142,0.07,0.69,-0.88,-3.94,-8.63,0.69,-5.52,9.1,1.14,0.2,0.61,-0.22,0.74,850280,5645,W,,,
143,0.07,0.69,-0.88,-3.94,-8.63,0.69,-7.47,4.16,5.66,0.2,0.61,-0.22,0.74,850318,5684,W,,,
144,0.65,1.53,1.49,-3.94,-8.63,0.69,-7.47,4.16,5.66,0.2,0.61,-0.22,0.74,850357,5722,W,,,
145,0.65,1.53,1.49,-3.94,-8.63,0.69,-9.54,0.17,2.18,0.2,0.61,-0.22,0.74,850395,5759,W,,,
146,0.65,1.53,1.49,-3.94,-8.63,0.69,-9.89,0.25,2.18,0.2,0.61,-0.22,0.74,850434,5797,W,,,
147,0.65,1.53,1.49,-3.94,-8.63,0.69,-9.54,0.06,2.21,0.2,0.61,-0.22,0.74,850471,5836,W,,,
148,0,0.18,0.04,-3.94,-8.63,0.69,-9.54,0.06,2.21,0.2,0.61,-0.22,0.74,850510,5874,W,,,
149,0.04,0.13,0.04,-3.94,-8.63,0.69,-9.54,0.06,2.21,0.2,0.61,-0.22,0.74,850549,5913,W,,,
150,0.04,0.13,0.04,-3.94,-8.63,0.69,-9.62,0.1,1.98,0.2,0.61,-0.22,0.74,850588,5954,W,,,
151,0.04,0.13,0.04,-3.94,-8.63,0.69,-9.58,0.1,1.91,0.2,0.61,-0.22,0.74,850627,5994,W,,,
152,0.04,0.13,0.04,-3.94,-8.63,0.69,-9.66,0.1,1.83,0.2,0.61,-0.22,0.74,850664,6033,W,,,
153,-0.01,0.1,0.01,-3.94,-8.63,0.69,-9.66,0.1,1.83,0.2,0.61,-0.22,0.74,850703,6073,W,,,
154,0,0.1,0.01,-3.94,-8.63,0.69,-9.66,0.1,1.83,0.2,0.61,-0.22,0.74,850742,6112,W,,,
155,0,0.1,0.01,-3.94,-8.63,0.69,-9.66,0.1,1.71,0.2,0.61,-0.22,0.74,850781,6152,W,,,
156,0,0.1,0.01,-3.94,-8.63,0.69,-9.66,0.1,1.75,0.2,0.61,-0.22,0.74,850819,6192,W,,,
157,-0.02,0.01,0.06,-3.94,-8.63,0.69,-9.66,0.1,1.75,0.2,0.61,-0.22,0.74,850857,6231,W,,,
158,-0.02,-0.21,0.17,-3.94,-8.63,0.69,-9.66,0.1,1.75,0.2,0.61,-0.22,0.74,850896,6271,W,,,
159,-0.02,-0.21,0.17,-3.94,-8.63,0.69,-10.08,-0.4,1.64,0.2,0.61,-0.22,0.74,850935,6309,W,,,
160,-0.02,-0.21,0.17,-3.94,-8.63,0.69,-11,-0.98,2.67,0.2,0.61,-0.22,0.74,850975,6349,W,,,
161,-0.02,-0.21,0.17,-3.94,-8.63,0.69,-11.73,-0.52,2.9,0.2,0.61,-0.22,0.74,851014,6389,W,,,
162,1.3,-1.08,3.76,-3.94,-8.63,0.69,-11.73,-0.52,2.9,0.2,0.61,-0.22,0.74,851054,6428,W,,,
163,0.79,-1.55,0.79,-3.94,-8.63,0.69,-11.73,-0.52,2.9,0.2,0.61,-0.22,0.74,851094,6466,W,,,
164,0.79,-1.55,0.79,-3.94,-8.63,0.69,-7.32,-6.8,3.29,0.2,0.61,-0.22,0.74,851133,6504,W,,,
165,0.79,-1.55,0.79,-3.94,-8.63,0.69,-6.86,-7.53,-0.2,0.2,0.61,-0.22,0.74,851171,6544,W,,,
166,2.52,-1.02,-2.54,-3.94,-8.63,0.69,-6.86,-7.53,-0.2,0.2,0.61,-0.22,0.74,851213,6583,W,,,
167,2.67,-0.82,-2.6,-3.94,-8.63,0.69,-6.86,-7.53,-0.2,0.2,0.61,-0.22,0.74,851253,6623,W,,,
168,2.67,-0.82,-2.6,-3.94,-8.63,0.69,-14.37,0.79,-1.27,0.2,0.61,-0.22,0.74,851293,6659,W,,,
169,2.67,-0.82,-2.6,-3.94,-8.63,0.69,-13.95,1.25,-3.54,0.2,0.61,-0.22,0.74,851334,6699,W,,,
170,2.67,-0.82,-2.6,-3.94,-8.63,0.69,-12.84,3.31,-4.15,0.2,0.61,-0.22,0.74,851374,6737,W,,,
171,2.67,-0.82,-2.6,20,15,25.31,-12.84,3.31,-4.15,0.2,0.61,-0.22,0.74,851412,6776,W,,,
172,3.8,-0.14,-2.52,20,15,25.31,-12.84,3.31,-4.15,0.2,0.61,-0.22,0.74,851453,6814,W,,,
173,3.8,-0.14,-2.52,20,15,25.31,-10.61,6.65,-4.99,0.2,0.61,-0.22,0.74,851495,6853,W,,,
174,2.44,2.28,-0.02,20,15,25.31,-10.61,6.65,-4.99,0.2,0.61,-0.22,0.74,851536,6893,W,,,
175,2.44,2.28,-0.02,20,15,25.31,-21,7.53,11.68,0.2,0.61,-0.22,0.74,851577,6934,W,,,
176,2.44,2.28,-0.02,20,15,25.31,-9.39,-1.67,-1.23,0.2,0.61,-0.22,0.74,851616,6974,W,,,
177,2.44,2.28,-0.02,20,15,25.31,-9.58,0.25,1.41,0.2,0.61,-0.22,0.74,851658,7014,W,,,
178,0.01,-0.08,0.01,20,15,25.31,-9.58,0.25,1.41,0.2,0.61,-0.22,0.74,851698,7054,W,,,
179,0.01,-0.08,0.01,20,15,25.31,-9.7,0.02,1.45,0.2,0.61,-0.22,0.74,851738,7094,W,,,
