,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,Time,Label,,,0
0,0.02,0,0,-3.88,1,12.69,3.26,9.38,1.29,0.16,-0.31,0.14,0.93,616280,0,W,,6530,6530
1,0.01,0,0.01,-3.88,1,12.69,3.26,9.38,1.29,0.16,-0.31,0.14,0.93,616318,38,W,,1570,8100
2,0.01,0,0.01,-3.88,1,12.69,3.18,9.38,1.29,0.16,-0.31,0.14,0.93,616356,76,W,,5740,13840
3,0.01,0,0.01,-3.88,1,12.69,3.18,9.38,1.33,0.16,-0.31,0.14,0.93,616395,115,W,,2020,15860
4,0.01,0,0.01,-3.88,1,12.69,3.22,9.38,1.33,0.16,-0.31,0.14,0.93,616432,152,W,,5740,21600
5,0.01,0.01,-0.01,-3.88,1,12.69,3.22,9.38,1.33,0.16,-0.31,0.14,0.93,616471,191,W,,1630,23230
6,0.01,0.01,-0.01,-3.88,1,12.69,3.22,9.38,1.33,0.16,-0.31,0.14,0.93,616510,230,W,,,
7,0.01,0.01,-0.01,-3.88,1,12.69,3.26,9.34,1.33,0.16,-0.31,0.14,0.93,616548,268,W,,,
8,0.01,0.01,-0.01,-3.88,1,12.69,3.26,9.34,1.33,0.16,-0.31,0.14,0.93,616587,307,W,,,
9,0.01,0.01,-0.01,-5.75,2.81,13.44,3.26,9.34,1.33,0.16,-0.31,0.14,0.93,616624,344,W,,,
10,0.01,0.02,-0.01,-5.75,2.81,13.44,3.26,9.34,1.33,0.16,-0.31,0.14,0.93,616664,384,W,,,
11,0.01,0.02,-0.01,-5.75,2.81,13.44,3.22,9.34,1.33,0.16,-0.31,0.14,0.93,616702,422,W,,,
12,0.01,0.02,-0.01,-5.75,2.81,13.44,3.26,9.38,1.33,0.16,-0.31,0.14,0.93,616742,462,W,,,
13,0.01,0.02,-0.01,-5.75,2.81,13.44,3.26,9.34,1.29,0.16,-0.31,0.14,0.93,616779,499,W,,,
14,0.01,0.02,0.01,-5.75,2.81,13.44,3.26,9.34,1.29,0.16,-0.31,0.14,0.93,616818,538,W,,,
15,0.01,0.02,0.01,-5.75,2.81,13.44,3.14,9.38,1.26,0.16,-0.31,0.14,0.93,616856,576,W,,,
16,0.01,0.02,0.01,-5.75,2.81,13.44,3.18,9.38,1.29,0.16,-0.31,0.14,0.93,616895,615,W,,,
17,0.01,0.02,0.01,-5.75,2.81,13.44,3.18,9.34,1.29,0.16,-0.31,0.14,0.93,616932,652,W,,,
18,0.02,0.01,0.01,-5.75,2.81,13.44,3.18,9.34,1.29,0.16,-0.31,0.14,0.93,616971,691,W,,,
19,0.02,-0.01,0,-5.75,2.81,13.44,3.18,9.34,1.29,0.16,-0.31,0.14,0.93,617010,730,W,,,
20,0.02,-0.01,0,-5.75,2.81,13.44,3.26,9.34,1.33,0.16,-0.31,0.14,0.93,617048,768,W,,,
21,0.02,-0.01,0,-5.75,2.81,13.44,3.22,9.3,1.29,0.16,-0.31,0.14,0.93,617086,806,W,,,
22,0.02,-0.01,0,-4.06,3,11.44,3.22,9.3,1.29,0.16,-0.31,0.14,0.93,617124,844,W,,,
