,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,-0.01,-0.02,0,-1.19,9,6,4.33,8.91,1.3,0.09,-0.01,0.01,1,98396,0,W,,5410,5410
1,0.01,0,0,-1.19,9,6,4.33,8.91,1.3,0.09,-0.01,0.01,1,98435,39,W,,2520,7930
2,0.01,0,0,-1.19,9,6,4.33,8.87,1.3,0.09,-0.01,0.01,1,98471,75,W,,6470,14400
3,0.01,0,0,-1.19,9,6,4.33,8.95,1.3,0.09,-0.01,0.01,1,98509,113,W,,2580,16980
4,0.01,0,0,-1.19,9,6,4.33,8.99,1.22,0.09,-0.01,0.01,1,98545,149,W,,6010,22990
5,0.01,0,0,-1.19,9,6,4.3,8.91,1.22,0.09,-0.01,0.01,1,98584,188,W,,2540,25530
6,0.01,0.01,0,-1.19,9,6,4.3,8.91,1.22,0.09,-0.01,0.01,1,98622,226,W,,5160,30690
7,0.01,0.01,0,-1.19,9,6,4.33,8.91,1.3,0.09,-0.01,0.01,1,98659,263,W,,1160,31850
8,0.01,0.01,0,-1.19,9,6,4.33,8.91,1.3,0.09,-0.01,0.01,1,98695,299,W,,,
9,0.01,0.01,0,-1.19,9,6,4.33,8.95,1.3,0.09,-0.01,0.01,1,98734,338,W,,,
10,0.01,0.01,0,-1.19,9,6,4.33,8.95,1.26,0.09,-0.01,0.01,1,98772,376,W,,,
11,0.01,0.01,0,-1.19,9,6,4.3,8.91,1.26,0.09,-0.01,0.01,1,98809,413,W,,,
12,0.01,0.01,0,-1.19,9,6,4.33,8.87,1.26,0.09,-0.01,0.01,1,98846,450,W,,,
13,0.01,0.01,0,-1.19,9,6,4.33,8.87,1.26,0.09,-0.01,0.01,1,98884,488,W,,,
14,0.01,0.01,0,-1.19,9,6,4.33,8.91,1.3,0.09,-0.01,0.01,1,98923,527,W,,,
15,0.01,0.01,0,-1.19,9,6,4.33,8.91,1.26,0.09,-0.01,0.01,1,98961,565,W,,,
16,0.01,0.01,0,-1.19,9,6,4.37,8.95,1.3,0.09,-0.01,0.01,1,98997,601,W,,,
