,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,,0
0,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,279792,0,S,,6410,6410
1,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,279832,40,S,,2120,8530
2,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.25,-0.38,0.52,0.45,0.61,279870,78,S,,7480,16010
3,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.25,-0.38,0.52,0.45,0.61,279910,118,S,,3000,19010
4,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,279951,159,S,,8750,27760
5,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,279991,199,S,,1450,29210
6,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280031,239,S,,,
7,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280070,278,S,,,
8,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280111,319,S,,,
9,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280151,359,S,,,
10,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280190,398,S,,,
11,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280230,438,S,,,
12,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280268,476,S,,,
13,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280308,516,S,,,
14,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280348,556,S,,,
15,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280387,595,S,,,
16,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280427,635,S,,,
17,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280466,674,S,,,
18,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280506,714,S,,,
19,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280545,753,S,,,
20,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280585,793,S,,,
21,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280624,832,S,,,
22,0.01,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280663,871,S,,,
23,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280702,910,S,,,
24,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280742,950,S,,,
25,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,280783,991,S,,,
26,0,0,0,-38.81,21.81,61.69,-9.73,0.02,1.25,-0.38,0.52,0.45,0.61,280821,1029,S,,,
27,0,-0.01,-0.01,-38.81,21.81,61.69,-9.73,0.02,1.25,-0.38,0.52,0.45,0.61,280861,1069,S,,,
28,-0.01,-0.01,-0.01,-38.81,21.81,61.69,-9.73,0.02,1.25,-0.38,0.52,0.45,0.61,280902,1110,S,,,
29,-0.01,-0.01,-0.01,-38.81,21.81,61.69,-9.73,0.02,1.25,-0.38,0.52,0.45,0.61,280943,1151,S,,,
30,-0.01,-0.01,-0.01,-38.81,21.81,61.69,-9.73,-0.02,1.29,-0.38,0.52,0.45,0.61,280984,1192,S,,,
31,-0.01,-0.01,-0.01,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,281024,1232,S,,,
32,0,-0.03,-0.01,-38.81,21.81,61.69,-9.73,0.02,1.29,-0.38,0.52,0.45,0.61,281065,1273,S,,,
33,0,-0.03,-0.01,-38.81,21.81,61.69,-9.73,-0.06,1.29,-0.38,0.52,0.45,0.61,281106,1314,S,,,
34,0.03,-0.06,-0.01,-38.81,21.81,61.69,-9.73,-0.06,1.29,-0.38,0.52,0.45,0.61,281147,1355,S,,,
35,0.03,-0.06,-0.01,-38.81,21.81,61.69,-9.62,-0.02,1.45,-0.38,0.52,0.45,0.61,281189,1397,S,,,
36,0.03,-0.06,-0.01,-38.81,21.81,61.69,-9.7,-0.02,1.45,-0.38,0.52,0.45,0.61,281232,1440,S,,,
37,0.03,-0.06,-0.01,-38.81,21.81,61.69,-9.66,-0.06,1.45,-0.38,0.52,0.45,0.61,281271,1479,S,,,
38,0.01,0.01,0.02,-38.81,21.81,61.69,-9.66,-0.06,1.45,-0.38,0.52,0.45,0.61,281312,1520,W,,,
39,-0.01,-0.02,0.03,-38.81,21.81,61.69,-9.66,-0.06,1.45,-0.38,0.52,0.45,0.61,281352,1560,W,,,
40,-0.01,-0.02,0.03,-38.81,21.81,61.69,-9.66,0.02,1.45,-0.38,0.52,0.45,0.61,281394,1602,W,,,
41,-0.01,-0.02,0.03,-38.81,21.81,61.69,-9.73,0.02,1.41,-0.38,0.52,0.45,0.61,281434,1642,W,,,
42,-0.01,-0.02,0.03,-38.81,21.81,61.69,-9.73,0.02,1.41,-0.38,0.52,0.45,0.61,281473,1681,W,,,
43,-0.01,0.02,0.01,-38.81,21.81,61.69,-9.73,0.02,1.41,-0.38,0.52,0.45,0.61,281513,1721,W,,,
44,-0.01,0.02,0.01,-38.81,21.81,61.69,-9.7,0.02,1.41,-0.38,0.52,0.45,0.61,281553,1761,W,,,
