,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.09,-0.20,-0.01,19.94,-19.62,10.75,3.56,-1.74,9.26,0.64,0.24,0.47,0.56,1767006,15:13:39.106210
1,0.09,-0.20,-0.01,19.94,-19.62,10.75,4.09,-0.93,8.99,0.64,0.24,0.47,0.56,1767054,15:13:39.158854
2,0.09,-0.20,-0.01,19.94,-19.62,10.75,3.79,8.95,-1.27,0.64,0.24,0.47,0.56,1767122,15:13:39.212926
3,0.09,-0.20,-0.01,19.94,-19.62,10.75,4.02,8.91,-1.08,0.64,0.24,0.47,0.56,1767190,15:13:39.293016
4,0.03,0.14,-0.02,19.94,-19.62,10.75,4.02,8.91,-1.08,0.64,0.24,0.47,0.56,1767292,15:13:39.392535
5,0.00,0.05,0.02,19.94,-19.62,10.75,4.02,8.91,-1.08,0.64,0.24,0.47,0.56,1767421,15:13:39.512582
6,0.00,0.04,-0.00,19.94,-19.62,10.75,4.02,8.91,-1.08,0.64,0.24,0.47,0.56,1767463,15:13:39.561566
7,0.00,0.04,-0.00,19.94,-19.62,10.75,3.90,8.91,-1.16,0.64,0.24,0.47,0.56,1767555,15:13:39.659444
8,0.00,0.04,-0.00,19.94,-19.62,10.75,3.94,8.95,-1.12,0.64,0.24,0.47,0.56,1767849,15:13:39.951118
9,0.00,0.04,-0.00,19.94,-19.62,10.75,4.02,8.88,-1.04,0.64,0.24,0.47,0.56,1767924,15:13:40.024667
10,0.00,0.04,-0.00,19.94,-19.62,10.75,3.94,8.91,-1.08,0.64,0.24,0.47,0.56,1767983,15:13:40.084065
11,0.00,0.04,-0.00,19.94,-19.62,10.75,3.79,8.95,-0.93,0.64,0.24,0.47,0.56,1768038,15:13:40.138803
12,-0.01,-0.04,0.01,19.94,-19.62,10.75,3.79,8.95,-0.93,0.64,0.24,0.47,0.56,1768070,15:13:40.174021
13,-0.01,-0.04,0.01,19.94,-19.62,10.75,4.02,8.91,-0.89,0.64,0.24,0.47,0.56,1768166,15:13:40.268412
14,0.03,0.09,-0.04,19.94,-19.62,10.75,4.02,8.91,-0.89,0.64,0.24,0.47,0.56,1768236,15:13:40.336706
15,0.03,0.09,-0.04,19.94,-19.62,10.75,3.87,8.99,-0.93,0.64,0.24,0.47,0.56,1768276,15:13:40.377651
16,0.01,-0.03,-0.01,19.94,-19.62,10.75,3.87,8.99,-0.93,0.64,0.24,0.47,0.56,1768321,15:13:40.423893
17,0.01,-0.03,-0.01,19.94,-19.62,10.75,4.09,9.03,-0.78,0.64,0.24,0.47,0.56,1768385,15:13:40.488812
18,0.01,-0.03,-0.01,19.94,-19.62,10.75,4.06,8.95,-0.85,0.64,0.24,0.47,0.56,1768483,15:13:40.561755
19,0.01,-0.03,-0.01,19.94,-19.62,10.75,3.87,9.03,-0.89,0.64,0.24,0.47,0.56,1768538,15:13:40.632456
20,0.01,-0.03,-0.01,19.94,-19.62,10.75,3.90,9.03,-0.89,0.64,0.24,0.47,0.56,1768597,15:13:40.685076
21,-0.00,0.01,-0.02,19.94,-19.62,10.75,3.90,9.03,-0.89,0.64,0.24,0.47,0.56,1768673,15:13:40.763539
22,-0.01,0.00,-0.01,19.94,-19.62,10.75,3.90,9.03,-0.89,0.64,0.24,0.47,0.56,1768774,15:13:40.837634
23,-0.01,0.00,-0.01,19.94,-19.62,10.75,3.83,8.95,-0.89,0.64,0.24,0.47,0.56,1768820,15:13:40.920569
24,0.00,-0.00,-0.01,19.94,-19.62,10.75,3.83,8.95,-0.89,0.64,0.24,0.47,0.56,1768928,15:13:41.031475
25,0.00,-0.00,-0.01,19.94,-19.62,10.75,3.94,8.99,-0.81,0.64,0.24,0.47,0.56,1769097,15:13:41.195517
26,0.00,-0.00,-0.01,19.94,-19.62,10.75,3.71,9.03,-1.00,0.64,0.24,0.47,0.56,1769187,15:13:41.284537
27,0.00,-0.02,0.00,19.94,-19.62,10.75,3.71,9.03,-1.00,0.64,0.24,0.47,0.56,1769341,15:13:41.437687
28,-0.00,-0.01,-0.00,19.94,-19.62,10.75,3.71,9.03,-1.00,0.64,0.24,0.47,0.56,1769446,15:13:41.546963
29,-0.00,-0.01,-0.00,19.94,-19.62,10.75,3.94,8.99,-0.85,0.64,0.24,0.47,0.56,1769546,15:13:41.646390
30,-0.00,0.02,-0.01,19.94,-19.62,10.75,3.94,8.99,-0.85,0.64,0.24,0.47,0.56,1769638,15:13:41.734288
31,-0.02,-0.04,0.01,19.94,-19.62,10.75,3.94,8.99,-0.85,0.64,0.24,0.47,0.56,1769915,15:13:42.012963
32,0.00,-0.00,-0.00,19.94,-19.62,10.75,3.94,8.99,-0.85,0.64,0.24,0.47,0.56,1769953,15:13:42.052992
33,0.00,-0.00,-0.00,19.94,-19.62,10.75,3.64,8.76,-0.62,0.64,0.24,0.47,0.56,1769999,15:13:42.100924
34,0.00,-0.00,-0.00,13.69,-12.94,2.69,3.64,8.76,-0.62,0.64,0.24,0.47,0.56,1770076,15:13:42.172557
35,-0.06,0.04,0.19,13.69,-12.94,2.69,3.64,8.76,-0.62,0.64,0.24,0.47,0.56,1770135,15:13:42.236399
36,-0.06,0.04,0.19,13.69,-12.94,2.69,3.21,8.95,-0.24,0.64,0.24,0.47,0.56,1770178,15:13:42.279455
37,-0.06,0.04,0.19,13.69,-12.94,2.69,4.52,9.11,0.30,0.64,0.24,0.47,0.56,1770215,15:13:42.315194
38,-0.17,-0.03,-0.11,13.69,-12.94,2.69,4.52,9.11,0.30,0.64,0.24,0.47,0.56,1770252,15:13:42.354987
39,-0.17,-0.03,-0.11,13.69,-12.94,2.69,5.55,8.38,0.41,0.64,0.24,0.47,0.56,1770324,15:13:42.422817
40,-0.17,-0.03,-0.11,14.06,-12.50,0.37,5.55,8.38,0.41,0.64,0.24,0.47,0.56,1770383,15:13:42.485254
41,-0.17,-0.03,-0.11,14.06,-12.50,0.37,6.01,8.53,0.41,0.64,0.24,0.47,0.56,1770632,15:13:42.715136
42,-0.17,-0.03,-0.11,14.06,-12.50,0.37,5.55,8.38,-0.24,0.64,0.24,0.47,0.56,1770780,15:13:42.876216
43,-0.17,-0.03,-0.11,14.06,-12.50,0.37,4.94,8.49,0.34,0.64,0.24,0.47,0.56,1771231,15:13:43.330534
44,-0.78,-0.65,0.95,14.06,-12.50,0.37,4.94,8.49,0.34,0.64,0.24,0.47,0.56,1771274,15:13:43.370670
45,0.95,0.74,-1.31,14.06,-12.50,0.37,4.94,8.49,0.34,0.64,0.24,0.47,0.56,1771388,15:13:43.484444
46,0.95,0.74,-1.31,14.06,-12.50,0.37,3.02,9.91,1.07,0.64,0.24,0.47,0.56,1771717,15:13:43.816139
47,0.94,-0.48,-0.52,14.06,-12.50,0.37,3.02,9.91,1.07,0.64,0.24,0.47,0.56,1771779,15:13:43.876154
48,0.94,-0.48,-0.52,14.06,-12.50,0.37,3.37,10.64,0.14,0.64,0.24,0.47,0.56,1771855,15:13:43.957259
49,0.94,-0.48,-0.52,14.06,-12.50,0.37,2.79,9.91,0.22,0.64,0.24,0.47,0.56,1771902,15:13:44.003074
50,0.94,-0.48,-0.52,17.37,-3.06,-0.06,2.79,9.91,0.22,0.64,0.24,0.47,0.56,1772024,15:13:44.124760
51,-0.44,-0.07,0.69,17.37,-3.06,-0.06,2.79,9.91,0.22,0.64,0.24,0.47,0.56,1772068,15:13:44.163766
52,-0.44,-0.07,0.69,17.37,-3.06,-0.06,3.45,10.18,-2.27,0.64,0.24,0.47,0.56,1772102,15:13:44.204161
53,-0.44,-0.07,0.69,17.37,-3.06,-0.06,3.29,9.41,-1.73,0.64,0.24,0.47,0.56,1772133,15:13:44.237195
54,-0.36,0.93,1.51,17.37,-3.06,-0.06,3.29,9.41,-1.73,0.64,0.24,0.47,0.56,1772191,15:13:44.294031
