,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.01,0.00,0.00,15.13,-8.50,6.69,3.33,9.22,-0.31,0.48,-0.53,-0.33,0.61,84172,15:22:31.186420
1,-0.01,0.00,0.00,15.13,-8.50,6.69,3.41,9.26,-0.24,0.48,-0.53,-0.33,0.61,84210,15:22:31.226961
2,0.11,0.18,0.01,15.13,-8.50,6.69,3.41,9.26,-0.24,0.48,-0.53,-0.33,0.61,84238,15:22:31.254422
3,0.11,0.18,0.01,15.13,-8.50,6.69,3.02,9.49,-1.43,0.48,-0.53,-0.33,0.61,84270,15:22:31.289793
4,0.06,0.00,0.03,15.13,-8.50,6.69,3.02,9.49,-1.43,0.48,-0.53,-0.33,0.61,84301,15:22:31.318739
5,0.05,-0.06,0.03,15.13,-8.50,6.69,3.02,9.49,-1.43,0.48,-0.53,-0.33,0.61,84329,15:22:31.345897
6,0.05,-0.06,0.03,15.13,-8.50,6.69,3.10,9.14,-1.31,0.48,-0.53,-0.33,0.61,84364,15:22:31.384764
7,0.04,-0.09,0.01,15.13,-8.50,6.69,3.10,9.14,-1.31,0.48,-0.53,-0.33,0.61,84401,15:22:31.418045
8,0.04,-0.09,0.01,15.13,-8.50,6.69,3.25,9.14,-1.31,0.48,-0.53,-0.33,0.61,84435,15:22:31.452022
9,0.04,-0.09,0.01,15.13,-8.50,6.69,3.33,9.18,-1.20,0.48,-0.53,-0.33,0.61,84467,15:22:31.487105
10,0.03,-0.15,-0.05,15.13,-8.50,6.69,3.33,9.18,-1.20,0.48,-0.53,-0.33,0.61,84499,15:22:31.514579
11,0.03,-0.15,-0.05,15.13,-8.50,6.69,3.68,9.38,-1.23,0.48,-0.53,-0.33,0.61,84571,15:22:31.588684
12,0.03,-0.15,-0.05,15.13,-8.50,6.69,3.56,9.22,-1.23,0.48,-0.53,-0.33,0.61,84612,15:22:31.629441
13,0.03,-0.15,-0.05,15.13,-8.50,6.69,3.60,8.80,-0.93,0.48,-0.53,-0.33,0.61,84639,15:22:31.655917
14,-0.12,-0.01,-0.04,15.13,-8.50,6.69,3.60,8.80,-0.93,0.48,-0.53,-0.33,0.61,84662,15:22:31.680524
15,-0.12,-0.01,-0.04,15.13,-8.50,6.69,3.60,8.80,-0.93,0.66,-0.35,-0.08,0.66,84694,15:22:31.711880
16,-0.12,-0.01,-0.04,15.13,-8.50,6.69,3.98,9.53,-1.58,0.66,-0.35,-0.08,0.66,84740,15:22:31.744202
17,-0.12,-0.01,-0.04,4.25,-7.50,20.37,3.98,9.53,-1.58,0.66,-0.35,-0.08,0.66,84770,15:22:31.787620
18,-0.12,-0.11,0.16,4.25,-7.50,20.37,3.98,9.53,-1.58,0.66,-0.35,-0.08,0.66,84798,15:22:31.814092
19,-0.13,-0.19,0.15,4.25,-7.50,20.37,3.98,9.53,-1.58,0.66,-0.35,-0.08,0.66,84827,15:22:31.844252
20,-0.13,-0.19,0.15,4.25,-7.50,20.37,2.95,8.95,-1.08,0.66,-0.35,-0.08,0.66,84856,15:22:31.875107
21,-0.13,-0.19,0.15,4.25,-7.50,20.37,3.56,9.03,-1.08,0.66,-0.35,-0.08,0.66,84914,15:22:31.928317
22,-0.13,-0.19,0.15,4.25,-7.50,20.37,3.87,8.95,-0.93,0.66,-0.35,-0.08,0.66,84949,15:22:31.964286
23,-0.13,-0.19,0.15,4.25,-7.50,20.37,4.02,9.49,-1.62,0.66,-0.35,-0.08,0.66,84983,15:22:32.001877
24,-0.13,-0.19,0.15,4.25,-7.50,20.37,3.87,9.38,-1.65,0.66,-0.35,-0.08,0.66,85041,15:22:32.047923
25,-0.09,0.07,0.14,4.25,-7.50,20.37,3.87,9.38,-1.65,0.66,-0.35,-0.08,0.66,85073,15:22:32.091848
26,-0.15,0.05,0.10,4.25,-7.50,20.37,3.87,9.38,-1.65,0.66,-0.35,-0.08,0.66,85112,15:22:32.128745
27,-0.15,0.05,0.10,4.25,-7.50,20.37,3.75,8.95,-0.96,0.66,-0.35,-0.08,0.66,85179,15:22:32.196823
28,-0.15,0.05,0.10,4.25,-7.50,20.37,3.91,8.99,-1.12,0.66,-0.35,-0.08,0.66,85216,15:22:32.233936
29,-0.15,0.05,0.10,4.25,-7.50,20.37,3.98,9.03,-1.23,0.66,-0.35,-0.08,0.66,85253,15:22:32.270514
30,-0.30,-0.35,0.10,4.25,-7.50,20.37,3.98,9.03,-1.23,0.66,-0.35,-0.08,0.66,85283,15:22:32.299954
31,-0.30,-0.35,0.10,4.25,-7.50,20.37,3.71,9.22,-0.62,0.66,-0.35,-0.08,0.66,85327,15:22:32.334758
32,-0.31,-0.38,0.08,4.25,-7.50,20.37,3.71,9.22,-0.62,0.66,-0.35,-0.08,0.66,85414,15:22:32.423479
33,-0.31,-0.38,0.08,4.25,-7.50,20.37,3.94,9.07,-0.62,0.66,-0.35,-0.08,0.66,85479,15:22:32.492761
34,-0.31,-0.38,0.08,4.25,-7.50,20.37,3.83,8.80,-0.20,0.66,-0.35,-0.08,0.66,85522,15:22:32.535107
35,-0.39,-0.61,0.11,4.25,-7.50,20.37,3.83,8.80,-0.20,0.66,-0.35,-0.08,0.66,85564,15:22:32.581844
36,-0.39,-0.61,0.11,4.25,-7.50,20.37,3.83,8.38,-0.70,0.66,-0.35,-0.08,0.66,85620,15:22:32.638434
37,-0.39,-0.61,0.11,4.25,-7.50,20.37,3.83,8.68,-0.58,0.66,-0.35,-0.08,0.66,85662,15:22:32.678742
38,-0.39,-0.61,0.11,4.25,-7.50,20.37,4.55,9.26,0.37,0.66,-0.35,-0.08,0.66,85743,15:22:32.744611
