,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.02,-0.03,-0.02,-1.75,-2.19,7.94,-0.79,9.34,1.93,0.59,-0.20,-0.30,0.72,257890
1,0.03,-0.05,-0.03,-1.75,-2.19,7.94,-0.79,9.34,1.93,0.59,-0.20,-0.30,0.72,257908
2,0.08,-0.08,-0.02,-1.75,-2.19,7.94,-0.79,9.34,1.93,0.59,-0.20,-0.30,0.72,257926
3,0.08,-0.08,-0.02,-1.75,-2.19,7.94,-0.75,9.73,2.08,0.59,-0.20,-0.30,0.72,257945
4,0.12,-0.06,-0.05,-1.75,-2.19,7.94,-0.75,9.73,2.08,0.59,-0.20,-0.30,0.72,257969
5,0.12,-0.06,-0.05,-1.75,-2.19,7.94,-0.64,9.77,2.27,0.59,-0.20,-0.30,0.72,257982
6,0.12,-0.06,-0.05,-1.75,-2.19,7.94,-0.56,9.61,2.35,0.59,-0.20,-0.30,0.72,257997
7,0.03,-0.12,-0.00,-1.75,-2.19,7.94,-0.56,9.61,2.35,0.59,-0.20,-0.30,0.72,258010
8,0.03,-0.12,-0.00,-1.75,-2.19,7.94,-0.52,9.61,2.35,0.59,-0.20,-0.30,0.72,258024
9,-0.04,-0.03,0.04,-1.75,-2.19,7.94,-0.52,9.61,2.35,0.59,-0.20,-0.30,0.72,258042
10,-0.04,-0.03,0.04,-1.75,-2.19,7.94,-0.52,9.61,2.35,0.59,-0.20,-0.30,0.72,258055
11,-0.04,-0.03,0.04,-0.94,-2.44,3.69,-0.52,9.61,2.35,0.59,-0.20,-0.30,0.72,258069
12,-0.04,-0.03,0.04,-0.94,-2.44,3.69,-0.75,9.54,2.04,0.59,-0.20,-0.30,0.72,260042
13,-0.04,-0.03,0.01,-0.94,-2.44,3.69,-0.75,9.54,2.04,0.59,-0.20,-0.30,0.72,260068
14,-0.04,-0.03,0.01,-0.94,-2.44,3.69,-0.75,9.57,2.04,0.59,-0.20,-0.30,0.72,260085
15,0.00,0.02,-0.00,-0.94,-2.44,3.69,-0.75,9.57,2.04,0.59,-0.20,-0.30,0.72,260108
