,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.01,0.00,0.00,21.87,21.37,32.69,-8.52,2.19,4.14,-0.28,0.46,0.61,0.58,3668128
1,-0.01,0.00,0.00,21.87,21.37,32.69,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668143
2,0.00,0.00,-0.00,21.87,21.37,32.69,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668157
3,0.00,0.00,-0.00,21.87,21.37,32.69,-8.52,2.19,4.14,-0.28,0.46,0.61,0.58,3668171
4,0.00,0.00,-0.00,21.87,21.37,32.69,-8.56,2.23,4.14,-0.28,0.46,0.61,0.58,3668184
5,-0.00,0.00,0.00,21.87,21.37,32.69,-8.56,2.23,4.14,-0.28,0.46,0.61,0.58,3668198
6,-0.00,0.00,0.00,21.87,21.37,32.69,-8.56,2.23,4.14,-0.28,0.46,0.61,0.58,3668212
7,-0.00,0.00,0.00,21.87,21.37,32.69,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668225
8,0.00,0.00,0.00,21.87,21.37,32.69,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668240
9,0.00,0.00,0.00,21.87,21.37,32.69,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668329
10,0.00,0.00,0.00,24.12,20.81,31.56,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668348
11,-0.00,0.00,-0.00,24.12,20.81,31.56,-8.52,2.23,4.14,-0.28,0.46,0.61,0.58,3668364
12,-0.00,0.00,-0.00,24.12,20.81,31.56,-8.52,2.19,4.14,-0.28,0.46,0.61,0.58,3668378
13,0.00,0.00,0.00,24.12,20.81,31.56,-8.52,2.19,4.14,-0.28,0.46,0.61,0.58,3668391
14,0.00,0.00,0.00,24.12,20.81,31.56,-8.52,2.19,4.14,-0.28,0.45,0.61,0.58,3668655
15,0.00,0.00,0.00,24.06,21.44,31.62,-8.52,2.19,4.14,-0.28,0.45,0.61,0.58,3668677
16,0.00,0.00,0.00,24.06,21.44,31.62,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3668689
17,0.00,-0.00,0.00,24.06,21.44,31.62,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3668703
18,0.00,-0.00,0.00,24.06,21.44,31.62,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3668718
19,0.00,-0.00,0.00,24.06,21.44,31.62,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3669006
20,0.00,0.00,-0.00,24.06,21.44,31.62,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3669030
21,0.00,0.00,-0.00,24.06,21.44,31.62,-8.52,2.23,4.14,-0.28,0.45,0.61,0.58,3669043
22,0.00,0.00,-0.00,24.06,21.44,31.62,-8.56,2.19,4.14,-0.28,0.45,0.61,0.58,3669059
23,0.00,0.00,-0.00,23.19,20.37,30.87,-8.56,2.19,4.14,-0.28,0.45,0.61,0.58,3669225
24,0.00,0.00,-0.00,23.19,20.37,30.87,-8.52,2.23,4.14,-0.28,0.45,0.61,0.58,3669538
25,0.00,0.00,-0.00,23.19,20.37,30.87,-8.52,2.19,4.14,-0.28,0.45,0.61,0.58,3669580
26,0.00,-0.00,0.00,23.19,20.37,30.87,-8.52,2.19,4.14,-0.28,0.45,0.61,0.58,3669595
27,0.00,-0.00,0.00,23.19,20.37,30.87,-8.52,2.19,4.11,-0.28,0.45,0.61,0.58,3669611
28,0.00,-0.00,0.00,23.19,20.37,30.87,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3669635
29,0.00,0.00,0.00,23.19,20.37,30.87,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3669649
30,0.00,0.00,0.00,23.19,20.37,30.87,-8.56,2.23,4.14,-0.28,0.45,0.61,0.58,3669667
31,0.00,0.00,0.00,23.19,20.37,30.87,-8.52,2.23,4.14,-0.28,0.45,0.61,0.58,3669688
32,0.00,0.00,-0.00,23.19,20.37,30.87,-8.52,2.23,4.14,-0.28,0.45,0.61,0.58,3669702
33,0.00,0.00,-0.00,23.19,20.37,30.87,-8.52,2.23,4.14,-0.28,0.45,0.61,0.58,3669717
34,0.00,0.00,-0.00,23.19,20.37,30.87,-8.52,2.23,4.14,-0.28,0.45,0.61,0.58,3669730
35,0.00,0.00,-0.00,23.19,20.37,30.87,-8.52,2.19,4.14,-0.28,0.45,0.61,0.58,3670627
36,-0.01,-0.00,-0.00,23.19,20.37,30.87,-8.52,2.19,4.14,-0.28,0.45,0.61,0.58,3670653
37,-0.01,-0.00,-0.00,23.19,20.37,30.87,-11.78,-0.30,2.88,-0.28,0.45,0.61,0.58,3670667
38,-0.01,-0.00,-0.00,23.19,20.37,30.87,-12.43,2.23,2.27,-0.28,0.45,0.61,0.58,3670688
39,-0.41,1.05,-2.79,23.19,20.37,30.87,-12.43,2.23,2.27,-0.28,0.45,0.61,0.58,3670712
40,-0.41,1.05,-2.79,23.19,20.37,30.87,-12.43,2.23,2.27,-0.28,0.48,0.55,0.62,3670735
41,-0.41,1.05,-2.79,23.19,20.37,30.87,-9.90,5.14,3.76,-0.28,0.48,0.55,0.62,3670758
42,0.36,1.07,-1.82,23.19,20.37,30.87,-9.90,5.14,3.76,-0.28,0.48,0.55,0.62,3670775
43,0.36,1.07,-1.82,23.19,20.37,30.87,-8.14,11.04,6.94,-0.28,0.48,0.55,0.62,3670799
