,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.00,0.02,0.00,29.12,-4.81,-7.44,1.04,9.87,-0.56,0.71,-0.06,-0.11,0.70,2102806,16:16:16.796095
1,0.00,0.02,0.00,29.12,-4.81,-7.44,0.81,9.95,-0.64,0.71,-0.06,-0.11,0.70,2104842,16:16:19.626235
2,0.00,0.02,0.00,29.12,-4.81,-7.44,0.50,10.06,0.32,0.71,-0.06,-0.11,0.70,2104886,16:16:19.693201
3,0.02,0.01,-0.02,29.12,-4.81,-7.44,0.50,10.06,0.32,0.71,-0.06,-0.11,0.70,2104923,16:16:19.743960
4,-0.01,-0.03,0.01,29.12,-4.81,-7.44,0.50,10.06,0.32,0.71,-0.06,-0.11,0.70,2104967,16:16:19.787436
5,-0.01,-0.03,0.01,29.12,-4.81,-7.44,0.54,9.95,0.36,0.71,-0.06,-0.11,0.70,2105011,16:16:19.832384
6,-0.01,-0.03,0.01,29.12,-4.81,-7.44,0.50,9.87,0.32,0.71,-0.06,-0.11,0.70,2105058,16:16:19.877910
7,-0.01,-0.03,0.01,29.12,-4.81,-7.44,0.50,9.95,0.20,0.71,-0.06,-0.11,0.70,2105095,16:16:19.909948
8,-0.01,-0.03,0.01,29.12,-4.81,-7.44,0.50,9.95,0.16,0.71,-0.06,-0.11,0.70,2105133,16:16:19.949856
9,0.02,-0.02,-0.01,29.12,-4.81,-7.44,0.50,9.95,0.16,0.71,-0.06,-0.11,0.70,2105188,16:16:19.997835
10,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.50,9.95,0.16,0.71,-0.06,-0.11,0.70,2105273,16:16:20.089927
11,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.50,10.02,0.28,0.71,-0.06,-0.11,0.70,2105376,16:16:20.190288
12,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.50,10.10,0.36,0.71,-0.06,-0.11,0.70,2105438,16:16:20.256051
13,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.43,9.87,0.24,0.71,-0.06,-0.11,0.70,2105472,16:16:20.292652
14,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.46,10.02,0.16,0.71,-0.06,-0.11,0.70,2105532,16:16:20.353191
15,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.54,9.98,0.20,0.71,-0.06,-0.11,0.70,2105577,16:16:20.394373
16,0.02,-0.03,-0.01,29.12,-4.81,-7.44,0.50,10.02,0.28,0.71,-0.06,-0.11,0.70,2105622,16:16:20.442487
17,0.00,-0.01,0.00,29.12,-4.81,-7.44,0.50,10.02,0.28,0.71,-0.06,-0.11,0.70,2105668,16:16:20.477921
18,0.00,-0.01,0.00,29.12,-4.81,-7.44,0.50,10.14,0.32,0.71,-0.06,-0.11,0.70,2105707,16:16:20.528417
19,0.00,-0.01,0.00,29.12,-4.81,-7.44,0.46,10.06,0.28,0.71,-0.06,-0.11,0.70,2105749,16:16:20.568527
20,0.00,-0.01,0.00,29.12,-4.81,-7.44,0.39,9.98,0.24,0.71,-0.06,-0.11,0.70,2105787,16:16:20.608460
21,0.00,-0.01,0.00,29.12,-4.81,-7.44,0.39,9.98,0.24,-0.03,-0.70,-0.72,0.01,2105831,16:16:20.648418
22,0.00,-0.01,0.00,29.12,-4.81,-7.44,0.43,10.02,0.20,-0.03,-0.70,-0.72,0.01,2105874,16:16:20.695174
23,-0.01,-0.02,-0.02,29.12,-4.81,-7.44,0.43,10.02,0.20,-0.03,-0.70,-0.72,0.01,2105958,16:16:20.783891
24,-0.01,-0.02,-0.02,29.12,-4.81,-7.44,0.50,10.10,0.28,-0.03,-0.70,-0.72,0.01,2106015,16:16:20.832000
25,-0.01,-0.02,-0.02,29.12,-4.81,-7.44,0.43,9.98,0.32,-0.03,-0.70,-0.72,0.01,2106048,16:16:20.870305
26,-0.01,-0.02,-0.02,29.12,-4.81,-7.44,0.43,9.83,0.24,-0.03,-0.70,-0.72,0.01,2106077,16:16:20.903240
27,-0.03,-0.00,-0.01,29.12,-4.81,-7.44,0.43,9.83,0.24,-0.03,-0.70,-0.72,0.01,2106125,16:16:20.944664
28,-0.03,-0.00,-0.01,29.12,-4.81,-7.44,0.50,9.91,0.24,-0.03,-0.70,-0.72,0.01,2106156,16:16:20.977363
29,-0.03,-0.00,-0.01,29.12,-4.81,-7.44,0.58,10.14,0.32,-0.03,-0.70,-0.72,0.01,2106201,16:16:21.020050
30,-0.03,-0.00,-0.01,29.12,-4.81,-7.44,0.62,10.06,0.39,-0.03,-0.70,-0.72,0.01,2106243,16:16:21.061787
31,-0.03,-0.00,-0.01,-9.19,-8.13,-14.94,0.62,10.06,0.39,-0.03,-0.70,-0.72,0.01,2106284,16:16:21.109023
32,-0.04,0.04,0.04,-9.19,-8.13,-14.94,0.62,10.06,0.39,-0.03,-0.70,-0.72,0.01,2106333,16:16:21.144588
33,-0.04,-0.00,0.03,-9.19,-8.13,-14.94,0.62,10.06,0.39,-0.03,-0.70,-0.72,0.01,2106370,16:16:21.193220
34,-0.04,-0.00,0.03,-9.19,-8.13,-14.94,0.43,10.02,0.16,-0.03,-0.70,-0.72,0.01,2106412,16:16:21.225317
35,0.01,-0.02,0.00,-9.19,-8.13,-14.94,0.43,10.02,0.16,-0.03,-0.70,-0.72,0.01,2106450,16:16:21.272131
36,0.01,-0.02,0.00,-9.19,-8.13,-14.94,0.43,10.02,0.43,-0.03,-0.70,-0.72,0.01,2106496,16:16:21.319934
37,0.01,-0.01,-0.03,-9.19,-8.13,-14.94,0.43,10.02,0.43,-0.03,-0.70,-0.72,0.01,2106548,16:16:21.362039
38,-0.04,-0.03,0.01,-9.19,-8.13,-14.94,0.43,10.02,0.43,-0.03,-0.70,-0.72,0.01,2106689,16:16:21.503351
39,-0.01,-0.02,-0.00,-9.19,-8.13,-14.94,0.43,10.02,0.43,-0.03,-0.70,-0.72,0.01,2106733,16:16:21.553245
40,-0.01,-0.00,0.01,-9.19,-8.13,-14.94,0.43,10.02,0.43,-0.03,-0.70,-0.72,0.01,2106761,16:16:21.586991
41,-0.01,0.00,-0.01,-9.19,-8.13,-14.94,0.43,10.02,0.43,-0.03,-0.70,-0.72,0.01,2106830,16:16:21.646993
42,-0.01,0.00,-0.01,-9.19,-8.13,-14.94,0.50,9.91,0.36,-0.03,-0.70,-0.72,0.01,2106873,16:16:21.686557
43,-0.01,0.00,-0.01,-9.19,-8.13,-14.94,0.46,9.95,0.24,-0.03,-0.70,-0.72,0.01,2106932,16:16:21.744806
44,-0.01,0.00,-0.01,-9.19,-8.13,-14.94,0.50,9.91,0.28,-0.03,-0.70,-0.72,0.01,2106975,16:16:21.794428
45,-0.01,0.00,-0.01,-9.19,-8.13,-14.94,0.58,10.10,0.43,-0.03,-0.70,-0.72,0.01,2107021,16:16:21.836860
46,-0.02,-0.00,0.03,-9.19,-8.13,-14.94,0.58,10.10,0.43,-0.03,-0.70,-0.72,0.01,2107066,16:16:21.886296
47,-0.02,-0.00,0.03,-9.19,-8.13,-14.94,0.50,9.95,0.47,-0.03,-0.70,-0.72,0.01,2107111,16:16:21.931436
48,-0.02,-0.00,0.03,-9.19,-8.13,-14.94,0.43,9.91,0.28,-0.03,-0.70,-0.72,0.01,2107153,16:16:21.965042
49,-0.02,-0.00,0.03,-9.19,-8.13,-14.94,0.50,9.95,0.39,-0.03,-0.70,-0.72,0.01,2107236,16:16:22.028052
50,-0.02,-0.00,0.03,-9.75,-10.63,-14.44,0.50,9.95,0.39,-0.03,-0.70,-0.72,0.01,2107282,16:16:22.103262
51,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.50,9.95,0.39,-0.03,-0.70,-0.72,0.01,2107322,16:16:22.145272
52,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.54,9.91,0.43,-0.03,-0.70,-0.72,0.01,2107377,16:16:22.194494
53,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.46,9.98,0.32,-0.03,-0.70,-0.72,0.01,2107421,16:16:22.238559
54,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.50,9.98,0.43,-0.03,-0.70,-0.72,0.01,2107467,16:16:22.286343
55,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.50,9.95,0.36,-0.03,-0.70,-0.72,0.01,2107515,16:16:22.336173
56,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.46,9.98,0.32,-0.03,-0.70,-0.72,0.01,2107560,16:16:22.378836
57,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.58,9.91,0.24,-0.03,-0.70,-0.72,0.01,2107608,16:16:22.428381
58,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.62,10.06,0.32,-0.03,-0.70,-0.72,0.01,2107648,16:16:22.469541
59,-0.02,-0.07,0.01,-9.75,-10.63,-14.44,0.58,10.06,0.62,-0.03,-0.70,-0.72,0.01,2107691,16:16:22.517079
60,0.00,-0.04,-0.00,-9.75,-10.63,-14.44,0.58,10.06,0.62,-0.03,-0.70,-0.72,0.01,2107735,16:16:22.553029
61,-0.03,-0.07,0.02,-9.75,-10.63,-14.44,0.58,10.06,0.62,-0.03,-0.70,-0.72,0.01,2107773,16:16:22.597111
62,-0.02,0.02,-0.02,-9.75,-10.63,-14.44,0.58,10.06,0.62,-0.03,-0.70,-0.72,0.01,2107893,16:16:22.661163
63,-0.02,0.02,-0.02,-9.75,-10.63,-14.44,0.50,10.06,0.43,-0.03,-0.70,-0.72,0.01,2107986,16:16:22.794652
64,-0.02,0.02,-0.02,-9.75,-10.63,-14.44,0.54,10.06,0.51,-0.03,-0.70,-0.72,0.01,2108051,16:16:22.869616
65,-0.02,0.02,-0.02,-9.75,-10.63,-14.44,0.54,9.98,0.43,-0.03,-0.70,-0.72,0.01,2108104,16:16:22.920408
66,-0.03,0.04,-0.01,-9.75,-10.63,-14.44,0.54,9.98,0.43,-0.03,-0.70,-0.72,0.01,2108150,16:16:22.969635
67,-0.03,0.04,-0.01,-9.75,-10.63,-14.44,0.54,9.98,0.43,0.04,0.69,0.72,0.00,2108188,16:16:23.003402
68,-0.06,0.00,0.04,-9.75,-10.63,-14.44,0.54,9.98,0.43,0.04,0.69,0.72,0.00,2108225,16:16:23.048217
69,0.02,0.05,-0.02,-9.75,-10.63,-14.44,0.54,9.98,0.43,0.04,0.69,0.72,0.00,2108270,16:16:23.094101
70,0.02,0.05,-0.02,-9.75,-10.63,-14.44,0.46,10.02,0.47,0.04,0.69,0.72,0.00,2108322,16:16:23.136217
71,0.02,0.05,-0.02,-9.75,-10.63,-14.44,0.50,10.02,0.59,0.04,0.69,0.72,0.00,2108363,16:16:23.186674
72,0.02,0.05,-0.02,-9.75,-10.63,-14.44,0.50,10.06,0.62,0.04,0.69,0.72,0.00,2108405,16:16:23.221356
73,0.02,0.05,-0.02,-9.75,-10.63,-14.44,0.46,9.98,0.51,0.04,0.69,0.72,0.00,2108444,16:16:23.266983
74,0.02,0.05,-0.02,-9.69,-9.25,-13.81,0.46,9.98,0.51,0.04,0.69,0.72,0.00,2108534,16:16:23.347813
75,0.03,-0.01,-0.02,-9.69,-9.25,-13.81,0.46,9.98,0.51,0.04,0.69,0.72,0.00,2108575,16:16:23.394580
76,-0.02,-0.04,0.03,-9.69,-9.25,-13.81,0.46,9.98,0.51,0.04,0.69,0.72,0.00,2108606,16:16:23.428607
77,-0.02,-0.04,0.03,-9.69,-9.25,-13.81,0.50,10.06,0.66,0.04,0.69,0.72,0.00,2108646,16:16:23.469353
78,-0.02,-0.04,0.03,-10.75,-9.19,-14.63,0.50,10.06,0.66,0.04,0.69,0.72,0.00,2108687,16:16:23.506046
79,-0.04,-0.02,0.00,-10.75,-9.19,-14.63,0.50,10.06,0.66,0.04,0.69,0.72,0.00,2108733,16:16:23.544983
80,-0.04,-0.02,0.00,-10.75,-9.19,-14.63,0.50,9.91,0.59,0.04,0.69,0.72,0.00,2108775,16:16:23.595624
81,-0.04,-0.02,0.00,-10.75,-9.19,-14.63,0.54,9.87,0.51,0.04,0.69,0.72,0.00,2108821,16:16:23.636799
82,-0.04,-0.02,0.00,-10.75,-9.19,-14.63,0.46,9.95,0.47,0.04,0.69,0.72,0.00,2108865,16:16:23.687530
83,-0.04,-0.02,0.00,-10.75,-9.19,-14.63,0.50,10.06,0.59,0.04,0.69,0.72,0.00,2108906,16:16:23.729523
84,-0.04,-0.02,0.00,-10.75,-9.19,-14.63,0.46,10.02,0.78,0.04,0.69,0.72,0.00,2108957,16:16:23.778928
85,-0.04,-0.02,0.00,-9.13,-8.31,-15.75,0.46,10.02,0.78,0.04,0.69,0.72,0.00,2108992,16:16:23.812490
86,-0.04,-0.02,0.00,-9.00,-9.75,-14.19,0.46,10.02,0.78,0.04,0.69,0.72,0.00,2109029,16:16:23.853677
87,-0.06,0.01,0.05,-9.00,-9.75,-14.19,0.46,10.02,0.78,0.04,0.69,0.72,0.00,2109071,16:16:23.887288
88,-0.06,0.01,0.05,-9.00,-9.75,-14.19,0.43,9.95,0.36,0.04,0.69,0.72,0.00,2109176,16:16:23.981911
89,-0.06,0.01,0.05,-9.00,-9.75,-14.19,0.43,9.95,0.51,0.04,0.69,0.72,0.00,2109265,16:16:24.078113
90,-0.06,0.01,0.05,-9.00,-9.75,-14.19,0.58,10.14,0.78,0.04,0.69,0.72,0.00,2109316,16:16:24.138751
91,-0.06,0.01,0.05,-9.00,-9.75,-14.19,0.50,9.98,0.51,0.04,0.69,0.72,0.00,2109402,16:16:24.221769
92,-0.06,0.01,0.05,-9.00,-9.75,-14.19,0.43,9.91,0.43,0.04,0.69,0.72,0.00,2109444,16:16:24.261244
93,0.04,-0.02,0.00,-9.00,-9.75,-14.19,0.43,9.91,0.43,0.04,0.69,0.72,0.00,2109492,16:16:24.316190
94,0.04,-0.02,0.00,-9.00,-9.75,-14.19,0.43,10.02,0.74,0.04,0.69,0.72,0.00,2109535,16:16:24.353159
95,-0.00,0.01,-0.01,-9.00,-9.75,-14.19,0.43,10.02,0.74,0.04,0.69,0.72,0.00,2109585,16:16:24.403332
96,-0.00,0.01,-0.01,-9.00,-9.75,-14.19,0.58,10.02,0.66,0.04,0.69,0.72,0.00,2109620,16:16:24.436434
97,0.02,0.04,-0.00,-9.00,-9.75,-14.19,0.58,10.02,0.66,0.04,0.69,0.72,0.00,2109658,16:16:24.478169
98,0.02,0.04,-0.00,-9.00,-9.75,-14.19,0.50,9.95,0.62,0.04,0.69,0.72,0.00,2109701,16:16:24.521854
99,0.02,0.04,-0.00,-10.06,-9.56,-13.69,0.50,9.95,0.62,0.04,0.69,0.72,0.00,2109738,16:16:24.561207
