,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.04,0.11,-0.00,8.50,-35.19,17.06,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3243393,16:35:18.158044
1,-0.04,0.11,-0.00,8.88,-35.19,17.00,0.01,10.02,-0.07,0.61,-0.35,-0.35,0.61,3257800,16:35:32.582823
2,-0.04,0.11,-0.00,8.88,-35.19,17.00,0.39,10.02,-0.26,0.61,-0.35,-0.35,0.61,3257851,16:35:32.625447
3,0.03,0.07,-0.03,8.88,-35.19,17.00,0.39,10.02,-0.26,0.61,-0.35,-0.35,0.61,3257899,16:35:32.678389
4,0.03,0.07,-0.03,8.88,-35.19,17.00,-0.03,10.06,-0.11,0.61,-0.35,-0.35,0.61,3257945,16:35:32.728448
5,-0.01,0.04,0.00,8.88,-35.19,17.00,-0.03,10.06,-0.11,0.61,-0.35,-0.35,0.61,3257986,16:35:32.761345
6,-0.01,0.04,0.00,8.88,-35.19,17.00,-0.22,10.02,-0.41,0.61,-0.35,-0.35,0.61,3258049,16:35:32.806540
7,0.01,-0.06,0.02,8.88,-35.19,17.00,-0.22,10.02,-0.41,0.61,-0.35,-0.35,0.61,3258153,16:35:32.930173
8,-0.02,-0.01,0.01,8.88,-35.19,17.00,-0.07,9.95,-0.14,0.61,-0.35,-0.35,0.61,3261049,16:35:35.806285
9,-0.03,0.03,-0.02,8.88,-35.19,17.00,-0.07,9.95,-0.14,0.61,-0.35,-0.35,0.61,3261102,16:35:35.878562
10,0.01,-0.07,0.01,8.88,-35.19,17.00,-0.07,9.95,-0.14,0.61,-0.35,-0.35,0.61,3261126,16:35:35.902562
11,0.01,-0.07,0.01,8.88,-35.19,17.00,0.01,10.06,0.05,0.61,-0.35,-0.35,0.61,3261212,16:35:35.986690
12,0.01,-0.07,0.01,8.88,-35.19,17.00,0.01,10.02,0.01,0.61,-0.35,-0.35,0.61,3261303,16:35:36.060686
13,-0.00,-0.02,0.00,8.88,-35.19,17.00,0.01,10.02,0.01,0.61,-0.35,-0.35,0.61,3261419,16:35:36.198592
14,-0.00,-0.05,0.02,8.88,-35.19,17.00,0.01,10.02,0.01,0.61,-0.35,-0.35,0.61,3261444,16:35:36.222940
15,-0.00,-0.05,0.02,8.88,-35.19,17.00,0.01,9.95,0.05,0.61,-0.35,-0.35,0.61,3261508,16:35:36.289196
16,-0.00,-0.05,0.02,8.88,-35.19,17.00,0.16,10.02,0.09,0.61,-0.35,-0.35,0.61,3261572,16:35:36.346014
17,-0.00,-0.05,0.02,8.88,-35.19,17.00,0.16,10.06,0.09,0.61,-0.35,-0.35,0.61,3261595,16:35:36.372803
18,-0.02,0.02,0.02,8.88,-35.19,17.00,0.16,10.06,0.09,0.61,-0.35,-0.35,0.61,3261664,16:35:36.439645
19,-0.02,0.02,0.02,8.88,-35.19,17.00,-0.11,10.02,-0.11,0.61,-0.35,-0.35,0.61,3261695,16:35:36.473205
20,0.02,-0.06,0.01,8.88,-35.19,17.00,-0.11,10.02,-0.11,0.61,-0.35,-0.35,0.61,3261755,16:35:36.539424
21,0.02,-0.06,0.01,8.88,-35.19,17.00,0.08,10.06,0.05,0.61,-0.35,-0.35,0.61,3261812,16:35:36.558597
22,0.02,-0.06,0.01,8.88,-35.19,17.00,0.20,10.02,0.05,0.61,-0.35,-0.35,0.61,3261863,16:35:36.639724
23,-0.01,0.03,0.00,8.88,-35.19,17.00,0.20,10.02,0.05,0.61,-0.35,-0.35,0.61,3261987,16:35:36.765071
24,-0.01,0.03,0.00,8.88,-35.19,17.00,0.05,9.98,-0.11,0.61,-0.35,-0.35,0.61,3262050,16:35:36.827215
25,-0.01,0.03,0.00,8.88,-35.19,17.00,0.12,10.02,0.09,0.61,-0.35,-0.35,0.61,3262103,16:35:36.881033
26,-0.01,0.03,0.00,8.88,-35.19,17.00,0.16,10.06,0.05,0.61,-0.35,-0.35,0.61,3262153,16:35:36.921033
27,-0.01,0.03,0.00,8.88,-35.19,17.00,0.01,9.98,-0.03,0.61,-0.35,-0.35,0.61,3262202,16:35:36.984173
28,-0.01,0.03,0.00,8.88,-35.19,17.00,0.08,10.06,0.01,0.61,-0.35,-0.35,0.61,3262262,16:35:37.022545
29,-0.01,0.03,0.00,8.88,-35.19,17.00,0.05,9.95,-0.03,0.61,-0.35,-0.35,0.61,3262306,16:35:37.090173
30,0.00,-0.01,-0.01,8.88,-35.19,17.00,0.05,9.95,-0.03,0.61,-0.35,-0.35,0.61,3262372,16:35:37.148532
31,0.00,-0.01,-0.01,8.88,-35.19,17.00,0.12,10.06,0.05,0.61,-0.35,-0.35,0.61,3262431,16:35:37.209149
32,-0.01,0.01,-0.01,8.88,-35.19,17.00,0.12,10.06,0.05,0.61,-0.35,-0.35,0.61,3262466,16:35:37.239312
33,-0.01,0.01,-0.01,8.88,-35.19,17.00,0.05,10.06,0.01,0.61,-0.35,-0.35,0.61,3262565,16:35:37.325842
34,-0.01,0.01,-0.01,8.88,-35.19,17.00,0.05,10.02,0.05,0.61,-0.35,-0.35,0.61,3262637,16:35:37.406047
35,-0.01,0.01,-0.01,8.88,-35.19,17.00,0.05,10.02,0.01,0.61,-0.35,-0.35,0.61,3262730,16:35:37.505912
36,-0.01,0.01,-0.01,8.88,-35.19,17.00,0.05,9.98,-0.03,0.61,-0.35,-0.35,0.61,3262867,16:35:37.647857
37,-0.01,0.01,-0.01,8.88,-35.19,17.00,0.12,10.02,0.05,0.61,-0.35,-0.35,0.61,3262928,16:35:37.696679
38,0.00,-0.01,0.01,8.88,-35.19,17.00,0.12,10.02,0.05,0.61,-0.35,-0.35,0.61,3262983,16:35:37.763908
39,0.00,-0.01,0.01,8.25,-35.81,19.37,0.12,10.02,0.05,0.61,-0.35,-0.35,0.61,3263036,16:35:37.816463
40,0.00,-0.01,0.01,8.25,-35.81,19.37,0.01,10.06,0.01,0.61,-0.35,-0.35,0.61,3263099,16:35:37.881300
41,0.00,-0.01,0.01,8.25,-35.81,19.37,0.05,10.06,0.05,0.61,-0.35,-0.35,0.61,3263144,16:35:37.924512
42,0.00,-0.01,0.01,8.25,-35.81,19.37,0.08,10.02,0.01,0.61,-0.35,-0.35,0.61,3263269,16:35:38.026374
43,0.00,-0.01,0.01,8.25,-35.81,19.37,0.01,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263347,16:35:38.122737
44,0.00,-0.01,0.01,8.25,-35.81,19.37,0.08,10.02,0.01,0.61,-0.35,-0.35,0.61,3263369,16:35:38.147601
45,0.00,-0.01,0.01,8.25,-35.81,19.37,0.01,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263469,16:35:38.216778
46,-0.00,0.02,-0.00,8.25,-35.81,19.37,0.01,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263516,16:35:38.288906
47,0.00,0.04,-0.01,8.25,-35.81,19.37,0.01,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263561,16:35:38.336732
48,0.00,0.04,-0.01,8.25,-35.81,19.37,0.08,10.02,0.01,0.61,-0.35,-0.35,0.61,3263610,16:35:38.389903
49,0.00,0.01,0.00,8.25,-35.81,19.37,0.08,10.02,0.01,0.61,-0.35,-0.35,0.61,3263669,16:35:38.454707
50,0.00,0.01,0.00,8.25,-35.81,19.37,-0.03,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263707,16:35:38.487772
51,0.01,0.01,0.00,8.25,-35.81,19.37,-0.03,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263757,16:35:38.541330
52,0.01,0.01,0.00,8.25,-35.81,19.37,0.01,9.98,-0.03,0.61,-0.35,-0.35,0.61,3263846,16:35:38.622643
53,0.01,0.00,0.00,8.25,-35.81,19.37,0.01,9.98,-0.03,0.61,-0.35,-0.35,0.61,3263929,16:35:38.697748
54,0.01,0.00,0.00,8.25,-35.81,19.37,0.05,10.02,-0.03,0.61,-0.35,-0.35,0.61,3263960,16:35:38.740411
