,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.02,0.13,0.00,29.50,-0.25,-12.63,0.31,9.95,-0.30,0.71,-0.06,-0.11,0.70,1939266,16:13:34.088513
1,-0.02,0.13,0.00,29.50,-0.25,-12.63,-1.98,10.82,1.01,0.71,-0.06,-0.11,0.70,1939317,16:13:34.137136
2,-0.02,0.13,0.00,29.50,-0.25,-12.63,0.85,12.24,0.43,0.71,-0.06,-0.11,0.70,1939346,16:13:34.175105
3,-0.02,0.13,0.00,29.50,-0.25,-12.63,0.39,11.52,0.24,0.71,-0.06,-0.11,0.70,1939393,16:13:34.215807
4,-0.02,0.13,0.00,29.50,-0.25,-12.63,0.54,10.14,0.59,0.71,-0.06,-0.11,0.70,1939430,16:13:34.255881
5,-0.02,0.13,0.00,29.50,-0.25,-12.63,0.24,10.71,0.39,0.71,-0.06,-0.11,0.70,1939488,16:13:34.312329
6,-1.34,0.77,0.81,29.50,-0.25,-12.63,0.24,10.71,0.39,0.71,-0.06,-0.11,0.70,1939573,16:13:34.393153
7,-1.34,0.77,0.81,13.00,-21.50,18.12,0.24,10.71,0.39,0.71,-0.06,-0.11,0.70,1939611,16:13:34.433120
8,-1.34,0.77,0.81,13.00,-21.50,18.12,0.35,9.33,-0.41,0.71,-0.06,-0.11,0.70,1939655,16:13:34.480468
9,-1.34,0.77,0.81,13.00,-21.50,18.12,0.73,9.95,-0.26,0.71,-0.06,-0.11,0.70,1939718,16:13:34.537472
10,-1.34,0.77,0.81,13.00,-21.50,18.12,0.08,9.91,-0.41,0.71,-0.06,-0.11,0.70,1939764,16:13:34.586366
11,-0.68,0.32,0.66,13.00,-21.50,18.12,0.08,9.91,-0.41,0.71,-0.06,-0.11,0.70,1939966,16:13:34.796157
12,-0.68,0.32,0.66,13.00,-21.50,18.12,-0.26,8.64,0.70,0.71,-0.06,-0.11,0.70,1940073,16:13:34.895984
13,-0.68,0.32,0.66,13.00,-21.50,18.12,0.39,12.70,1.01,0.71,-0.06,-0.11,0.70,1940114,16:13:34.937180
14,1.34,-0.24,-0.51,13.00,-21.50,18.12,0.39,12.70,1.01,0.71,-0.06,-0.11,0.70,1940201,16:13:35.031623
15,1.34,-0.24,-0.51,13.00,-21.50,18.12,-1.49,10.33,1.66,0.71,-0.06,-0.11,0.70,1940293,16:13:35.112209
16,1.34,-0.24,-0.51,13.00,-21.50,18.12,-1.30,9.02,0.47,0.71,-0.06,-0.11,0.70,1940371,16:13:35.187076
17,1.34,-0.24,-0.51,13.00,-21.50,18.12,-0.80,9.75,0.05,0.71,-0.06,-0.11,0.70,1940449,16:13:35.277166
18,1.34,-0.24,-0.51,13.00,-21.50,18.12,-0.80,10.02,0.32,0.71,-0.06,-0.11,0.70,1940491,16:13:35.320991
19,1.34,-0.24,-0.51,13.00,-21.50,18.12,-0.53,9.21,1.27,0.71,-0.06,-0.11,0.70,1940543,16:13:35.370284
20,1.34,-0.24,-0.51,18.62,-11.69,16.81,-0.53,9.21,1.27,0.71,-0.06,-0.11,0.70,1940591,16:13:35.412113
21,1.34,-0.24,-0.51,18.62,-11.69,16.81,0.54,9.45,1.70,0.71,-0.06,-0.11,0.70,1940639,16:13:35.462133
22,1.34,-0.24,-0.51,20.12,-12.06,16.31,0.54,9.45,1.70,0.71,-0.06,-0.11,0.70,1940682,16:13:35.512309
23,-0.07,-0.99,0.45,20.12,-12.06,16.31,0.54,9.45,1.70,0.71,-0.06,-0.11,0.70,1940719,16:13:35.545166
24,-0.44,-0.47,0.65,20.12,-12.06,16.31,0.54,9.45,1.70,0.71,-0.06,-0.11,0.70,1940766,16:13:35.595075
25,-0.44,-0.47,0.65,20.12,-12.06,16.31,-0.80,10.52,0.16,0.71,-0.06,-0.11,0.70,1940863,16:13:35.687551
26,-0.71,-0.04,0.77,20.12,-12.06,16.31,-0.80,10.52,0.16,0.71,-0.06,-0.11,0.70,1940903,16:13:35.728504
27,-0.83,0.18,0.96,20.12,-12.06,16.31,-0.80,10.52,0.16,0.71,-0.06,-0.11,0.70,1940946,16:13:35.764392
28,-0.83,0.18,0.96,20.12,-12.06,16.31,0.16,10.75,-0.03,0.71,-0.06,-0.11,0.70,1940976,16:13:35.803055
29,-0.83,0.18,0.96,20.12,-12.06,16.31,1.31,10.94,0.32,0.71,-0.06,-0.11,0.70,1941039,16:13:35.871046
30,-0.83,0.18,0.96,20.12,-12.06,16.31,1.04,11.02,0.09,0.71,-0.06,-0.11,0.70,1941081,16:13:35.903446
31,-0.76,-0.15,1.24,20.12,-12.06,16.31,1.04,11.02,0.09,0.71,-0.06,-0.11,0.70,1941119,16:13:35.945387
32,-0.76,-0.15,1.24,20.12,-12.06,16.31,1.43,9.98,0.13,0.71,-0.06,-0.11,0.70,1941334,16:13:36.153125
33,-0.53,-0.15,0.96,20.12,-12.06,16.31,1.43,9.98,0.13,0.71,-0.06,-0.11,0.70,1941393,16:13:36.210404
34,0.43,-0.11,-1.15,20.12,-12.06,16.31,1.43,9.98,0.13,0.71,-0.06,-0.11,0.70,1941439,16:13:36.261955
35,0.43,-0.11,-1.15,6.31,-23.44,3.00,1.43,9.98,0.13,0.71,-0.06,-0.11,0.70,1941566,16:13:36.395454
36,0.79,0.91,-1.11,6.31,-23.44,3.00,1.43,9.98,0.13,0.71,-0.06,-0.11,0.70,1941610,16:13:36.428566
37,0.79,0.91,-1.11,6.31,-23.44,3.00,0.12,10.14,0.66,0.71,-0.06,-0.11,0.70,1941699,16:13:36.499936
38,0.79,0.91,-1.11,6.31,-23.44,3.00,0.12,10.18,0.78,0.71,-0.06,-0.11,0.70,1941736,16:13:36.562402
39,0.79,0.91,-1.11,6.31,-23.44,3.00,0.54,10.02,0.78,0.71,-0.06,-0.11,0.70,1941767,16:13:36.595268
40,1.02,-0.23,-0.59,6.31,-23.44,3.00,0.54,10.02,0.78,0.71,-0.06,-0.11,0.70,1941809,16:13:36.632271
41,1.02,-0.23,-0.59,6.31,-23.44,3.00,0.54,9.45,0.93,0.71,-0.06,-0.11,0.70,1941853,16:13:36.678623
42,1.02,-0.23,-0.59,6.31,-23.44,3.00,0.54,9.45,1.35,0.71,-0.06,-0.11,0.70,1941893,16:13:36.720460
43,1.02,-0.23,-0.59,6.31,-23.44,3.00,0.73,9.25,2.16,0.71,-0.06,-0.11,0.70,1941934,16:13:36.762310
44,1.02,-0.23,-0.59,17.56,-19.12,13.88,0.73,9.25,2.16,0.71,-0.06,-0.11,0.70,1941975,16:13:36.805162
