,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.00,0.04,0.01,-21.25,4.44,-11.06,8.51,-3.89,2.62,0.00,0.00,0.00,0.00,159613,11:40:10.021321
1,0.00,0.04,0.01,-21.25,4.44,-11.06,8.55,-3.85,2.65,0.00,0.00,0.00,0.00,159663,11:40:10.062790
2,0.00,0.04,0.01,-21.25,4.44,-11.06,8.55,-3.89,2.65,0.00,0.00,0.00,0.00,159700,11:40:10.108757
3,0.00,0.04,0.01,-21.25,4.44,-11.06,8.47,-3.89,2.69,0.00,0.00,0.00,0.00,159742,11:40:10.151676
4,-0.00,-0.01,0.00,-21.25,4.44,-11.06,8.47,-3.89,2.69,0.00,0.00,0.00,0.00,159801,11:40:10.210914
5,-0.00,-0.01,0.00,-21.25,4.44,-11.06,8.55,-3.89,2.65,0.00,0.00,0.00,0.00,159853,11:40:10.260946
6,-0.00,-0.02,-0.00,-21.25,4.44,-11.06,8.55,-3.89,2.65,0.00,0.00,0.00,0.00,159935,11:40:10.319782
7,-0.00,-0.00,-0.00,-21.25,4.44,-11.06,8.55,-3.89,2.65,0.00,0.00,0.00,0.00,160015,11:40:10.421418
8,-0.00,-0.00,-0.00,-21.25,4.44,-11.06,8.51,-3.89,2.69,0.00,0.00,0.00,0.00,160075,11:40:10.481419
9,-0.00,-0.00,-0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160118,11:40:10.526238
10,-0.00,-0.00,-0.00,-21.25,4.44,-11.06,8.47,-3.89,2.65,0.00,0.00,0.00,0.00,160156,11:40:10.563661
11,-0.00,-0.00,-0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160247,11:40:10.645999
12,0.01,-0.01,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160295,11:40:10.699262
13,0.01,-0.01,0.00,-21.25,4.44,-11.06,8.55,-3.89,2.65,0.00,0.00,0.00,0.00,160336,11:40:10.744525
14,-0.01,0.02,0.01,-21.25,4.44,-11.06,8.55,-3.89,2.65,0.00,0.00,0.00,0.00,160382,11:40:10.789264
15,-0.01,0.02,0.01,-21.25,4.44,-11.06,8.47,-3.89,2.65,0.00,0.00,0.00,0.00,160425,11:40:10.833423
16,0.00,0.00,0.00,-21.25,4.44,-11.06,8.47,-3.89,2.65,0.00,0.00,0.00,0.00,160477,11:40:10.882599
17,0.00,0.00,0.00,-21.25,4.44,-11.06,8.47,-3.89,2.69,0.00,0.00,0.00,0.00,160548,11:40:10.936234
18,0.00,0.00,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160605,11:40:11.012665
19,0.00,0.00,0.01,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160647,11:40:11.057785
20,-0.02,-0.00,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160687,11:40:11.095856
21,0.00,0.01,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160748,11:40:11.157515
22,0.00,0.01,0.00,-21.25,4.44,-11.06,8.43,-3.92,2.69,0.00,0.00,0.00,0.00,160787,11:40:11.196567
23,0.00,0.00,0.00,-21.25,4.44,-11.06,8.43,-3.92,2.69,0.00,0.00,0.00,0.00,160858,11:40:11.265969
24,0.00,0.00,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160906,11:40:11.293959
25,0.00,-0.01,-0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160933,11:40:11.341236
26,-0.00,0.02,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,160976,11:40:11.384207
27,-0.00,0.02,0.00,-21.25,4.44,-11.06,8.51,-3.92,2.65,0.00,0.00,0.00,0.00,161018,11:40:11.426772
28,-0.00,0.02,0.00,-21.25,4.44,-11.06,8.59,-3.89,2.62,0.00,0.00,0.00,0.00,161056,11:40:11.463103
