,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.67,1.27,-0.50,31.81,-18.81,31.31,-7.55,9.32,-0.58,0.56,-0.43,-0.62,0.33,2333285,20:04:17.743177
1,-0.67,1.27,-0.50,31.81,-18.81,31.31,-8.16,9.25,-0.85,0.56,-0.43,-0.62,0.33,2335663,20:04:20.042722
2,-0.18,0.18,-0.04,31.81,-18.81,31.31,-8.16,9.25,-0.85,0.56,-0.43,-0.62,0.33,2337773,20:04:22.167485
3,-0.18,0.18,-0.04,31.81,-18.81,31.31,-4.03,8.86,-1.39,0.56,-0.43,-0.62,0.33,2339834,20:04:24.272713
4,-0.18,0.18,-0.04,31.81,-18.81,31.31,-4.03,8.90,-1.00,0.56,-0.43,-0.62,0.33,2342043,20:04:26.500788
5,-0.18,0.18,-0.04,31.81,-18.81,31.31,-2.42,9.05,-1.20,0.56,-0.43,-0.62,0.33,2344106,20:04:28.560588
6,-0.40,0.71,2.79,31.81,-18.81,31.31,-2.42,9.05,-1.20,0.56,-0.43,-0.62,0.33,2344714,20:04:29.156093
7,0.62,-1.19,-1.15,31.81,-18.81,31.31,-2.42,9.05,-1.20,0.56,-0.43,-0.62,0.33,2345216,20:04:29.660528
8,-1.14,1.62,1.65,31.81,-18.81,31.31,-2.42,9.05,-1.20,0.56,-0.43,-0.62,0.33,2345267,20:04:29.724248
9,0.81,-1.36,0.02,31.81,-18.81,31.31,-2.42,9.05,-1.20,0.56,-0.43,-0.62,0.33,2345390,20:04:29.845892
10,1.06,-1.97,-0.36,31.81,-18.81,31.31,-2.42,9.05,-1.20,0.56,-0.43,-0.62,0.33,2345765,20:04:30.199904
11,1.06,-1.97,-0.36,31.81,-18.81,31.31,-5.52,13.19,-1.92,0.56,-0.43,-0.62,0.33,2345810,20:04:30.267438
12,0.11,-0.19,0.34,31.81,-18.81,31.31,-5.52,13.19,-1.92,0.56,-0.43,-0.62,0.33,2345889,20:04:30.346158
13,0.11,-0.19,0.34,31.81,-18.81,31.31,-2.23,9.17,-0.50,0.56,-0.43,-0.62,0.33,2345911,20:04:30.366843
14,0.11,-0.19,0.34,31.81,-18.81,31.31,-2.54,10.47,-0.12,0.56,-0.43,-0.62,0.33,2346527,20:04:30.983813
15,-0.46,0.73,1.56,31.81,-18.81,31.31,-2.54,10.47,-0.12,0.56,-0.43,-0.62,0.33,2346571,20:04:31.023801
16,0.64,-2.34,-0.78,31.81,-18.81,31.31,-2.54,10.47,-0.12,0.56,-0.43,-0.62,0.33,2346625,20:04:31.083156
17,0.48,-1.48,-1.29,31.81,-18.81,31.31,-2.54,10.47,-0.12,0.56,-0.43,-0.62,0.33,2346680,20:04:31.137373
18,0.60,-1.10,-1.49,31.81,-18.81,31.31,-2.54,10.47,-0.12,0.56,-0.43,-0.62,0.33,2346737,20:04:31.193414
19,0.60,-1.10,-1.49,31.81,-18.81,31.31,-3.30,9.67,-1.69,0.56,-0.43,-0.62,0.33,2346775,20:04:31.233548
20,0.60,-1.10,-1.49,31.81,-18.81,31.31,-2.04,8.36,-0.73,0.56,-0.43,-0.62,0.33,2346843,20:04:31.302239
21,0.13,-0.53,-1.85,31.81,-18.81,31.31,-2.04,8.36,-0.73,0.56,-0.43,-0.62,0.33,2347026,20:04:31.466487
22,0.13,-0.53,-1.85,31.81,-18.81,31.31,-1.35,9.67,-2.04,0.56,-0.43,-0.62,0.33,2347119,20:04:31.574818
23,-0.13,0.70,0.46,31.81,-18.81,31.31,-1.35,9.67,-2.04,0.56,-0.43,-0.62,0.33,2347148,20:04:31.605007
