,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.17,-0.80,-0.25,10.88,8.56,7.69,-5.54,6.13,-1.23,0.38,0.66,-0.09,0.64,10065784,22:13:09.949121
1,-0.17,-0.80,-0.25,10.88,8.56,7.69,-5.34,8.70,-0.54,0.38,0.66,-0.09,0.64,10068812,22:13:12.911212
2,-0.17,-0.80,-0.25,10.88,8.56,7.69,-3.81,8.73,-2.37,0.38,0.66,-0.09,0.64,10070841,22:13:15.008003
3,-0.02,-0.01,-0.08,10.88,8.56,7.69,-3.81,8.73,-2.37,0.38,0.66,-0.09,0.64,10073052,22:13:17.140292
4,-0.02,-0.01,-0.08,10.88,8.56,7.69,-3.12,8.16,-1.99,0.38,0.66,-0.09,0.64,10075135,22:13:19.292032
5,-0.02,-0.01,-0.08,10.88,8.56,7.69,-3.85,9.65,-2.64,0.38,0.66,-0.09,0.64,10075195,22:13:19.356625
6,-0.02,-0.01,-0.08,10.88,8.56,7.69,-2.24,8.12,-1.11,0.38,0.66,-0.09,0.64,10075255,22:13:19.418321
7,-0.02,-0.01,-0.08,10.88,8.56,7.69,-2.32,9.42,-1.53,0.38,0.66,-0.09,0.64,10075805,22:13:19.951508
8,-0.02,-0.01,-0.08,10.88,8.56,7.69,-3.12,10.00,-1.80,0.38,0.66,-0.09,0.64,10075881,22:13:20.043569
9,0.71,-0.44,0.27,10.88,8.56,7.69,-3.12,10.00,-1.80,0.38,0.66,-0.09,0.64,10075979,22:13:20.143369
10,0.71,-0.44,0.27,10.88,8.56,7.69,-5.80,9.92,-2.41,0.38,0.66,-0.09,0.64,10076314,22:13:20.477322
11,1.69,-2.28,-1.15,10.88,8.56,7.69,-5.80,9.92,-2.41,0.38,0.66,-0.09,0.64,10076363,22:13:20.525031
12,0.39,-0.60,-0.27,10.88,8.56,7.69,-5.80,9.92,-2.41,0.38,0.66,-0.09,0.64,10076458,22:13:20.618242
13,0.39,-0.60,-0.27,10.88,8.56,7.69,-1.32,8.50,-0.54,0.38,0.66,-0.09,0.64,10076498,22:13:20.660642
14,0.39,-0.60,-0.27,10.88,8.56,7.69,-1.78,10.57,-0.73,0.38,0.66,-0.09,0.64,10076540,22:13:20.704841
15,0.39,-0.60,-0.27,10.88,8.56,7.69,-2.78,11.19,-0.88,0.38,0.66,-0.09,0.64,10076922,22:13:21.078477
16,0.39,-0.60,-0.27,10.88,8.56,7.69,-3.96,14.33,-2.80,0.38,0.66,-0.09,0.64,10077112,22:13:21.273361
17,-0.02,-0.21,0.67,10.88,8.56,7.69,-3.96,14.33,-2.80,0.38,0.66,-0.09,0.64,10077242,22:13:21.408309
18,1.78,-1.69,-1.53,10.88,8.56,7.69,-3.96,14.33,-2.80,0.38,0.66,-0.09,0.64,10077524,22:13:21.685610
19,1.78,-1.69,-1.53,10.88,8.56,7.69,-3.01,10.15,-2.84,0.38,0.66,-0.09,0.64,10078757,22:13:22.901889
