,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.02,0.02,0.00,7.75,-7.56,22.69,-4.27,8.73,-0.88,0.12,0.73,0.55,0.39,9675389,22:06:39.564184
1,-0.02,0.02,0.00,7.75,-7.56,22.69,-1.78,9.58,1.00,0.12,0.73,0.55,0.39,9675431,22:06:39.607037
2,-0.02,0.02,0.00,7.75,-7.56,22.69,-3.77,9.00,-0.88,0.12,0.73,0.55,0.39,9675488,22:06:39.657897
3,-0.02,0.02,0.00,7.75,-7.56,22.69,-3.70,8.96,-0.95,0.12,0.73,0.55,0.39,9675593,22:06:39.772404
4,-0.02,0.02,0.00,10.25,-4.31,23.56,-3.70,8.96,-0.95,0.12,0.73,0.55,0.39,9675644,22:06:39.820331
5,-0.02,0.02,0.00,10.25,-4.31,23.56,-3.96,8.93,-0.68,0.12,0.73,0.55,0.39,9675694,22:06:39.872259
6,-0.02,0.02,0.00,9.69,-5.75,20.19,-3.96,8.93,-0.68,0.12,0.73,0.55,0.39,9675740,22:06:39.917137
7,-0.02,0.02,0.00,9.50,-4.56,19.12,-3.96,8.93,-0.68,0.12,0.73,0.55,0.39,9675805,22:06:39.980547
8,-0.02,0.02,0.00,10.31,-4.25,19.87,-3.96,8.93,-0.68,0.12,0.73,0.55,0.39,9675842,22:06:40.018955
9,-0.02,0.02,0.00,10.13,-3.25,20.37,-3.96,8.93,-0.68,0.12,0.73,0.55,0.39,9675890,22:06:40.070471
10,-0.02,0.02,0.00,10.13,-3.25,20.37,-4.04,8.81,-0.76,0.12,0.73,0.55,0.39,9675924,22:06:40.102111
11,-0.02,0.02,0.00,8.63,-4.69,20.31,-4.04,8.81,-0.76,0.12,0.73,0.55,0.39,9675958,22:06:40.137694
12,-0.02,0.02,0.00,8.63,-4.69,20.31,-4.16,8.85,-0.76,0.12,0.73,0.55,0.39,9675996,22:06:40.175828
13,-0.02,0.02,0.00,10.38,-5.06,21.69,-4.16,8.85,-0.76,0.12,0.73,0.55,0.39,9676055,22:06:40.237007
14,-0.02,0.02,0.00,9.50,-4.69,20.62,-4.16,8.85,-0.76,0.12,0.73,0.55,0.39,9676115,22:06:40.291957
