,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.06,-0.16,-0.01,-20.44,40.31,-13.56,7.76,4.70,4.03,0.15,-0.43,-0.28,0.84,205019,15:45:54
1,0.02,0.03,-0.02,-20.44,40.31,-13.56,7.76,4.70,4.03,0.15,-0.43,-0.28,0.84,205078,15:45:54
2,0.02,0.03,-0.02,-20.44,40.31,-13.56,8.68,4.36,2.57,0.15,-0.43,-0.28,0.84,205113,15:45:54
3,0.02,0.03,-0.02,-20.44,40.31,-13.56,8.72,4.43,2.54,0.15,-0.43,-0.28,0.84,205141,15:45:54
4,0.02,-0.00,-0.00,-20.44,40.31,-13.56,8.72,4.43,2.54,0.15,-0.43,-0.28,0.84,205203,15:45:54
5,-0.00,-0.03,0.01,-20.44,40.31,-13.56,8.72,4.43,2.54,0.15,-0.43,-0.28,0.84,205275,15:45:54
6,-0.04,-0.04,0.01,-20.44,40.31,-13.56,8.72,4.43,2.54,0.15,-0.43,-0.28,0.84,205316,15:45:54
7,-0.04,-0.04,0.01,-20.44,40.31,-13.56,8.76,4.39,2.54,0.15,-0.43,-0.28,0.84,205367,15:45:54
8,-0.06,-0.07,0.03,-20.44,40.31,-13.56,8.76,4.39,2.54,0.15,-0.43,-0.28,0.84,205427,15:45:54
9,-0.06,-0.07,0.03,1.81,-11.81,5.25,8.76,4.39,2.54,0.15,-0.43,-0.28,0.84,205503,15:45:54
10,-0.06,-0.07,0.03,1.81,-11.81,5.25,8.68,4.28,2.38,0.15,-0.43,-0.28,0.84,205538,15:45:54
11,-0.02,-0.04,0.01,1.81,-11.81,5.25,8.68,4.28,2.38,0.15,-0.43,-0.28,0.84,205614,15:45:54
12,-0.02,-0.04,0.01,1.81,-11.81,5.25,8.84,4.32,2.46,0.15,-0.43,-0.28,0.84,205650,15:45:54
13,0.04,-0.01,-0.02,1.81,-11.81,5.25,8.84,4.32,2.46,0.15,-0.43,-0.28,0.84,205703,15:45:54
14,0.04,0.02,-0.03,1.81,-11.81,5.25,8.84,4.32,2.46,0.15,-0.43,-0.28,0.84,205742,15:45:55
15,0.04,0.02,-0.03,1.81,-11.81,5.25,8.76,4.32,2.50,0.15,-0.43,-0.28,0.84,205766,15:45:55
16,0.04,0.02,-0.03,1.81,-11.81,5.25,8.76,4.32,2.50,0.15,-0.43,-0.28,0.84,205807,15:45:55
17,0.02,0.02,-0.02,1.81,-11.81,5.25,8.76,4.32,2.50,0.15,-0.43,-0.28,0.84,205845,15:45:55
18,0.02,0.02,-0.02,1.81,-11.81,5.25,8.64,4.43,2.46,0.15,-0.43,-0.28,0.84,205923,15:45:55
19,-0.05,0.00,-0.03,1.81,-11.81,5.25,8.64,4.43,2.46,0.15,-0.43,-0.28,0.84,205957,15:45:55
