,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.02,-0.55,-0.13,-2.94,11.38,12.06,7.53,4.64,2.59,0.33,-0.31,-0.17,0.87,1003705,15:02:43.683788
1,-0.02,-0.55,-0.13,-4.75,13.88,12.19,7.53,4.64,2.59,0.33,-0.31,-0.17,0.87,1003789,15:02:43.767631
2,-0.02,-0.55,-0.13,-4.75,13.88,12.19,1.24,1.95,10.16,0.33,-0.31,-0.17,0.87,1003856,15:02:43.836573
3,0.38,0.41,0.23,-4.75,13.88,12.19,1.24,1.95,10.16,0.33,-0.31,-0.17,0.87,1003896,15:02:43.877307
4,0.38,0.41,0.23,-4.75,13.88,12.19,1.02,1.88,8.32,0.33,-0.31,-0.17,0.87,1003987,15:02:43.967427
5,0.09,-0.55,0.65,-4.75,13.88,12.19,1.02,1.88,8.32,0.33,-0.31,-0.17,0.87,1004105,15:02:44.075204
6,0.78,-1.10,0.41,-4.75,13.88,12.19,1.02,1.88,8.32,0.33,-0.31,-0.17,0.87,1004145,15:02:44.121686
7,0.78,-1.10,0.41,-4.75,13.88,12.19,2.36,1.34,9.63,0.33,-0.31,-0.17,0.87,1004182,15:02:44.167147
8,0.78,-1.10,0.41,8.13,1.56,15.25,2.36,1.34,9.63,0.33,-0.31,-0.17,0.87,1004227,15:02:44.208826
9,-0.34,0.04,0.49,8.13,1.56,15.25,2.36,1.34,9.63,0.33,-0.31,-0.17,0.87,1004258,15:02:44.241844
10,-0.34,0.04,0.49,8.13,1.56,15.25,2.24,1.92,10.23,0.33,-0.31,-0.17,0.87,1004315,15:02:44.300105
11,-0.34,0.04,0.49,8.13,1.56,15.25,2.51,3.07,11.96,0.33,-0.31,-0.17,0.87,1004364,15:02:44.341945
12,-0.34,0.04,0.49,8.13,1.56,15.25,1.24,2.76,11.46,0.33,-0.31,-0.17,0.87,1004438,15:02:44.416714
13,-0.34,0.04,0.49,8.13,1.56,15.25,2.89,1.30,11.42,0.33,-0.31,-0.17,0.87,1004476,15:02:44.458695
14,-1.93,1.31,-0.19,8.13,1.56,15.25,2.89,1.30,11.42,0.33,-0.31,-0.17,0.87,1004544,15:02:44.515292
15,-1.93,1.31,-0.19,8.13,1.56,15.25,1.21,-0.46,10.20,0.33,-0.31,-0.17,0.87,1004603,15:02:44.564290
16,-1.99,1.08,-0.60,8.13,1.56,15.25,1.21,-0.46,10.20,0.33,-0.31,-0.17,0.87,1004701,15:02:44.659381
17,-1.99,1.08,-0.60,8.13,1.56,15.25,1.40,-2.26,8.05,0.33,-0.31,-0.17,0.87,1004749,15:02:44.733748
18,-1.99,1.08,-0.60,8.13,1.56,15.25,0.02,-3.98,5.33,0.33,-0.31,-0.17,0.87,1004784,15:02:44.767237
19,-1.99,1.08,-0.60,7.50,6.75,4.25,0.02,-3.98,5.33,0.33,-0.31,-0.17,0.87,1004829,15:02:44.816314
20,0.20,0.22,0.21,7.50,6.75,4.25,0.02,-3.98,5.33,0.33,-0.31,-0.17,0.87,1004863,15:02:44.844430
21,0.20,0.22,0.21,7.50,6.75,4.25,-0.75,-3.68,7.13,0.33,-0.31,-0.17,0.87,1004896,15:02:44.875964
22,0.20,0.22,0.21,7.50,6.75,4.25,-0.63,-3.83,7.13,0.33,-0.31,-0.17,0.87,1004939,15:02:44.923693
23,0.46,-0.01,-0.15,7.50,6.75,4.25,-0.63,-3.83,7.13,0.33,-0.31,-0.17,0.87,1005027,15:02:45.010710
24,0.37,-0.04,-0.15,7.50,6.75,4.25,-0.63,-3.83,7.13,0.33,-0.31,-0.17,0.87,1005070,15:02:45.050290
25,0.63,-0.47,-0.30,7.50,6.75,4.25,-0.63,-3.83,7.13,0.33,-0.31,-0.17,0.87,1005142,15:02:45.110000
26,0.63,-0.47,-0.30,7.50,6.75,4.25,1.13,-3.83,9.05,0.33,-0.31,-0.17,0.87,1005185,15:02:45.166999
27,0.92,0.17,-0.05,7.50,6.75,4.25,1.13,-3.83,9.05,0.33,-0.31,-0.17,0.87,1005240,15:02:45.208295
28,0.92,0.17,-0.05,7.50,6.75,4.25,0.48,-3.64,7.40,0.33,-0.31,-0.17,0.87,1005339,15:02:45.302865
29,1.29,0.53,0.02,7.50,6.75,4.25,0.48,-3.64,7.40,0.33,-0.31,-0.17,0.87,1005406,15:02:45.387439
30,1.29,0.53,0.02,7.50,6.75,4.25,1.05,-2.37,3.99,0.33,-0.31,-0.17,0.87,1005444,15:02:45.429514
