,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,1.87,1.14,1.05,-7.62,5.44,13.88,5.78,8.42,2.70,0.11,-0.35,-0.48,0.80,1234885,15:06:34.855894
1,1.87,1.14,1.05,-7.62,5.44,13.88,3.86,8.54,4.84,0.11,-0.35,-0.48,0.80,1234930,15:06:34.896984
2,-0.02,-0.07,-0.01,-7.62,5.44,13.88,3.86,8.54,4.84,0.11,-0.35,-0.48,0.80,1234987,15:06:34.943712
3,-0.02,-0.07,-0.01,-7.62,5.44,13.88,4.59,9.00,0.87,0.11,-0.35,-0.48,0.80,1235342,15:06:35.308100
4,-0.01,0.05,-0.00,-7.62,5.44,13.88,4.59,9.00,0.87,0.11,-0.35,-0.48,0.80,1235385,15:06:35.356625
5,-0.01,0.05,-0.00,-7.62,5.44,13.88,4.40,8.85,0.98,0.11,-0.35,-0.48,0.80,1235426,15:06:35.404728
6,-0.01,0.05,-0.00,-7.62,5.44,13.88,4.59,8.85,0.91,0.11,-0.35,-0.48,0.80,1235469,15:06:35.437903
7,-0.01,0.05,-0.00,-7.62,5.44,13.88,4.32,8.77,0.91,0.11,-0.35,-0.48,0.80,1235497,15:06:35.473107
8,-0.01,0.05,-0.00,-7.62,5.44,13.88,4.44,8.73,0.91,0.11,-0.35,-0.48,0.80,1235538,15:06:35.505036
9,0.01,-0.01,0.01,-7.62,5.44,13.88,4.44,8.73,0.91,0.11,-0.35,-0.48,0.80,1235612,15:06:35.573377
10,0.01,-0.01,0.01,-7.62,5.44,13.88,4.36,8.81,0.95,0.11,-0.35,-0.48,0.80,1235680,15:06:35.657569
11,0.01,0.01,-0.02,-7.62,5.44,13.88,4.36,8.81,0.95,0.11,-0.35,-0.48,0.80,1235725,15:06:35.698237
12,0.01,0.01,-0.02,-7.62,5.44,13.88,4.48,8.77,1.02,0.11,-0.35,-0.48,0.80,1235775,15:06:35.746430
13,0.01,0.01,-0.02,-7.62,5.44,13.88,4.48,8.77,0.95,0.11,-0.35,-0.48,0.80,1235845,15:06:35.821075
14,0.01,0.01,-0.02,-7.62,5.44,13.88,4.48,8.81,0.83,0.11,-0.35,-0.48,0.80,1235889,15:06:35.860421
15,0.00,-0.05,-0.01,-7.62,5.44,13.88,4.48,8.81,0.83,0.11,-0.35,-0.48,0.80,1235932,15:06:35.909670
16,0.00,-0.05,-0.01,-7.62,5.44,13.88,4.52,8.77,0.91,0.11,-0.35,-0.48,0.80,1235963,15:06:35.938159
17,0.00,-0.05,-0.01,-7.62,5.44,13.88,4.55,8.77,0.87,0.11,-0.35,-0.48,0.80,1236014,15:06:35.988852
18,0.01,-0.01,0.01,-7.62,5.44,13.88,4.55,8.77,0.87,0.11,-0.35,-0.48,0.80,1236100,15:06:36.045272
19,0.01,-0.01,0.01,-7.62,5.44,13.88,4.55,8.77,0.87,0.21,-0.64,-0.52,0.52,1236132,15:06:36.107469
20,0.02,-0.02,-0.01,-7.62,5.44,13.88,4.55,8.77,0.87,0.21,-0.64,-0.52,0.52,1236165,15:06:36.136852
21,0.02,-0.02,-0.01,-7.62,5.44,13.88,4.52,8.58,0.91,0.21,-0.64,-0.52,0.52,1236205,15:06:36.179792
22,0.02,-0.02,-0.01,15.94,7.31,13.63,4.52,8.58,0.91,0.21,-0.64,-0.52,0.52,1236243,15:06:36.215372
23,0.06,0.19,-0.03,15.94,7.31,13.63,4.52,8.58,0.91,0.21,-0.64,-0.52,0.52,1236314,15:06:36.287668
24,0.06,0.19,-0.03,15.94,7.31,13.63,4.71,8.85,0.53,0.21,-0.64,-0.52,0.52,1236380,15:06:36.354221
25,0.29,0.34,-0.00,15.94,7.31,13.63,4.71,8.85,0.53,0.21,-0.64,-0.52,0.52,1236425,15:06:36.396355
26,0.29,0.34,-0.00,15.94,7.31,13.63,6.01,8.54,3.17,0.21,-0.64,-0.52,0.52,1236497,15:06:36.471093
27,0.29,0.34,-0.00,15.94,7.31,13.63,6.43,8.77,6.08,0.21,-0.64,-0.52,0.52,1236552,15:06:36.512074
