,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,0.02,-0.01,-0.01,52.5,-51.5,21.56,-0.34,9.92,0.72,-0.15,-0.06,-0.96,0.21,494041,0,T
1,0.01,-0.06,-0.01,52.5,-51.5,21.56,-0.34,9.92,0.72,-0.15,-0.06,-0.96,0.21,494083,42,T
2,0.01,-0.06,-0.01,52.5,-51.5,21.56,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494126,85,T
3,0.01,-0.05,-0.02,52.5,-51.5,21.56,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494167,126,T
4,0.01,-0.05,-0.02,52.5,-51.5,21.56,-0.22,9.92,0.8,-0.15,-0.06,-0.96,0.21,494208,167,T
5,0.01,-0.05,-0.02,52.5,-51.5,21.56,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494249,208,T
6,0.01,-0.05,-0.02,53.19,-50.06,21.13,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494290,249,T
7,0,-0.03,0,53.19,-50.06,21.13,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494332,291,T
8,0,-0.03,0,53.19,-50.06,21.13,-0.38,9.92,0.68,-0.15,-0.06,-0.96,0.21,494374,333,T
9,0,-0.03,0,53.19,-50.06,21.13,-0.38,9.92,0.68,-0.15,-0.06,-0.96,0.21,494415,374,T
10,0,-0.03,0,53.19,-50.06,21.13,-0.41,9.96,0.68,-0.15,-0.06,-0.96,0.21,494456,415,T
11,0,-0.03,0,53.19,-50.06,21.13,-0.38,9.96,0.68,-0.15,-0.06,-0.96,0.21,494497,456,T
12,0,-0.03,0,53.25,-51.94,21.94,-0.38,9.96,0.68,-0.15,-0.06,-0.96,0.21,494536,495,T
13,0.01,0,-0.02,53.25,-51.94,21.94,-0.38,9.96,0.68,-0.15,-0.06,-0.96,0.21,494577,536,T
14,0.01,0,-0.02,53.25,-51.94,21.94,-0.38,9.96,0.76,-0.15,-0.06,-0.96,0.21,494618,577,T
15,0.01,0,-0.02,53.25,-51.94,21.94,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494660,619,T
16,0.01,0,-0.02,53.25,-51.94,21.94,-0.34,9.92,0.68,-0.15,-0.06,-0.96,0.21,494702,661,T
17,0.01,0,-0.02,53.25,-51.94,21.94,-0.41,9.88,0.68,-0.15,-0.06,-0.96,0.21,494742,701,T
18,0,-0.04,0,53.25,-51.94,21.94,-0.41,9.88,0.68,-0.15,-0.06,-0.96,0.21,494783,742,T
19,0.01,-0.03,0,53.25,-51.94,21.94,-0.41,9.88,0.68,-0.15,-0.06,-0.96,0.21,494825,784,T
20,0.01,-0.03,0,53.25,-51.94,21.94,-0.38,9.92,0.53,-0.15,-0.06,-0.96,0.21,494865,824,T
21,0.01,-0.03,0,53.25,-51.94,21.94,-0.34,10,0.53,-0.15,-0.06,-0.96,0.21,494907,866,T
22,0.01,-0.03,0,53.25,-51.94,21.94,-0.26,10.04,0.68,-0.15,-0.06,-0.96,0.21,494948,907,T
