,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,
0,-0.01,-0.01,0.02,57.63,-55.63,15.81,1.1,9.89,1.2,0.36,0.44,0.63,0.53,731999,0,T,5460,5460
1,-0.01,-0.01,0.02,57.63,-55.63,15.81,1.1,9.89,1.12,0.36,0.44,0.63,0.53,732039,40,T,2620,8080
2,-0.01,-0.01,0.02,57.63,-55.63,15.81,1.1,9.86,1.2,0.36,0.44,0.63,0.53,732078,79,T,5920,14000
3,-0.01,-0.01,0.02,58.25,-54.13,16.25,1.1,9.86,1.2,0.36,0.44,0.63,0.53,732115,116,T,3600,17600
4,-0.01,0.03,0.01,58.25,-54.13,16.25,1.1,9.86,1.2,0.36,0.44,0.63,0.53,732154,155,T,6180,23780
5,-0.01,0.03,0.01,58.25,-54.13,16.25,1.06,9.78,1.16,0.36,0.44,0.63,0.53,732194,195,T,4440,28220
6,-0.01,0.03,0.01,58.25,-54.13,16.25,1.06,9.86,1.16,0.36,0.44,0.63,0.53,732234,235,T,6630,34850
7,-0.01,0.03,0.01,58.25,-54.13,16.25,1.1,9.82,1.2,0.36,0.44,0.63,0.53,732271,272,T,3740,38590
8,-0.01,0.03,0,58.25,-54.13,16.25,1.1,9.82,1.2,0.36,0.44,0.63,0.53,732311,312,T,6170,44760
9,-0.01,0.03,0,58.25,-54.13,16.25,1.06,9.86,1.2,0.36,0.44,0.63,0.53,732351,352,T,,
10,-0.01,0.03,0,58.25,-54.13,16.25,1.06,9.86,1.2,0.36,0.44,0.63,0.53,732392,393,T,,
11,-0.01,0.03,0,58.25,-54.13,16.25,1.06,9.86,1.2,0.36,0.44,0.63,0.53,732432,433,T,,
12,-0.01,0.03,0,58.25,-54.13,16.25,1.1,9.86,1.16,0.36,0.44,0.63,0.53,732469,470,T,,
13,0.01,0.01,0.01,58.25,-54.13,16.25,1.1,9.86,1.16,0.36,0.44,0.63,0.53,732509,510,T,,
14,-0.01,0.04,0.02,58.25,-54.13,16.25,1.1,9.86,1.16,0.36,0.44,0.63,0.53,732548,549,T,,
15,-0.01,0.04,0.02,58.25,-54.13,16.25,1.06,9.82,1.2,0.36,0.44,0.63,0.53,732587,588,T,,
16,-0.01,0.04,0.02,58.25,-54.13,16.25,0.99,9.78,1.12,0.36,0.44,0.63,0.53,732624,625,T,,
17,0.01,-0.02,0.03,58.25,-54.13,16.25,0.99,9.78,1.12,0.36,0.44,0.63,0.53,732663,664,T,,
18,0.01,-0.02,0.03,58.25,-54.13,16.25,1.02,9.89,1.2,0.36,0.44,0.63,0.53,732704,705,T,,
19,0.02,0.05,-0.02,58.25,-54.13,16.25,1.02,9.89,1.2,0.36,0.44,0.63,0.53,732743,744,T,,
20,0.02,0.05,-0.02,58.25,-54.13,16.25,1.14,9.89,1.2,0.36,0.44,0.63,0.53,732783,784,T,,
21,0.02,0.05,-0.02,58.25,-54.13,16.25,1.14,9.74,1.2,0.36,0.44,0.63,0.53,732821,822,T,,
22,0,0.06,0.01,58.25,-54.13,16.25,1.14,9.74,1.2,0.36,0.44,0.63,0.53,732860,861,T,,
23,-0.01,0.04,0.01,58.25,-54.13,16.25,1.14,9.74,1.2,0.36,0.44,0.63,0.53,732900,901,T,,
24,-0.01,0.04,0.01,58.25,-54.13,16.25,1.06,9.86,1.16,0.36,0.44,0.63,0.53,732938,939,T,,
25,-0.01,0.04,0.01,58.25,-54.13,16.25,1.02,9.86,1.08,0.36,0.44,0.63,0.53,732976,977,T,,
26,-0.01,0.04,0.01,57.88,-53.69,15.81,1.02,9.86,1.08,0.36,0.44,0.63,0.53,733015,1016,T,,
27,0,0.03,-0.02,57.88,-53.69,15.81,1.02,9.86,1.08,0.36,0.44,0.63,0.53,733053,1054,T,,
28,0,0.03,-0.02,57.88,-53.69,15.81,1.14,9.93,1.2,0.36,0.44,0.63,0.53,733093,1094,T,,
29,0,0.03,-0.02,57.88,-53.69,15.81,1.18,9.93,1.2,0.36,0.44,0.63,0.53,733132,1133,T,,
30,0,0.03,-0.02,57.88,-53.69,15.81,1.14,9.89,1.08,0.36,0.44,0.63,0.53,733170,1171,T,,
31,-0.01,-0.05,-0.07,57.88,-53.69,15.81,1.14,9.89,1.08,0.36,0.44,0.63,0.53,733210,1211,T,,
32,0.01,-0.12,-0.13,57.88,-53.69,15.81,1.14,9.89,1.08,0.36,0.44,0.63,0.53,733250,1251,T,,
33,0.01,-0.12,-0.13,57.88,-53.69,15.81,0.8,9.89,0.89,0.36,0.44,0.63,0.53,733291,1292,T,,
34,0.01,-0.12,-0.13,57.88,-53.69,15.81,-0.13,10.01,0.66,0.36,0.44,0.63,0.53,733331,1332,T,,
35,0.01,-0.12,-0.13,57.88,-53.69,15.81,-0.55,10.01,0.43,0.36,0.44,0.63,0.53,733370,1371,T,,
