,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,0,
0,0.01,0.03,-0.01,54.19,-50.13,17.5,-0.84,9.87,0.32,0.2,0.4,0.89,0.03,964347,0,T,5660,5660,W
1,0.01,0.03,-0.01,54.19,-50.13,17.5,-0.84,10.06,0.36,0.2,0.4,0.89,0.03,964388,41,T,1680,7340,T
2,0,0.06,0.02,54.19,-50.13,17.5,-0.84,10.06,0.36,0.2,0.4,0.89,0.03,964428,81,T,5450,12790,W
3,0,0.06,0.02,54.19,-50.13,17.5,-0.88,9.95,0.29,0.2,0.4,0.89,0.03,964468,121,T,4600,17390,T
4,0,0.06,0.02,54.19,-50.13,17.5,-0.96,9.95,0.21,0.2,0.4,0.89,0.03,964506,159,T,6830,24220,W
5,0.01,0.05,0.01,54.19,-50.13,17.5,-0.96,9.95,0.21,0.2,0.4,0.89,0.03,964547,200,T,3740,27960,T
6,0,0.02,0,54.19,-50.13,17.5,-0.96,9.95,0.21,0.2,0.4,0.89,0.03,964586,239,T,8823,36783,W
7,0,0.02,0,54.19,-50.13,17.5,-0.96,9.95,0.29,0.2,0.4,0.89,0.03,964626,279,T,4990,41773,T
8,0,0.02,0,54.19,-50.13,17.5,-0.96,9.95,0.25,0.2,0.4,0.89,0.03,964667,320,T,4490,46263,W
9,0,0.02,0,54.19,-50.13,17.5,-0.84,9.98,0.25,0.2,0.4,0.89,0.03,964705,358,T,3220,49483,T
10,0,0,0.01,54.19,-50.13,17.5,-0.84,9.98,0.25,0.2,0.4,0.89,0.03,964745,398,T,6830,56313,W
11,0,0,0.01,54.19,-50.13,17.5,-1,9.91,0.25,0.2,0.4,0.89,0.03,964785,438,T,,,W
12,0,0,0.01,54.19,-50.13,17.5,-0.96,9.98,0.25,0.2,0.4,0.89,0.03,964826,479,T,,,
13,0,0,0.01,54.19,-50.13,17.5,-0.88,9.95,0.29,0.2,0.4,0.89,0.03,964866,519,W,,,
14,0,0,0.01,54.19,-50.13,17.5,-0.92,9.95,0.29,0.2,0.4,0.89,0.03,964903,556,W,,,
15,0,-0.01,0,54.19,-50.13,17.5,-0.92,9.95,0.29,0.2,0.4,0.89,0.03,964943,596,W,,,
16,0,-0.01,0,54.19,-50.13,17.5,-0.88,9.91,0.29,0.2,0.4,0.89,0.03,964984,637,W,,,
17,0,-0.01,0,54.19,-50.13,17.5,-1,9.95,0.21,0.2,0.4,0.89,0.03,965025,678,W,,,
18,0,-0.01,0,54.19,-50.13,17.5,-0.96,9.95,0.25,0.2,0.4,0.89,0.03,965065,718,W,,,
19,0,-0.01,0,54.19,-50.13,17.5,-0.92,9.98,0.29,0.2,0.4,0.89,0.03,965104,757,W,,,
20,-0.01,0.01,-0.02,54.19,-50.13,17.5,-0.92,9.98,0.29,0.2,0.4,0.89,0.03,965145,798,W,,,
21,-0.01,-0.1,-0.04,54.19,-50.13,17.5,-0.92,9.98,0.29,0.2,0.4,0.89,0.03,965185,838,W,,,
22,-0.01,-0.1,-0.04,54.19,-50.13,17.5,-1.42,10.1,0.13,0.2,0.4,0.89,0.03,965226,879,W,,,
23,-0.01,-0.1,-0.04,54.19,-50.13,17.5,-1.46,9.91,-0.02,0.2,0.4,0.89,0.03,965269,922,W,,,
24,-0.01,-0.1,-0.04,54.19,-50.13,17.5,-1.84,9.76,-0.33,0.2,0.4,0.89,0.03,965308,961,W,,,
25,0.06,-0.68,-0.29,54.19,-50.13,17.5,-1.84,9.76,-0.33,0.2,0.4,0.89,0.03,965349,1002,W,,,
26,0.06,-0.68,-0.29,54.19,-50.13,17.5,-1.92,10.1,-0.45,0.2,0.4,0.89,0.03,965390,1043,W,,,
27,0.18,-0.87,-0.59,54.19,-50.13,17.5,-1.92,10.1,-0.45,0.2,0.4,0.89,0.03,965430,1083,W,,,
28,0.18,-0.87,-0.59,54.19,-50.13,17.5,-1.99,9.91,-0.75,0.2,0.4,0.89,0.03,965471,1124,W,,,
29,0.18,-0.87,-0.59,54.19,-50.13,17.5,-1.84,9.83,-0.56,0.2,0.4,0.89,0.03,965510,1163,W,,,
30,0.18,-0.87,-0.59,56,-44.88,13.38,-1.84,9.83,-0.56,0.2,0.4,0.89,0.03,965550,1203,W,,,
31,0.5,-1.25,-0.43,56,-44.88,13.38,-1.84,9.83,-0.56,0.2,0.4,0.89,0.03,965590,1243,W,,,
32,0.5,-1.25,-0.43,56,-44.88,13.38,-1.57,10.1,0.21,0.2,0.4,0.89,0.03,965629,1282,W,,,
33,0.5,-1.25,-0.43,56,-44.88,13.38,-1.04,10.6,0.7,0.2,0.4,0.89,0.03,965669,1322,W,,,
34,0.5,-1.25,-0.43,56,-44.88,13.38,-0.54,10.52,1.78,0.2,0.4,0.89,0.03,965709,1362,W,,,
35,0.5,-1.25,-0.43,54.81,-41,8.94,-0.54,10.52,1.78,0.2,0.4,0.89,0.03,965749,1402,W,,,
36,0.38,-0.37,-0.33,54.81,-41,8.94,-0.54,10.52,1.78,0.2,0.4,0.89,0.03,965788,1441,W,,,
37,0.38,-0.37,-0.33,54.81,-41,8.94,1.61,9.72,3.27,0.2,0.4,0.89,0.03,965829,1482,W,,,
38,0.38,-0.37,-0.33,54.81,-41,8.94,1.57,10.64,3.08,0.2,0.4,0.89,0.03,965868,1521,W,,,
39,0.38,-0.37,-0.33,54.81,-41,8.94,1.41,10.68,2.85,0.2,0.4,0.89,0.03,965906,1559,W,,,
40,-0.38,0.06,0.95,54.81,-41,8.94,1.41,10.68,2.85,0.2,0.4,0.89,0.03,965947,1600,W,,,
41,-0.49,0.01,1.35,54.81,-41,8.94,1.41,10.68,2.85,0.2,0.4,0.89,0.03,965986,1639,W,,,
42,-0.6,0.32,1.52,54.81,-41,8.94,1.41,10.68,2.85,0.2,0.4,0.89,0.03,966026,1679,W,,,
43,-0.6,0.32,1.52,54.81,-41,8.94,-0.19,12.48,2.2,0.2,0.4,0.89,0.03,966065,1718,W,,,
44,-0.6,0.32,1.52,54.81,-41,8.94,-0.73,15.35,1.28,0.2,0.4,0.89,0.03,966103,1756,W,,,
45,-1.06,0.21,1.57,54.81,-41,8.94,-0.73,15.35,1.28,0.2,0.4,0.89,0.03,966142,1795,W,,,
46,-1.09,0.15,2.15,54.81,-41,8.94,-0.73,15.35,1.28,0.2,0.4,0.89,0.03,966182,1835,W,,,
47,-1.09,0.15,2.15,54.81,-41,8.94,0.38,11.98,0.25,0.2,0.4,0.89,0.03,966221,1874,W,,,
48,-1.09,0.15,2.15,54.81,-41,8.94,0.15,11.82,-0.21,0.2,0.4,0.89,0.03,966260,1913,W,,,
49,-1.09,0.15,2.15,54.81,-41,8.94,-0.12,9.87,-0.79,0.2,0.4,0.89,0.03,966298,1951,W,,,
50,-0.46,0.12,1.03,54.81,-41,8.94,-0.12,9.87,-0.79,0.2,0.4,0.89,0.03,966338,1991,W,,,
51,-0.46,0.12,1.03,54.81,-41,8.94,0.15,8.22,-0.18,0.2,0.4,0.89,0.03,966377,2030,W,,,
52,-0.46,0.12,1.03,54.81,-41,8.94,0,8.26,-0.21,0.2,0.4,0.89,0.03,966418,2071,W,,,
53,-0.46,0.12,1.03,54.81,-41,8.94,-0.08,9.41,-0.1,0.2,0.4,0.89,0.03,966455,2108,W,,,
54,0.39,-0.05,-0.61,54.81,-41,8.94,-0.08,9.41,-0.1,0.2,0.4,0.89,0.03,966495,2148,W,,,
55,0.66,-0.32,-0.94,54.81,-41,8.94,-0.08,9.41,-0.1,0.2,0.4,0.89,0.03,966536,2189,W,,,
56,0.66,-0.32,-0.94,54.81,-41,8.94,0.3,9.49,0.74,0.2,0.4,0.89,0.03,966577,2230,W,,,
57,0.66,-0.32,-0.94,54.81,-41,8.94,0.3,10.6,-0.25,0.2,0.4,0.89,0.03,966616,2269,W,,,
58,0.66,-1.05,-1.65,54.81,-41,8.94,1.41,10.95,1.66,0.2,0.4,0.89,0.03,966694,2347,W,,,
59,0.66,-1.05,-1.65,54.81,-41,8.94,1.41,11.52,1.01,0.2,0.4,0.89,0.03,966735,2388,W,,,
60,0.47,0.19,-1.77,54.81,-41,8.94,1.41,11.52,1.01,0.2,0.4,0.89,0.03,966775,2428,W,,,
61,0.47,0.19,-1.77,54.81,-41,8.94,1,10.41,0.93,0.2,0.4,0.89,0.03,966814,2467,W,,,
