,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,Time,Label,,0,
0,0.02,-0.04,0,56.69,-50.25,17.94,-0.75,9.94,0.21,-0.33,-0.34,-0.87,0.13,102874,0,T,6260,6260,W
1,0.01,0.06,-0.02,56.69,-50.25,17.94,-0.75,9.94,0.21,-0.33,-0.34,-0.87,0.13,102916,42,T,2420,8680,T
2,0.01,0.06,-0.02,56.69,-50.25,17.94,-0.82,9.94,0.13,-0.33,-0.34,-0.87,0.13,102958,84,T,6600,15280,W
3,0.01,0.06,-0.02,56.69,-50.25,17.94,-0.82,9.98,0.17,-0.33,-0.34,-0.87,0.13,103000,126,T,3670,18950,T
4,0.01,0.06,-0.02,56.69,-50.25,17.94,-0.79,9.98,0.17,-0.33,-0.34,-0.87,0.13,103041,167,T,7130,26080,W
5,0.01,0.06,-0.02,56.69,-50.25,17.94,-0.82,9.86,0.13,-0.33,-0.34,-0.87,0.13,103080,206,T,3690,29770,T
6,0.01,-0.09,0,56.69,-50.25,17.94,-0.82,9.86,0.13,-0.33,-0.34,-0.87,0.13,103121,247,T,7040,36810,W
7,0.04,-0.04,-0.02,56.69,-50.25,17.94,-0.82,9.86,0.13,-0.33,-0.34,-0.87,0.13,103162,288,T,4170,40980,T
8,0.04,-0.04,-0.02,56.69,-50.25,17.94,-0.9,9.94,0.13,-0.33,-0.34,-0.87,0.13,103205,331,T,7150,48130,W
9,0.04,-0.04,-0.02,56.69,-50.25,17.94,-0.71,9.98,0.21,-0.33,-0.34,-0.87,0.13,103247,373,T,,,T
10,0.04,-0.04,-0.02,56.69,-50.25,17.94,-0.75,9.98,0.13,-0.33,-0.34,-0.87,0.13,103289,415,T,,,
11,0.04,-0.04,-0.02,56.69,-50.25,17.94,-0.82,9.9,0.09,-0.33,-0.34,-0.87,0.13,103329,455,T,,,
12,0.03,0,-0.02,56.69,-50.25,17.94,-0.82,9.9,0.09,-0.33,-0.34,-0.87,0.13,103371,497,T,,,
13,0.04,0.01,-0.03,56.69,-50.25,17.94,-0.82,9.9,0.09,-0.33,-0.34,-0.87,0.13,103411,537,T,,,
14,0.04,0.01,-0.03,56.69,-50.25,17.94,-0.94,9.9,0.13,-0.33,-0.34,-0.87,0.13,103452,578,T,,,
15,0.04,0.01,-0.03,56.69,-50.25,17.94,-0.82,9.94,0.13,-0.33,-0.34,-0.87,0.13,103493,619,T,,,
16,0.04,0.01,-0.03,56.69,-50.25,17.94,-0.82,9.98,0.09,-0.33,-0.34,-0.87,0.13,103533,659,T,,,
