,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,-0.01,0.01,-0.02,-49.25,3.44,-63.56,-9.29,0.06,3.46,-0.52,0.24,0.74,0.34,744616,0,T
1,-0.01,0.04,-0.04,-49.25,3.44,-63.56,-9.29,0.06,3.46,-0.52,0.24,0.74,0.34,744657,41,T
2,-0.01,0.04,-0.04,-49.25,3.44,-63.56,-9.29,0.06,3.46,-0.52,0.24,0.74,0.34,744697,81,T
3,-0.01,0.04,-0.04,-49.25,3.44,-63.56,-9.29,0.02,3.42,-0.52,0.24,0.74,0.34,744736,120,T
4,-0.01,0.05,-0.05,-49.25,3.44,-63.56,-9.29,0.02,3.42,-0.52,0.24,0.74,0.34,744777,161,T
5,-0.01,0.04,-0.04,-49.25,3.44,-63.56,-9.29,0.02,3.42,-0.52,0.24,0.74,0.34,744817,201,T
6,0,0.02,-0.03,-49.25,3.44,-63.56,-9.29,0.02,3.42,-0.52,0.24,0.74,0.34,744857,241,T
7,0,0.02,-0.03,-49.25,3.44,-63.56,-9.32,-0.06,3.35,-0.52,0.24,0.74,0.34,744898,282,T
8,0,0.02,-0.03,-49.25,3.44,-63.56,-9.32,-0.06,3.35,-0.52,0.24,0.74,0.34,744938,322,T
9,0,-0.01,0.02,-49.25,3.44,-63.56,-9.32,-0.06,3.35,-0.52,0.24,0.74,0.34,744978,362,T
10,0,-0.01,0.01,-49.25,3.44,-63.56,-9.32,-0.06,3.35,-0.52,0.24,0.74,0.34,745018,402,T
11,0,-0.01,0.01,-49.25,3.44,-63.56,-9.32,-0.02,3.38,-0.52,0.24,0.74,0.34,745059,443,T
12,0,-0.01,0.01,-49.25,3.44,-63.56,-9.29,0.02,3.38,-0.52,0.24,0.74,0.34,745099,483,T
13,0,-0.01,0.01,-49.25,3.44,-63.56,-9.29,0.02,3.42,-0.52,0.24,0.74,0.34,745138,522,T
