,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,
0,0,0.01,0,-82.69,-11,-48.5,-9.29,0.21,3.46,-0.54,0.17,0.79,0.22,980242,0,T,5460,5460
1,0,0.01,0,-82.69,-11,-48.5,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,980283,41,T,2620,8080
2,0,0.04,-0.03,-82.69,-11,-48.5,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,980323,81,T,5920,14000
3,0,0.04,-0.03,-82.69,-11,-48.5,-9.29,0.17,3.42,-0.55,0.17,0.79,0.22,980365,123,T,3600,17600
4,0,0.04,-0.03,-82.69,-11,-48.5,-9.32,0.17,3.38,-0.55,0.17,0.79,0.22,980406,164,T,6180,23780
5,0,0.04,-0.03,-82.69,-11,-48.5,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980447,205,T,4440,28220
6,0,0.04,-0.03,-82.69,-11,-48.5,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980487,245,T,6630,34850
7,0.01,0.01,-0.01,-82.69,-11,-48.5,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980528,286,T,3740,38590
8,0,0.01,-0.01,-82.69,-11,-48.5,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980570,328,T,6170,44760
9,0,0.01,-0.01,-82.69,-11,-48.5,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980611,369,T,,
10,0,0.01,-0.01,-82.69,-11,-48.5,-9.29,0.13,3.42,-0.55,0.17,0.79,0.22,980653,411,T,,
11,0,0.01,-0.01,-82.69,-11,-48.5,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980692,450,T,,
12,0,0.01,-0.01,-81.69,-11.56,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980731,489,T,,
13,0,-0.01,0,-81.69,-11.56,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980772,530,T,,
14,0,-0.01,0,-81.69,-11.56,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,980813,571,T,,
15,0,-0.01,0,-81.69,-11.56,-47.63,-9.29,0.13,3.42,-0.55,0.17,0.79,0.22,980855,613,T,,
16,0,-0.01,0,-81.69,-11.56,-47.63,-9.32,0.17,3.42,-0.55,0.17,0.79,0.22,980896,654,T,,
17,0,-0.01,0,-81.69,-11.56,-47.63,-9.29,0.17,3.42,-0.55,0.17,0.79,0.22,980936,694,T,,
18,0,-0.01,0.02,-81.69,-11.56,-47.63,-9.29,0.17,3.42,-0.55,0.17,0.79,0.22,980978,736,T,,
19,0,-0.01,0.02,-81.69,-11.56,-47.63,-9.29,0.17,3.42,-0.55,0.17,0.79,0.22,981020,778,T,,
20,0,-0.01,0.02,-81.69,-11.56,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981061,819,T,,
21,0,-0.01,0.02,-81.69,-11.56,-47.63,-9.29,0.21,3.42,-0.55,0.17,0.79,0.22,981103,861,T,,
22,0,-0.01,0.02,-81.69,-11.56,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981144,902,T,,
23,0,-0.01,0.02,-82.94,-11.81,-48.5,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981184,942,T,,
24,0,-0.01,0.02,-82.94,-11.81,-48.5,-9.29,0.21,3.42,-0.55,0.17,0.79,0.22,981228,986,T,,
25,0,-0.01,0.01,-82.94,-11.81,-48.5,-9.29,0.21,3.42,-0.55,0.17,0.79,0.22,981270,1028,T,,
26,0,-0.01,0.01,-82.94,-11.81,-48.5,-9.29,0.25,3.46,-0.55,0.17,0.79,0.22,981311,1069,T,,
27,0,-0.01,0.01,-82.94,-11.81,-48.5,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981352,1110,T,,
28,0,-0.01,0.01,-82.94,-11.81,-48.5,-9.29,0.25,3.46,-0.55,0.17,0.79,0.22,981394,1152,T,,
29,0,-0.01,0.01,-81.75,-10.38,-47.56,-9.29,0.25,3.46,-0.55,0.17,0.79,0.22,981434,1192,T,,
30,0,0,-0.01,-81.75,-10.38,-47.56,-9.29,0.25,3.46,-0.55,0.17,0.79,0.22,981476,1234,T,,
31,0,0,-0.01,-81.75,-10.38,-47.56,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981519,1277,T,,
32,0,0,-0.02,-81.75,-10.38,-47.56,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981560,1318,T,,
33,0,0,-0.02,-81.75,-10.38,-47.56,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981602,1360,T,,
34,0,0,-0.02,-81.75,-10.38,-47.56,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981643,1401,T,,
35,0,0,-0.02,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981683,1441,T,,
36,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981725,1483,T,,
37,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981767,1525,T,,
38,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.42,-0.55,0.17,0.79,0.22,981810,1568,T,,
39,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,981851,1609,T,,
40,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.32,0.21,3.42,-0.55,0.17,0.79,0.22,981891,1649,T,,
41,0,0,-0.01,-81.94,-12.31,-47.63,-9.32,0.21,3.42,-0.55,0.17,0.79,0.22,981932,1690,T,,
42,0,0.01,-0.02,-81.94,-12.31,-47.63,-9.32,0.21,3.42,-0.55,0.17,0.79,0.22,981974,1732,T,,
43,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.32,0.21,3.42,-0.55,0.17,0.79,0.22,982016,1774,T,,
44,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.42,-0.55,0.17,0.79,0.22,982059,1817,T,,
45,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,982099,1857,T,,
46,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.32,0.21,3.46,-0.55,0.17,0.79,0.22,982140,1898,T,,
47,0,0,-0.01,-81.94,-12.31,-47.63,-9.32,0.21,3.46,-0.55,0.17,0.79,0.22,982181,1939,T,,
48,0,0,-0.01,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,982222,1980,T,,
49,0,0.02,-0.03,-81.94,-12.31,-47.63,-9.29,0.21,3.46,-0.55,0.17,0.79,0.22,982264,2022,T,,
50,0,0.02,-0.03,-81.94,-12.31,-47.63,-9.29,0.17,3.46,-0.55,0.17,0.79,0.22,982306,2064,T,,
51,0,0.02,-0.03,-81.94,-12.31,-47.63,-9.29,0.17,3.42,-0.55,0.17,0.79,0.22,982348,2106,T,,
52,0,0.02,-0.03,-81.94,-12.31,-47.63,-9.29,0.13,3.42,-0.55,0.17,0.79,0.22,982388,2146,T,,
53,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.13,3.42,-0.55,0.17,0.79,0.22,982430,2188,T,,
54,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.13,3.42,-0.55,0.17,0.79,0.22,982471,2229,T,,
55,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.32,0.17,3.42,-0.55,0.17,0.79,0.22,982514,2272,T,,
56,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.29,0.17,3.42,-0.55,0.17,0.79,0.22,982556,2314,T,,
57,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,982598,2356,T,,
58,0,0.01,-0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,982638,2396,T,,
59,0,0.01,-0.03,-81.94,-12.31,-47.63,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,982680,2438,T,,
60,0,0.02,-0.02,-81.94,-12.31,-47.63,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,982721,2479,T,,
61,0,0.02,-0.02,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,982761,2519,T,,
62,0,0.02,-0.02,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,982802,2560,T,,
63,0,0.02,-0.02,-81.94,-12.31,-47.63,-9.36,0.1,3.38,-0.55,0.17,0.79,0.22,982844,2602,T,,
64,0,0.02,-0.02,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,982884,2642,T,,
65,0,0,-0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,982926,2684,T,,
66,0,0,-0.02,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,982968,2726,T,,
67,0,0,-0.02,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,983009,2767,T,,
68,0,0,-0.02,-81.94,-12.31,-47.63,-9.32,0.06,3.38,-0.55,0.17,0.79,0.22,983050,2808,T,,
69,0,0,-0.02,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,983090,2848,T,,
70,0,0,0,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,983131,2889,T,,
71,0,0,0,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,983171,2929,T,,
72,0,0,0,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,983211,2969,T,,
73,0,0,0,-81.94,-12.31,-47.63,-9.32,0.1,3.38,-0.55,0.17,0.79,0.22,983252,3010,T,,
74,0,0,0,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983293,3051,T,,
75,0,0,0,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983333,3091,T,,
76,0,0,0,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983376,3134,T,,
77,0,-0.01,0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983417,3175,T,,
78,0,-0.01,0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983459,3217,T,,
79,0,-0.01,0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983500,3258,T,,
80,0,-0.01,0.01,-81.94,-12.31,-47.63,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983542,3300,T,,
81,0,-0.01,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983582,3340,T,,
82,0,0,-0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983624,3382,T,,
83,0,0,-0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983667,3425,T,,
84,0,0,-0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983708,3466,T,,
85,0,0,-0.01,-82.69,-13.69,-48.31,-9.32,0.1,3.42,-0.55,0.17,0.79,0.22,983749,3507,T,,
86,0,0,-0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983790,3548,T,,
87,0,0,-0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983830,3588,T,,
88,0,0,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.38,-0.55,0.17,0.79,0.22,983870,3628,T,,
89,0,0,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983911,3669,T,,
90,0,0,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983952,3710,T,,
91,0,0,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,983994,3752,T,,
92,0,0,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,984033,3791,T,,
93,0,0,0,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,984075,3833,T,,
94,0,0,0,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,984116,3874,T,,
95,0,0,0.01,-82.69,-13.69,-48.31,-9.32,0.13,3.42,-0.55,0.17,0.79,0.22,984157,3915,T,,
96,0,0,0.01,-82.69,-13.69,-48.31,-9.29,0.13,3.42,-0.55,0.17,0.79,0.22,984198,3956,T,,
