,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label,,0,
0,0,0,0.01,-51.5,-9,-23.94,-9.78,1.36,-0.29,-0.7,0.15,0.7,0.05,247745,0,T,7700,7700,W
1,0,0,0.01,-51.5,-9,-23.94,-9.78,1.36,-0.29,-0.7,0.15,0.7,0.05,247786,41,T,3270,10970,T
2,0,0,0.01,-51.5,-9,-23.94,-9.78,1.36,-0.25,-0.7,0.15,0.7,0.05,247825,80,T,8320,19290,W
3,0,0,0.01,-51.5,-9,-23.94,-9.78,1.36,-0.25,-0.7,0.15,0.7,0.05,247865,120,T,5360,24650,T
4,0,0,0.01,-51.5,-9,-23.94,-9.78,1.36,-0.25,-0.7,0.15,0.7,0.05,247907,162,T,7920,32570,W
5,0,-0.01,0,-51.5,-9,-23.94,-9.78,1.36,-0.25,-0.7,0.15,0.7,0.05,247948,203,T,4310,36880,T
6,0,-0.01,0,-51.5,-9,-23.94,-9.78,1.36,-0.25,-0.7,0.15,0.7,0.05,247989,244,T,7250,44130,W
7,0,-0.01,0,-51.5,-9,-23.94,-9.78,1.4,-0.25,-0.7,0.15,0.7,0.05,248029,284,T,,,
8,0,-0.01,0,-50.06,-9,-26.31,-9.78,1.4,-0.25,-0.7,0.15,0.7,0.05,248069,324,T,,,
9,0,-0.01,0.01,-50.06,-9,-26.31,-9.78,1.4,-0.25,-0.7,0.15,0.7,0.05,248110,365,T,,,
10,0,-0.01,0.01,-50.06,-9,-26.31,-9.78,1.4,-0.25,-0.7,0.15,0.7,0.05,248151,406,T,,,
11,0,-0.01,0.01,-50.06,-9,-26.31,-9.78,1.4,-0.21,-0.7,0.15,0.7,0.05,248192,447,T,,,
12,0,-0.01,0.01,-50.06,-9,-26.31,-9.78,1.36,-0.25,-0.7,0.15,0.7,0.05,248235,490,T,,,
13,0,-0.01,0.01,-50.06,-9,-26.31,-9.78,1.36,-0.21,-0.7,0.15,0.7,0.05,248273,528,T,,,
14,-0.01,-0.02,0.02,-50.06,-9,-26.31,-9.78,1.36,-0.21,-0.7,0.15,0.7,0.05,248315,570,T,,,
15,-0.01,-0.02,0.02,-50.06,-9,-26.31,-9.78,1.36,-0.21,-0.7,0.15,0.7,0.05,248357,612,T,,,
16,-0.01,-0.01,0.02,-50.06,-9,-26.31,-9.78,1.36,-0.21,-0.7,0.15,0.7,0.05,248398,653,T,,,
17,-0.01,-0.01,0.02,-50.06,-9,-26.31,-9.78,1.4,-0.21,-0.7,0.15,0.7,0.05,248439,694,T,,,
18,-0.01,-0.01,0.02,-50.06,-9,-26.31,-9.75,1.4,-0.21,-0.7,0.15,0.7,0.05,248481,736,T,,,
19,-0.01,-0.01,0.02,-50.69,-9.81,-26.75,-9.75,1.4,-0.21,-0.7,0.15,0.7,0.05,248522,777,T,,,
20,-0.02,-0.02,0.03,-50.69,-9.81,-26.75,-9.75,1.4,-0.21,-0.7,0.15,0.7,0.05,248564,819,T,,,
21,-0.01,-0.01,0.03,-50.69,-9.81,-26.75,-9.75,1.4,-0.21,-0.7,0.15,0.7,0.05,248606,861,T,,,
22,-0.01,-0.01,0.03,-50.69,-9.81,-26.75,-9.75,1.44,-0.21,-0.7,0.15,0.7,0.05,248647,902,T,,,
23,-0.01,-0.01,0.03,-50.69,-9.81,-26.75,-9.78,1.48,-0.21,-0.7,0.15,0.7,0.05,248688,943,T,,,
24,-0.01,-0.01,0.03,-50.69,-9.81,-26.75,-9.78,1.44,-0.21,-0.7,0.15,0.7,0.05,248729,984,T,,,
25,-0.01,-0.01,0.03,-51.06,-9.06,-27.06,-9.78,1.44,-0.21,-0.7,0.15,0.7,0.05,248771,1026,T,,,
26,0,-0.01,0,-51.06,-9.06,-27.06,-9.78,1.44,-0.21,-0.7,0.15,0.7,0.05,248813,1068,T,,,
27,0,0,0,-51.06,-9.06,-27.06,-9.78,1.44,-0.21,-0.7,0.15,0.7,0.05,248854,1109,T,,,
28,0,0,0,-51.06,-9.06,-27.06,-9.75,1.48,-0.21,-0.7,0.15,0.7,0.05,248895,1150,T,,,
29,0,0,0,-51.06,-9.06,-27.06,-9.78,1.44,-0.21,-0.7,0.15,0.7,0.05,248937,1192,T,,,
30,0,0,0,-51.06,-9.06,-27.06,-9.78,1.48,-0.21,-0.7,0.15,0.7,0.05,248978,1233,T,,,
31,0,0,0,-51.06,-9.06,-27.06,-9.78,1.48,-0.21,-0.7,0.15,0.7,0.05,249018,1273,T,,,
32,0,0,0,-51.06,-9.06,-27.06,-9.78,1.48,-0.18,-0.7,0.15,0.7,0.05,249060,1315,T,,,
33,0,0,0,-51.06,-9.06,-27.06,-9.78,1.51,-0.18,-0.7,0.15,0.7,0.05,249103,1358,T,,,
34,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.18,-0.7,0.15,0.7,0.05,249145,1400,T,,,
35,0,0,0,-51.06,-9.06,-27.06,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,249187,1442,T,,,
36,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249227,1482,T,,,
37,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249268,1523,T,,,
38,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249309,1564,T,,,
39,0,0,0,-51.06,-9.06,-27.06,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,249352,1607,T,,,
40,0,0,0,-51.06,-9.06,-27.06,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,249393,1648,T,,,
41,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249435,1690,T,,,
42,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249476,1731,T,,,
43,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249518,1773,T,,,
44,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249558,1813,T,,,
45,0,0,0,-51.06,-9.06,-27.06,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,249600,1855,T,,,
46,0,0,0,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249643,1898,T,,,
47,0,0,0,-51.06,-9.06,-27.06,-9.78,1.51,-0.1,-0.7,0.15,0.7,0.05,249684,1939,T,,,
48,0,0,0,-51.06,-9.06,-27.06,-9.75,1.55,-0.14,-0.7,0.15,0.7,0.05,249724,1979,T,,,
49,0,0,0,-51.06,-9.06,-27.06,-9.75,1.55,-0.14,-0.7,0.15,0.7,0.05,249766,2021,T,,,
50,0,0.01,-0.01,-51.06,-9.06,-27.06,-9.75,1.55,-0.14,-0.7,0.15,0.7,0.05,249807,2062,T,,,
51,0.01,0.01,-0.01,-51.06,-9.06,-27.06,-9.75,1.55,-0.14,-0.7,0.15,0.7,0.05,249847,2102,T,,,
52,0.01,0.01,-0.01,-51.06,-9.06,-27.06,-9.75,1.51,-0.14,-0.7,0.15,0.7,0.05,249888,2143,T,,,
53,0.01,0.01,-0.01,-51.06,-9.06,-27.06,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,249929,2184,T,,,
54,0.01,0.01,-0.01,-51.81,-9.25,-23.88,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,249969,2224,T,,,
55,0.01,0.01,0,-51.81,-9.25,-23.88,-9.78,1.51,-0.14,-0.7,0.15,0.7,0.05,250010,2265,T,,,
56,0.01,0.01,0,-51.81,-9.25,-23.88,-9.78,1.51,-0.18,-0.7,0.15,0.7,0.05,250051,2306,T,,,
57,0.01,0.01,0,-51.81,-9.25,-23.88,-9.75,1.48,-0.18,-0.7,0.15,0.7,0.05,250093,2348,T,,,
58,0.01,0.01,0,-51.81,-9.25,-23.88,-9.78,1.48,-0.18,-0.7,0.15,0.7,0.05,250134,2389,T,,,
59,0.01,0.01,0,-51.81,-9.25,-23.88,-9.75,1.48,-0.21,-0.7,0.15,0.7,0.05,250173,2428,T,,,
60,0.04,0.05,-0.04,-51.81,-9.25,-23.88,-9.75,1.48,-0.21,-0.7,0.15,0.7,0.05,250215,2470,T,,,
61,0.02,0.05,-0.07,-51.81,-9.25,-23.88,-9.75,1.48,-0.21,-0.7,0.15,0.7,0.05,250256,2511,T,,,
62,0.02,0.05,-0.06,-51.81,-9.25,-23.88,-9.75,1.48,-0.21,-0.7,0.15,0.7,0.05,250297,2552,T,,,
63,0.02,0.05,-0.06,-51.81,-9.25,-23.88,-9.78,1.4,-0.29,-0.7,0.15,0.7,0.05,250337,2592,T,,,
64,0.02,0.05,-0.06,-51.81,-9.25,-23.88,-9.75,1.36,-0.29,-0.7,0.15,0.7,0.05,250378,2633,T,,,
65,0.02,0.05,-0.06,-50,-10.06,-24.75,-9.75,1.36,-0.29,-0.7,0.15,0.7,0.05,250417,2672,T,,,
66,0.03,-0.01,-0.07,-50,-10.06,-24.75,-9.75,1.36,-0.29,-0.7,0.15,0.7,0.05,250459,2714,T,,,
67,0.03,-0.01,-0.07,-50,-10.06,-24.75,-9.75,1.29,-0.25,-0.7,0.15,0.7,0.05,250501,2756,T,,,
68,0.03,-0.01,-0.07,-50,-10.06,-24.75,-9.78,1.29,-0.37,-0.7,0.15,0.7,0.05,250545,2800,T,,,
69,0.03,-0.01,-0.07,-50,-10.06,-24.75,-9.71,1.25,-0.25,-0.7,0.15,0.7,0.05,250587,2842,T,,,
70,0.03,-0.01,-0.07,-50,-10.06,-24.75,-9.78,1.32,-0.29,-0.7,0.15,0.7,0.05,250629,2884,T,,,
71,0.03,-0.01,-0.07,-50.06,-10.81,-28.88,-9.78,1.32,-0.29,-0.7,0.15,0.7,0.05,250671,2926,T,,,
72,-0.02,-0.04,0.08,-50.06,-10.81,-28.88,-9.78,1.32,-0.29,-0.7,0.15,0.7,0.05,250713,2968,T,,,
73,-0.03,-0.1,0.06,-50.06,-10.81,-28.88,-9.78,1.32,-0.29,-0.7,0.15,0.7,0.05,250756,3011,T,,,
74,-0.03,-0.1,0.06,-50.06,-10.81,-28.88,-9.75,1.4,-0.21,-0.7,0.15,0.7,0.05,250798,3053,T,,,
75,-0.03,-0.1,0.06,-50.06,-10.81,-28.88,-9.75,1.44,-0.18,-0.7,0.15,0.7,0.05,250841,3096,T,,,
76,-0.03,-0.1,0.06,-50.06,-10.81,-28.88,-9.71,1.48,-0.18,-0.7,0.15,0.7,0.05,250883,3138,T,,,
77,-0.03,-0.1,0.06,-50.06,-10.81,-28.88,-9.75,1.48,-0.14,-0.7,0.15,0.7,0.05,250924,3179,T,,,
78,-0.03,-0.04,0.06,-50.06,-10.81,-28.88,-9.75,1.48,-0.14,-0.7,0.15,0.7,0.05,250967,3222,T,,,
79,-0.06,-0.07,0.08,-50.06,-10.81,-28.88,-9.75,1.48,-0.14,-0.7,0.15,0.7,0.05,251008,3263,T,,,
80,-0.06,-0.07,0.08,-50.06,-10.81,-28.88,-9.78,1.55,-0.14,-0.7,0.15,0.7,0.05,251052,3307,W,,,
