,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,0.03,0.01,-0.05,49.31,-62.69,8.19,4.4,8.99,0.62,0.22,-0.38,0.52,0.74,128220,0,W
1,0.02,0.02,-0.04,49.31,-62.69,8.19,4.4,8.99,0.62,0.22,-0.38,0.52,0.74,128260,40,W
2,0.02,0.02,-0.04,49.31,-62.69,8.19,4.52,9.11,0.54,0.22,-0.38,0.52,0.74,128299,79,W
3,0.02,0.02,-0.04,49.31,-62.69,8.19,4.44,9.07,0.5,0.22,-0.38,0.52,0.74,128338,118,W
4,0.02,0.02,-0.04,49.31,-62.69,8.19,4.36,9.07,0.5,0.22,-0.38,0.52,0.74,128376,156,W
5,0.02,0.02,-0.04,48.94,-62.31,9.81,4.36,9.07,0.5,0.22,-0.38,0.52,0.74,128415,195,W
6,0,-0.01,0.01,48.94,-62.31,9.81,4.36,9.07,0.5,0.22,-0.38,0.52,0.74,128455,235,W
7,0,-0.01,0.01,48.94,-62.31,9.81,4.29,9.14,0.5,0.22,-0.38,0.52,0.74,128494,274,W
8,0,-0.01,0.01,48.94,-62.31,9.81,4.36,9.14,0.58,0.22,-0.38,0.52,0.74,128533,313,W
9,0,-0.01,0.01,48.94,-62.31,9.81,4.32,9.22,0.7,0.22,-0.38,0.52,0.74,128570,350,W
10,-0.02,-0.09,0,48.94,-62.31,9.81,4.32,9.22,0.7,0.22,-0.38,0.52,0.74,128609,389,W
11,-0.02,-0.09,0,48.94,-62.31,9.81,4.29,9.11,0.7,0.22,-0.38,0.52,0.74,128649,429,W
12,-0.02,-0.09,0,48.94,-62.31,9.81,4.29,9.07,0.73,0.22,-0.38,0.52,0.74,128690,470,W
13,-0.02,-0.09,0,48.94,-62.31,9.81,4.32,9.11,0.54,0.22,-0.38,0.52,0.74,128728,508,W
14,-0.06,-0.05,-0.09,48.94,-62.31,9.81,4.32,9.11,0.54,0.22,-0.38,0.52,0.74,128768,548,W
15,-0.06,-0.05,-0.09,48.94,-62.31,9.81,4.4,9.07,0.46,0.22,-0.38,0.52,0.74,128808,588,W
16,-0.04,-0.04,-0.06,48.94,-62.31,9.81,4.4,9.07,0.46,0.22,-0.38,0.52,0.74,128849,629,W
17,-0.04,-0.04,-0.06,48.94,-62.31,9.81,4.48,8.99,0.43,0.22,-0.38,0.52,0.74,128888,668,W
18,-0.04,-0.04,-0.06,48.94,-62.31,9.81,4.52,8.99,0.46,0.22,-0.38,0.52,0.74,128927,707,W
19,0.01,-0.04,0,48.94,-62.31,9.81,4.52,8.99,0.46,0.22,-0.38,0.52,0.74,128968,748,W
20,0.02,-0.04,0.03,48.94,-62.31,9.81,4.52,8.99,0.46,0.22,-0.38,0.52,0.74,129008,788,W
21,0.02,-0.04,0.03,48.94,-62.31,9.81,4.48,8.99,0.62,0.22,-0.38,0.52,0.74,129047,827,W
22,0.02,-0.04,0.03,48.94,-62.31,9.81,4.44,9.11,0.66,0.22,-0.38,0.52,0.74,129088,868,W
23,0.02,-0.04,0.03,48.94,-62.31,9.81,4.44,9.07,0.62,0.22,-0.38,0.52,0.74,129125,905,W
24,0.03,0.06,0.04,48.94,-62.31,9.81,4.44,9.07,0.62,0.22,-0.38,0.52,0.74,129165,945,W
25,0,0.04,0.03,48.94,-62.31,9.81,4.44,9.07,0.62,0.22,-0.38,0.52,0.74,129204,984,W
26,0,0.04,0.03,48.94,-62.31,9.81,4.4,9.03,0.5,0.22,-0.38,0.52,0.74,129242,1022,W
27,0,0.04,0.03,48.94,-62.31,9.81,4.52,9.3,0.43,0.22,-0.38,0.52,0.74,129280,1060,W
28,0,0.04,0.03,48.25,-63.44,10.19,4.52,9.3,0.43,0.22,-0.38,0.52,0.74,129317,1097,W
29,-0.08,-0.07,0.05,48.25,-63.44,10.19,4.52,9.3,0.43,0.22,-0.38,0.52,0.74,129357,1137,W
30,-0.08,-0.07,0.05,48.25,-63.44,10.19,4.44,8.99,0.5,0.22,-0.38,0.52,0.74,129397,1177,W
31,-0.08,-0.07,0.05,48.25,-63.44,10.19,4.4,9.11,0.43,0.22,-0.38,0.52,0.74,129438,1218,W
32,-0.08,-0.07,0.05,48.25,-63.44,10.19,4.48,9.07,0.5,0.22,-0.38,0.52,0.74,129477,1257,W
33,-0.07,0,-0.09,48.25,-63.44,10.19,4.48,9.07,0.5,0.22,-0.38,0.52,0.74,129517,1297,W
34,-0.07,0,-0.09,48.25,-63.44,10.19,4.52,9.07,0.66,0.22,-0.38,0.52,0.74,129558,1338,W
35,-0.09,0,-0.15,48.25,-63.44,10.19,4.52,9.07,0.66,0.22,-0.38,0.52,0.74,129599,1379,W
36,-0.09,0,-0.15,48.25,-63.44,10.19,4.79,8.72,0.85,0.22,-0.38,0.52,0.74,129638,1418,W
37,-0.09,0,-0.15,48.25,-63.44,10.19,4.86,8.91,0.85,0.22,-0.38,0.52,0.74,129677,1457,W
38,-0.15,0,-0.19,48.25,-63.44,10.19,4.86,8.91,0.85,0.22,-0.38,0.52,0.74,129718,1498,W
39,-0.19,-0.03,-0.13,48.25,-63.44,10.19,4.86,8.91,0.85,0.22,-0.38,0.52,0.74,129758,1538,W
40,-0.19,-0.03,-0.13,48.25,-63.44,10.19,5.09,8.41,1.46,0.22,-0.38,0.52,0.74,129799,1579,W
41,-0.19,-0.03,-0.13,48.25,-63.44,10.19,5.44,8.53,1.54,0.22,-0.38,0.52,0.74,129840,1620,W
42,-0.19,-0.03,-0.13,48.25,-63.44,10.19,5.82,9.22,2.23,0.22,-0.38,0.52,0.74,129879,1659,W
43,-0.27,-0.4,0.46,48.25,-63.44,10.19,5.82,9.22,2.23,0.22,-0.38,0.52,0.74,129918,1698,W
44,-0.28,-0.04,0.72,48.25,-63.44,10.19,5.82,9.22,2.23,0.22,-0.38,0.52,0.74,129958,1738,W
45,-0.28,-0.04,0.72,48.25,-63.44,10.19,6.59,7.57,2.61,0.22,-0.38,0.52,0.74,129999,1779,W
46,-0.28,-0.04,0.72,48.25,-63.44,10.19,6.97,7.57,2.34,0.22,-0.38,0.52,0.74,130038,1818,W
47,-0.28,-0.04,0.72,48.25,-63.44,10.19,7.12,7.84,2.46,0.22,-0.38,0.52,0.74,130077,1857,W
48,-0.41,0.04,1.13,48.25,-63.44,10.19,7.12,7.84,2.46,0.22,-0.38,0.52,0.74,130118,1898,W
49,-0.41,0.04,1.13,48.25,-63.44,10.19,7.66,7.11,2.61,0.22,-0.38,0.52,0.74,130158,1938,W
50,-0.4,0.11,1.37,48.25,-63.44,10.19,7.66,7.11,2.61,0.22,-0.38,0.52,0.74,130198,1978,W
51,-0.4,0.11,1.37,48.25,-63.44,10.19,7.5,6.42,2.57,0.22,-0.38,0.52,0.74,130238,2018,W
52,-0.4,0.11,1.37,48.25,-63.44,10.19,7.58,5.66,2.77,0.22,-0.38,0.52,0.74,130276,2056,W
53,-0.21,0.08,1.21,48.25,-63.44,10.19,7.58,5.66,2.77,0.22,-0.38,0.52,0.74,130316,2096,W
54,-0.15,0.04,1.18,48.25,-63.44,10.19,7.58,5.66,2.77,0.22,-0.38,0.52,0.74,130356,2136,W
55,-0.15,0.04,1.18,48.25,-63.44,10.19,8.04,4.28,2.92,0.22,-0.38,0.52,0.74,130396,2176,W
56,-0.15,0.04,1.18,48.25,-63.44,10.19,8.16,4.74,2.69,0.22,-0.38,0.52,0.74,130437,2217,W
57,-0.15,0.04,1.18,48.25,-63.44,10.19,8.35,7.11,2.3,0.22,-0.38,0.52,0.74,130475,2255,W
58,-0.07,-0.35,0.86,48.25,-63.44,10.19,8.35,7.11,2.3,0.22,-0.38,0.52,0.74,130514,2294,W
59,-0.07,-0.35,0.86,48.25,-63.44,10.19,8.08,4.36,2.57,0.22,-0.38,0.52,0.74,130555,2335,W
60,-0.07,-0.35,0.86,48.25,-63.44,10.19,7.73,3.09,2.46,0.22,-0.38,0.52,0.74,130597,2377,W
61,-0.07,-0.35,0.86,48.25,-63.44,10.19,7.62,5.04,1.69,0.22,-0.38,0.52,0.74,130637,2417,W
62,-0.07,-0.35,0.86,48.25,-63.44,10.19,7.54,5.08,1.54,0.22,-0.38,0.52,0.74,130676,2456,W
63,0.03,-0.06,0.33,48.25,-63.44,10.19,7.54,5.08,1.54,0.22,-0.38,0.52,0.74,130717,2497,W
64,0.02,0.01,0.06,48.25,-63.44,10.19,7.54,5.08,1.54,0.22,-0.38,0.52,0.74,130757,2537,W
65,0.02,0.01,0.06,48.25,-63.44,10.19,6.39,3.59,1.35,0.22,-0.38,0.52,0.74,130797,2577,W
66,0.02,0.01,0.06,48.25,-63.44,10.19,6.13,3.93,1.31,0.22,-0.38,0.52,0.74,130836,2616,W
67,0.02,0.01,0.06,48.25,-63.44,10.19,6.13,4.24,1.04,0.22,-0.38,0.52,0.74,130874,2654,W
68,0.1,0.02,-0.84,48.25,-63.44,10.19,6.13,4.24,1.04,0.22,-0.38,0.52,0.74,130914,2694,W
69,0.07,-0.44,-1.17,48.25,-63.44,10.19,6.13,4.24,1.04,0.22,-0.38,0.52,0.74,130954,2734,W
