,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Sensor Time,Time,Label
0,0.03,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296252,0,W
1,0.03,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296291,39,W
2,0.02,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296332,80,W
3,0.02,-0.01,-0.01,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296373,121,W
4,0.04,-0.01,-0.03,-6.5,-37.88,18.13,-8.89,0.74,4.01,0.3,0.43,-0.44,0.73,296414,162,W
5,0.04,-0.01,-0.03,-6.5,-37.88,18.13,-8.96,0.7,3.94,0.3,0.43,-0.44,0.73,296454,202,W
6,0.04,-0.01,-0.03,-6.5,-37.88,18.13,-8.96,0.74,3.98,0.3,0.43,-0.44,0.73,296493,241,W
7,0.03,-0.07,0.04,-6.5,-37.88,18.13,-8.96,0.74,3.98,0.3,0.43,-0.44,0.73,296534,282,W
8,0,-0.07,0.05,-6.5,-37.88,18.13,-8.96,0.74,3.98,0.3,0.43,-0.44,0.73,296573,321,W
9,0,-0.07,0.05,-6.5,-37.88,18.13,-8.85,0.82,4.13,0.3,0.43,-0.44,0.73,296613,361,W
10,0,-0.07,0.05,-6.5,-37.88,18.13,-8.81,0.86,4.17,0.3,0.43,-0.44,0.73,296654,402,W
11,0,-0.07,0.05,-6.5,-37.88,18.13,-8.89,0.82,4.09,0.3,0.43,-0.44,0.73,296693,441,W
12,0,-0.07,0.05,-6.56,-36.31,19.31,-8.89,0.82,4.09,0.3,0.43,-0.44,0.73,296732,480,W
13,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.82,4.09,0.3,0.43,-0.44,0.73,296772,520,W
14,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.78,4.09,0.3,0.43,-0.44,0.73,296812,560,W
15,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.78,4.05,0.3,0.43,-0.44,0.73,296853,601,W
16,0,0.01,-0.02,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,296892,640,W
17,0,0,0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,296933,681,W
18,0,-0.01,0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,296973,721,W
19,-0.01,-0.01,0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,297013,761,W
20,-0.01,-0.01,0.01,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297054,802,W
21,-0.01,-0.01,0.01,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297093,841,W
22,0,0.01,-0.02,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297133,881,W
23,0,0.01,-0.01,-6.56,-36.31,19.31,-8.89,0.82,4.05,0.3,0.43,-0.44,0.73,297172,920,W
24,0,0.01,-0.01,-6.56,-36.31,19.31,-8.89,0.78,4.05,0.3,0.43,-0.44,0.73,297213,961,W
25,0,0.01,-0.01,-6.56,-36.31,19.31,-8.89,0.78,4.05,0.3,0.43,-0.44,0.73,297253,1001,W
26,0,0.01,-0.01,-6.56,-36.31,19.31,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,297292,1040,W
27,0,0.01,-0.01,-5.5,-36.06,16.56,-8.93,0.74,4.01,0.3,0.43,-0.44,0.73,297331,1079,W
28,0,0.01,-0.01,-5.5,-36.06,16.56,-8.93,0.74,3.98,0.3,0.43,-0.44,0.73,297372,1120,W
29,0.02,-0.04,0.02,-5.5,-36.06,16.56,-8.93,0.74,3.98,0.3,0.43,-0.44,0.73,297412,1160,W
30,0.02,-0.04,0.02,-5.5,-36.06,16.56,-8.93,0.82,4.01,0.3,0.43,-0.44,0.73,297451,1199,W
31,0.02,-0.04,0.02,-5.5,-36.06,16.56,-8.93,0.82,4.05,0.3,0.43,-0.44,0.73,297490,1238,W
32,0.03,-0.05,-0.01,-5.5,-36.06,16.56,-8.93,0.82,4.05,0.3,0.43,-0.44,0.73,297531,1279,W
33,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.93,0.82,4.05,0.3,0.43,-0.44,0.73,297571,1319,W
34,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.89,0.78,4.09,0.3,0.43,-0.44,0.73,297612,1360,W
35,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.89,0.78,4.09,0.3,0.43,-0.44,0.73,297652,1400,W
36,0.02,-0.02,-0.03,-5.5,-36.06,16.56,-8.89,0.74,4.09,0.3,0.43,-0.44,0.73,297692,1440,W
37,0.04,-0.04,-0.02,-5.5,-36.06,16.56,-8.89,0.74,4.09,0.3,0.43,-0.44,0.73,297732,1480,W
38,0.04,-0.05,-0.04,-5.5,-36.06,16.56,-8.89,0.74,4.09,0.3,0.43,-0.44,0.73,297772,1520,W
39,0.04,-0.05,-0.04,-5.5,-36.06,16.56,-8.89,0.78,4.13,0.3,0.43,-0.44,0.73,297812,1560,W
40,0.04,-0.05,-0.04,-5.5,-36.06,16.56,-9,0.78,4.05,0.3,0.43,-0.44,0.73,297852,1600,W
41,0.04,-0.05,-0.04,-5.5,-36.06,16.56,-8.93,0.74,4.28,0.3,0.43,-0.44,0.73,297891,1639,W
42,0.04,-0.03,-0.1,-5.5,-36.06,16.56,-8.93,0.74,4.28,0.3,0.43,-0.44,0.73,297932,1680,W
43,0.04,-0.03,-0.1,-5.5,-36.06,16.56,-8.81,0.55,4.4,0.3,0.43,-0.44,0.73,297973,1721,W
44,-0.05,0.04,0.2,-5.5,-36.06,16.56,-8.81,0.55,4.4,0.3,0.43,-0.44,0.73,298013,1761,W
45,-0.05,0.04,0.2,-5.5,-36.06,16.56,-9.04,0.7,3.98,0.3,0.43,-0.44,0.73,298053,1801,W
46,-0.05,0.04,0.2,-5.5,-36.06,16.56,-8.85,0.97,4.21,0.3,0.43,-0.44,0.73,298091,1839,W
47,-0.1,-0.07,0.2,-5.5,-36.06,16.56,-8.85,0.97,4.21,0.3,0.43,-0.44,0.73,298131,1879,W
48,-0.1,-0.02,0.24,-5.5,-36.06,16.56,-8.85,0.97,4.21,0.3,0.43,-0.44,0.73,298172,1920,W
49,-0.1,-0.02,0.24,-5.5,-36.06,16.56,-9.12,1.16,3.9,0.3,0.43,-0.44,0.73,298212,1960,W
50,-0.1,-0.02,0.24,-5.5,-36.06,16.56,-8.96,1.13,4.01,0.3,0.43,-0.44,0.73,298253,2001,W
51,-0.1,-0.02,0.24,-5.5,-36.06,16.56,-8.62,1.05,4.55,0.3,0.43,-0.44,0.73,298293,2041,W
52,-0.1,-0.02,0.24,-5,-32.69,20.56,-8.62,1.05,4.55,0.3,0.43,-0.44,0.73,298332,2080,W
53,-0.1,-0.02,0.24,-5,-32.69,20.56,-9.2,1.16,4.47,0.3,0.43,-0.44,0.73,298373,2121,W
54,0.45,-0.39,1.29,-5,-32.69,20.56,-9.2,1.16,4.47,0.3,0.43,-0.44,0.73,298414,2162,W
55,0.45,-0.39,1.29,-5,-32.69,20.56,-10.38,1.78,4.4,0.3,0.43,-0.44,0.73,298454,2202,W
