,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.16,-0.12,-0.11,-7.31,-7.50,17.00,3.00,9.52,1.61,0.72,-0.18,0.08,0.67,750774
1,0.15,-0.03,-0.13,-7.31,-7.50,17.00,3.00,9.52,1.61,0.72,-0.18,0.08,0.67,750814
2,0.15,-0.03,-0.13,-7.31,-7.50,17.00,3.70,9.17,2.04,0.72,-0.18,0.08,0.67,750854
3,0.15,-0.03,-0.13,-7.31,-7.50,17.00,3.46,9.48,1.81,0.72,-0.18,0.08,0.67,750895
4,0.15,-0.03,-0.13,-7.31,-7.50,17.00,3.39,8.86,1.96,0.72,-0.18,0.08,0.67,750932
5,-0.16,-0.13,0.18,-7.31,-7.50,17.00,3.39,8.86,1.96,0.72,-0.18,0.08,0.67,750972
6,-0.16,-0.13,0.18,-7.31,-7.50,17.00,3.23,9.40,2.00,0.72,-0.18,0.08,0.67,751011
7,-0.16,-0.13,0.18,-7.31,-7.50,17.00,3.00,9.36,2.11,0.72,-0.18,0.08,0.67,751051
8,-0.16,-0.13,0.18,-7.31,-7.50,17.00,2.54,9.75,2.15,0.72,-0.18,0.08,0.67,751091
9,-0.16,-0.13,0.18,-7.31,-7.50,17.00,2.47,9.71,2.11,0.72,-0.18,0.08,0.67,751128
10,-0.10,-0.17,-0.15,-7.31,-7.50,17.00,2.47,9.71,2.11,0.72,-0.18,0.08,0.67,751168
11,-0.10,-0.17,-0.15,-7.31,-7.50,17.00,2.62,9.52,1.96,0.72,-0.18,0.08,0.67,751209
12,-0.10,-0.17,-0.15,-7.31,-7.50,17.00,3.12,8.98,2.00,0.72,-0.18,0.08,0.67,751248
13,-0.10,-0.17,-0.15,-7.31,-7.50,17.00,3.08,9.13,2.00,0.72,-0.18,0.08,0.67,751287
14,-0.05,0.17,-0.05,-7.31,-7.50,17.00,3.08,9.13,2.00,0.72,-0.18,0.08,0.67,751327
15,-0.05,0.17,-0.05,-7.31,-7.50,17.00,2.96,9.48,1.69,0.72,-0.18,0.08,0.67,751367
