,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.02,0.03,-0.01,0.56,-12.19,10.94,1.36,5.00,8.51,0.23,0.07,0.49,0.84,431456
1,-0.02,-0.04,-0.02,0.56,-12.19,10.94,1.36,5.00,8.51,0.23,0.07,0.49,0.84,431495
2,-0.02,-0.04,-0.02,0.56,-12.19,10.94,1.47,4.88,8.47,0.23,0.07,0.49,0.84,431535
3,-0.02,-0.04,-0.02,0.56,-12.19,10.94,1.32,4.92,8.55,0.23,0.07,0.49,0.84,431575
4,-0.02,-0.04,-0.02,0.56,-12.19,10.94,1.55,4.88,8.51,0.23,0.07,0.49,0.84,431612
5,0.05,0.04,0.04,0.56,-12.19,10.94,1.55,4.88,8.51,0.23,0.07,0.49,0.84,431652
6,0.05,0.04,0.04,0.56,-12.19,10.94,1.39,4.84,8.70,0.23,0.07,0.49,0.84,431692
7,-0.01,-0.05,-0.04,0.56,-12.19,10.94,1.39,4.84,8.70,0.23,0.07,0.49,0.84,431731
8,-0.01,-0.05,-0.04,0.56,-12.19,10.94,1.59,5.26,8.36,0.23,0.07,0.49,0.84,431771
9,-0.01,-0.05,-0.04,0.56,-12.19,10.94,1.16,5.04,8.70,0.23,0.07,0.49,0.84,431809
10,-0.01,-0.05,-0.04,0.56,-12.19,10.94,0.90,5.00,8.51,0.23,0.07,0.49,0.84,431850
11,0.01,0.19,0.04,0.56,-12.19,10.94,0.90,5.00,8.51,0.23,0.07,0.49,0.84,431890
12,0.01,0.19,0.04,0.56,-12.19,10.94,1.28,4.88,8.51,0.23,0.07,0.49,0.84,431928
13,0.01,0.19,0.04,0.56,-12.19,10.94,1.20,5.00,8.51,0.23,0.07,0.49,0.84,431966
14,0.01,0.19,0.04,0.56,-12.19,10.94,1.20,4.96,8.39,0.23,0.07,0.49,0.84,432004
15,0.00,-0.20,0.10,0.56,-12.19,10.94,1.20,4.96,8.39,0.23,0.07,0.49,0.84,432043
16,0.00,-0.20,0.10,0.56,-12.19,10.94,1.16,5.07,8.55,0.23,0.07,0.49,0.84,432081
17,0.00,-0.20,0.10,0.56,-12.19,10.94,1.13,5.19,8.47,0.23,0.07,0.49,0.84,432120
18,0.00,-0.20,0.10,0.56,-12.19,10.94,1.74,5.23,8.51,0.23,0.07,0.49,0.84,432158
19,0.06,-0.03,-0.06,0.56,-12.19,10.94,1.74,5.23,8.51,0.23,0.07,0.49,0.84,432196
20,0.04,0.21,0.03,0.56,-12.19,10.94,1.74,5.23,8.51,0.23,0.07,0.49,0.84,432235
21,0.04,0.21,0.03,0.56,-12.19,10.94,1.39,5.19,8.28,0.23,0.07,0.49,0.84,432273
22,0.04,0.21,0.03,0.56,-12.19,10.94,1.63,5.19,8.39,0.23,0.07,0.49,0.84,432310
23,-0.06,0.04,-0.03,0.56,-12.19,10.94,1.63,5.19,8.39,0.23,0.07,0.49,0.84,432350
24,-0.03,0.09,-0.02,0.56,-12.19,10.94,1.63,5.19,8.39,0.23,0.07,0.49,0.84,432389
25,-0.03,0.09,-0.02,0.56,-12.19,10.94,1.36,5.00,8.47,0.23,0.07,0.49,0.84,432428
26,-0.03,0.09,-0.02,0.56,-12.19,10.94,1.66,4.84,8.55,0.23,0.07,0.49,0.84,432467
27,-0.03,0.09,-0.02,0.56,-12.19,10.94,1.55,5.04,8.55,0.23,0.07,0.49,0.84,432504
28,0.07,-0.02,-0.04,0.56,-12.19,10.94,1.55,5.04,8.55,0.23,0.07,0.49,0.84,432543
29,0.07,-0.02,-0.04,0.56,-12.19,10.94,1.51,5.00,8.51,0.23,0.07,0.49,0.84,432582
30,0.07,-0.02,-0.04,0.56,-12.19,10.94,1.43,5.04,8.43,0.23,0.07,0.49,0.84,432622
31,0.07,-0.02,-0.04,0.56,-12.19,10.94,1.43,5.19,8.39,0.23,0.07,0.49,0.84,432660
32,0.03,0.04,0.01,0.56,-12.19,10.94,1.43,5.19,8.39,0.23,0.07,0.49,0.84,432699
33,0.06,0.10,-0.02,0.56,-12.19,10.94,1.43,5.19,8.39,0.23,0.07,0.49,0.84,432738
34,0.06,0.10,-0.02,0.56,-12.19,10.94,1.43,5.26,8.32,0.23,0.07,0.49,0.84,432776
35,0.06,0.10,-0.02,0.56,-12.19,10.94,1.47,5.04,8.51,0.23,0.07,0.49,0.84,432814
36,0.06,0.10,-0.02,1.25,-6.88,11.25,1.47,5.04,8.51,0.23,0.07,0.49,0.84,432852
37,0.00,-0.03,-0.08,1.25,-6.88,11.25,1.47,5.04,8.51,0.23,0.07,0.49,0.84,432890
38,0.00,-0.03,-0.08,1.25,-6.88,11.25,1.51,5.07,8.59,0.23,0.07,0.49,0.84,432930
39,0.00,-0.03,-0.08,1.25,-6.88,11.25,1.36,5.19,8.47,0.23,0.07,0.49,0.84,432970
40,0.00,-0.03,-0.08,1.25,-6.88,11.25,1.16,5.42,8.43,0.23,0.07,0.49,0.84,433007
41,0.24,0.07,-0.12,1.25,-6.88,11.25,1.16,5.42,8.43,0.23,0.07,0.49,0.84,433045
42,0.28,-0.08,-0.15,1.25,-6.88,11.25,1.16,5.42,8.43,0.23,0.07,0.49,0.84,433084
43,0.28,-0.08,-0.15,1.25,-6.88,11.25,1.36,5.72,8.32,0.23,0.07,0.49,0.84,433123
44,0.28,-0.08,-0.15,1.25,-6.88,11.25,1.82,5.99,8.70,0.23,0.07,0.49,0.84,433160
45,0.11,0.14,-0.03,1.25,-6.88,11.25,1.82,5.99,8.70,0.23,0.07,0.49,0.84,433200
46,-0.10,0.15,0.16,1.25,-6.88,11.25,1.82,5.99,8.70,0.23,0.07,0.49,0.84,433239
47,-0.10,0.15,0.16,1.25,-6.88,11.25,1.05,7.10,8.09,0.23,0.07,0.49,0.84,433275
48,-0.10,0.15,0.16,1.25,-6.88,11.25,0.82,7.18,8.39,0.23,0.07,0.49,0.84,433313
49,-0.10,0.15,0.16,-0.38,-13.00,4.81,0.82,7.18,8.39,0.23,0.07,0.49,0.84,433352
50,0.09,0.39,-0.20,-0.38,-13.00,4.81,0.82,7.18,8.39,0.23,0.07,0.49,0.84,433391
51,0.09,0.39,-0.20,-0.38,-13.00,4.81,0.02,7.18,7.90,0.23,0.07,0.49,0.84,433430
52,0.09,0.39,-0.20,-0.38,-13.00,4.81,0.67,6.80,7.36,0.23,0.07,0.49,0.84,433470
