,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.00,0.01,-0.00,-18.19,-11.13,-2.62,4.07,8.89,-0.19,0.00,0.00,0.00,0.00,266960,16:57:07.155222
1,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,4.07,8.89,-0.19,0.00,0.00,0.00,0.00,267024,16:57:07.217141
2,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.87,8.97,-0.38,0.00,0.00,0.00,0.00,267117,16:57:07.307355
3,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.84,8.97,-0.42,0.00,0.00,0.00,0.00,269243,16:57:09.345975
4,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.99,8.97,-0.35,0.00,0.00,0.00,0.00,271382,16:57:11.493225
5,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.68,9.05,-0.46,0.00,0.00,0.00,0.00,273488,16:57:13.655150
6,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.72,9.01,-0.46,0.00,0.00,0.00,0.00,275673,16:57:15.774297
7,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.68,9.05,-0.57,0.00,0.00,0.00,0.00,277766,16:57:17.954103
8,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.61,9.01,-0.77,0.00,0.00,0.00,0.00,279942,16:57:20.037606
9,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,3.34,9.08,-0.27,0.00,0.00,0.00,0.00,281886,16:57:22.073500
10,0.00,-0.00,-0.01,-18.19,-11.13,-2.62,2.65,7.78,-0.12,0.00,0.00,0.00,0.00,281936,16:57:22.126570
11,0.01,0.20,-0.03,-18.19,-11.13,-2.62,2.65,7.78,-0.12,0.00,0.00,0.00,0.00,281966,16:57:22.162072
12,0.01,0.20,-0.03,-18.19,-11.13,-2.62,1.08,8.97,-0.88,0.00,0.00,0.00,0.00,281990,16:57:22.186930
13,0.20,0.39,-0.04,-18.19,-11.13,-2.62,1.08,8.97,-0.88,0.00,0.00,0.00,0.00,282025,16:57:22.222344
14,0.20,0.39,-0.04,-18.19,-11.13,-2.62,1.46,10.08,-0.96,0.00,0.00,0.00,0.00,282044,16:57:22.241285
15,0.20,0.39,-0.04,-18.19,-11.13,-2.62,0.89,10.58,-1.46,0.00,0.00,0.00,0.00,282096,16:57:22.294361
16,0.08,0.31,0.28,-18.19,-11.13,-2.62,0.89,10.58,-1.46,0.00,0.00,0.00,0.00,282122,16:57:22.316655
17,0.08,0.31,0.28,-18.19,-11.13,-2.62,-1.03,9.31,-1.15,0.00,0.00,0.00,0.00,282171,16:57:22.364038
18,0.08,0.31,0.28,-18.19,-11.13,-2.62,-0.68,8.89,-0.77,0.00,0.00,0.00,0.00,282203,16:57:22.397953
19,0.08,0.31,0.28,-18.19,-11.13,-2.62,1.65,8.43,-0.08,0.00,0.00,0.00,0.00,282231,16:57:22.424058
20,0.16,-0.33,0.10,-18.19,-11.13,-2.62,1.65,8.43,-0.08,0.00,0.00,0.00,0.00,282308,16:57:22.504353
21,0.16,-0.33,0.10,-18.19,-11.13,-2.62,2.27,8.39,-0.23,0.00,0.00,0.00,0.00,282354,16:57:22.536747
22,0.46,0.77,0.16,-18.19,-11.13,-2.62,2.27,8.39,-0.23,0.00,0.00,0.00,0.00,282392,16:57:22.586215
23,0.46,0.77,0.16,-18.19,-11.13,-2.62,2.00,9.05,0.04,0.00,0.00,0.00,0.00,282442,16:57:22.636046
24,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.00,9.05,0.04,0.00,0.00,0.00,0.00,282544,16:57:22.740802
25,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.15,8.36,-1.50,0.00,0.00,0.00,0.00,282577,16:57:22.771759
26,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.92,8.36,-2.49,0.00,0.00,0.00,0.00,282605,16:57:22.802721
27,0.13,0.50,0.53,-18.19,-11.13,-2.62,2.46,7.78,-2.99,0.00,0.00,0.00,0.00,282634,16:57:22.829597
28,0.13,0.50,0.53,-18.19,-11.13,-2.62,3.00,9.35,-3.30,0.00,0.00,0.00,0.00,282668,16:57:22.866205
29,0.13,0.50,0.53,-18.19,-11.13,-2.62,3.64,11.50,-3.45,0.00,0.00,0.00,0.00,282705,16:57:22.902202
30,0.13,0.50,0.53,-30.81,-15.63,21.87,3.64,11.50,-3.45,0.00,0.00,0.00,0.00,282744,16:57:22.939685
