,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.01,-0.03,-0.01,25.37,-20.69,19.81,3.72,11.21,0.14,0.65,0.20,0.47,0.57,1049722,15:01:41.746350
1,0.01,-0.02,-0.00,25.37,-20.69,19.81,3.72,11.21,0.14,0.65,0.20,0.47,0.57,1050270,15:01:42.393134
2,0.01,-0.01,0.00,25.37,-20.69,19.81,3.72,11.21,0.14,0.65,0.20,0.47,0.57,1050341,15:01:42.466979
3,0.01,-0.01,0.00,25.37,-20.69,19.81,3.56,9.14,0.63,0.65,0.20,0.47,0.57,1050410,15:01:42.537140
4,0.01,-0.01,0.00,25.37,-20.69,19.81,3.49,9.10,0.63,0.65,0.20,0.47,0.57,1050516,15:01:42.643261
5,-0.00,0.00,0.00,25.37,-20.69,19.81,3.49,9.10,0.63,0.65,0.20,0.47,0.57,1050615,15:01:42.738417
6,-0.00,-0.01,0.00,25.37,-20.69,19.81,3.49,9.10,0.63,0.65,0.20,0.47,0.57,1050782,15:01:42.907022
7,-0.00,-0.01,0.00,25.37,-20.69,19.81,3.53,9.10,0.67,0.65,0.20,0.47,0.57,1050842,15:01:42.965980
8,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.53,9.10,0.67,0.65,0.20,0.47,0.57,1051046,15:01:43.173551
9,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.53,9.14,0.67,0.65,0.20,0.47,0.57,1051095,15:01:43.222215
10,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.53,9.14,0.60,0.65,0.20,0.47,0.57,1051151,15:01:43.275957
11,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.53,9.14,0.63,0.65,0.20,0.47,0.57,1051202,15:01:43.325530
12,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.53,9.18,0.63,0.65,0.20,0.47,0.57,1051249,15:01:43.376311
13,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.56,9.14,0.63,0.65,0.20,0.47,0.57,1052044,15:01:44.170843
14,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.49,9.14,0.63,0.65,0.20,0.47,0.57,1052096,15:01:44.217493
15,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.60,9.21,0.44,0.65,0.20,0.47,0.57,1052239,15:01:44.356304
16,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.14,9.41,0.56,0.65,0.20,0.47,0.57,1052360,15:01:44.471805
17,0.01,-0.01,-0.01,25.37,-20.69,19.81,3.37,9.45,0.63,0.65,0.20,0.47,0.57,1052425,15:01:44.550838
18,0.01,-0.01,-0.01,25.37,-20.69,19.81,2.95,9.60,0.56,0.65,0.20,0.47,0.57,1052474,15:01:44.602151
19,-0.14,-0.18,-0.09,25.37,-20.69,19.81,2.95,9.60,0.56,0.65,0.20,0.47,0.57,1052616,15:01:44.741874
20,-0.14,-0.18,-0.09,25.37,-20.69,19.81,2.80,9.21,0.48,0.65,0.20,0.47,0.57,1052751,15:01:44.872237
21,-0.14,-0.18,-0.09,25.37,-20.69,19.81,2.14,9.14,0.98,0.65,0.20,0.47,0.57,1052814,15:01:44.938258
22,-0.14,-0.18,-0.09,25.37,-20.69,19.81,2.57,9.14,0.75,0.65,0.20,0.47,0.57,1052881,15:01:45.004906
