,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.03,0.03,0.01,7.87,-35.63,19.75,0.46,10.06,0.01,0.67,-0.21,-0.21,0.68,3121860,16:33:16.635581
1,-0.03,0.03,0.01,7.62,-37.31,16.56,0.46,10.06,0.01,0.67,-0.21,-0.21,0.68,3123997,16:33:18.678698
2,-0.03,0.03,0.01,7.62,-37.31,16.56,0.08,9.79,-0.68,0.67,-0.21,-0.21,0.68,3126144,16:33:20.852250
3,-0.06,0.11,0.03,7.62,-37.31,16.56,0.08,9.79,-0.68,0.67,-0.21,-0.21,0.68,3126221,16:33:20.998518
4,-0.06,0.11,0.03,7.62,-37.31,16.56,0.24,10.14,-0.07,0.67,-0.21,-0.21,0.68,3128254,16:33:23.038817
5,-0.06,0.11,0.03,7.62,-37.31,16.56,0.08,10.10,-0.11,0.67,-0.21,-0.21,0.68,3130290,16:33:25.071835
6,-0.06,0.11,0.03,7.62,-37.31,16.56,-0.03,10.06,-0.14,0.67,-0.21,-0.21,0.68,3132330,16:33:27.112167
7,-0.06,0.11,0.03,7.62,-37.31,16.56,0.05,10.06,-0.22,0.67,-0.21,-0.21,0.68,3134369,16:33:29.155113
8,0.00,-0.02,0.00,7.62,-37.31,16.56,0.05,10.06,-0.22,0.67,-0.21,-0.21,0.68,3136408,16:33:31.194064
9,0.00,-0.02,0.00,7.62,-37.31,16.56,0.08,10.06,-0.18,0.67,-0.21,-0.21,0.68,3138455,16:33:33.238715
10,0.00,-0.02,0.00,7.62,-37.31,16.56,0.01,10.02,-0.11,0.67,-0.21,-0.21,0.68,3140495,16:33:35.280286
11,0.00,-0.02,0.00,7.62,-37.31,16.56,-0.07,10.02,-0.22,0.67,-0.21,-0.21,0.68,3142566,16:33:37.338667
12,-0.01,0.02,0.00,7.62,-37.31,16.56,-0.07,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143119,16:33:37.889325
13,-0.01,0.02,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143297,16:33:38.071494
14,-0.01,0.02,0.00,7.62,-37.31,16.56,0.05,10.02,-0.26,0.67,-0.21,-0.21,0.68,3143345,16:33:38.129441
15,-0.01,0.00,0.00,7.62,-37.31,16.56,0.05,10.02,-0.26,0.67,-0.21,-0.21,0.68,3143402,16:33:38.186908
16,-0.01,0.00,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143436,16:33:38.213524
17,-0.01,-0.00,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143486,16:33:38.271254
18,-0.01,-0.00,0.00,7.62,-37.31,16.56,0.12,10.06,-0.22,0.67,-0.21,-0.21,0.68,3143517,16:33:38.304336
19,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.12,10.06,-0.22,0.67,-0.21,-0.21,0.68,3143576,16:33:38.362273
20,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.26,0.67,-0.21,-0.21,0.68,3143620,16:33:38.407967
21,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.12,10.02,-0.18,0.67,-0.21,-0.21,0.68,3143685,16:33:38.464126
22,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143729,16:33:38.512770
23,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3143764,16:33:38.544926
24,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,10.06,-0.18,0.67,-0.21,-0.21,0.68,3143869,16:33:38.647483
25,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143918,16:33:38.700879
26,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,9.98,-0.18,0.67,-0.21,-0.21,0.68,3143964,16:33:38.746077
27,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3143991,16:33:38.778174
28,-0.02,0.00,-0.00,7.62,-37.31,16.56,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144024,16:33:38.809030
29,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144066,16:33:38.846704
30,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3144139,16:33:38.920860
31,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.26,0.67,-0.21,-0.21,0.68,3144192,16:33:38.974162
32,0.00,-0.00,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3144290,16:33:39.070949
33,-0.01,0.02,0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3144356,16:33:39.136766
34,-0.01,-0.00,0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3144389,16:33:39.175286
35,0.00,0.01,-0.00,7.62,-37.31,16.56,0.05,10.02,-0.18,0.67,-0.21,-0.21,0.68,3144486,16:33:39.262735
36,0.00,0.01,-0.00,7.62,-37.31,16.56,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144607,16:33:39.364546
37,0.00,0.01,-0.00,7.62,-37.31,16.56,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144689,16:33:39.455098
38,0.01,-0.02,0.00,7.62,-37.31,16.56,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144757,16:33:39.521619
39,0.01,-0.02,0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3144797,16:33:39.572791
40,-0.01,0.00,-0.00,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3144838,16:33:39.625396
41,-0.01,0.00,0.01,7.62,-37.31,16.56,0.08,10.02,-0.22,0.67,-0.21,-0.21,0.68,3144882,16:33:39.669776
42,-0.01,0.00,0.01,7.62,-37.31,16.56,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144933,16:33:39.720567
43,0.00,0.01,0.00,7.62,-37.31,16.56,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3144960,16:33:39.746185
44,0.00,0.01,0.00,7.62,-37.31,16.56,-0.03,10.02,-0.26,0.67,-0.21,-0.21,0.68,3145008,16:33:39.789785
45,0.00,0.01,0.00,8.63,-34.13,15.94,-0.03,10.02,-0.26,0.67,-0.21,-0.21,0.68,3145035,16:33:39.821321
46,0.01,-0.01,0.01,8.63,-34.13,15.94,-0.03,10.02,-0.26,0.67,-0.21,-0.21,0.68,3145145,16:33:39.887681
47,0.01,-0.01,0.01,8.63,-34.13,15.94,0.08,10.02,-0.14,0.67,-0.21,-0.21,0.68,3145197,16:33:39.979409
48,0.00,-0.01,0.00,8.63,-34.13,15.94,0.08,10.02,-0.14,0.67,-0.21,-0.21,0.68,3145280,16:33:40.062554
49,0.00,-0.01,0.00,8.63,-34.13,15.94,0.08,10.02,-0.18,0.67,-0.21,-0.21,0.68,3145327,16:33:40.106606
50,0.00,-0.01,0.00,8.63,-34.13,15.94,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3145349,16:33:40.129196
51,0.00,-0.01,0.00,8.63,-34.13,15.94,0.01,9.98,-0.26,0.67,-0.21,-0.21,0.68,3145405,16:33:40.187701
52,0.00,-0.01,0.00,8.63,-34.13,15.94,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3145435,16:33:40.213137
53,0.00,-0.00,0.00,8.63,-34.13,15.94,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3145509,16:33:40.284888
54,0.00,-0.00,0.00,8.63,-34.13,15.94,0.05,9.98,-0.18,0.67,-0.21,-0.21,0.68,3145540,16:33:40.321193
55,-0.01,0.01,-0.01,8.63,-34.13,15.94,0.05,9.98,-0.18,0.67,-0.21,-0.21,0.68,3145581,16:33:40.362446
56,-0.01,0.01,-0.01,8.63,-34.13,15.94,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3145640,16:33:40.427451
57,-0.01,0.01,-0.01,8.63,-34.13,15.94,0.01,10.02,-0.18,0.67,-0.21,-0.21,0.68,3145677,16:33:40.455392
58,-0.01,0.01,-0.01,8.63,-34.13,15.94,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3145809,16:33:40.579294
59,-0.01,0.01,-0.01,8.63,-34.13,15.94,0.01,9.98,-0.30,0.67,-0.21,-0.21,0.68,3145860,16:33:40.636695
60,-0.01,0.01,0.00,8.63,-34.13,15.94,0.01,9.98,-0.30,0.67,-0.21,-0.21,0.68,3145911,16:33:40.696037
61,0.00,-0.00,0.00,8.63,-34.13,15.94,0.01,9.98,-0.30,0.67,-0.21,-0.21,0.68,3145932,16:33:40.720169
62,0.00,0.00,0.00,8.63,-34.13,15.94,0.01,9.98,-0.30,0.67,-0.21,-0.21,0.68,3146033,16:33:40.812679
63,0.00,0.00,0.00,8.63,-34.13,15.94,0.05,10.06,-0.18,0.67,-0.21,-0.21,0.68,3146080,16:33:40.855346
64,0.00,0.00,0.00,8.63,-34.13,15.94,0.05,10.06,-0.22,0.67,-0.21,-0.21,0.68,3146146,16:33:40.929295
65,0.00,0.00,0.00,8.63,-34.13,15.94,0.08,10.06,-0.22,0.67,-0.21,-0.21,0.68,3146178,16:33:40.962570
66,0.00,0.00,0.00,8.63,-34.13,15.94,0.01,10.02,-0.18,0.67,-0.21,-0.21,0.68,3146223,16:33:41.003525
67,0.00,0.00,0.00,8.63,-34.13,15.94,0.05,10.02,-0.22,0.67,-0.21,-0.21,0.68,3146293,16:33:41.064365
68,0.00,0.00,0.00,8.63,-34.13,15.94,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146443,16:33:41.212582
69,-0.01,0.01,0.00,8.63,-34.13,15.94,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146511,16:33:41.289411
70,-0.01,0.01,0.00,8.63,-34.13,15.94,0.08,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146569,16:33:41.354405
71,0.00,0.00,0.00,8.63,-34.13,15.94,0.08,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146598,16:33:41.370652
72,0.00,0.00,0.00,8.63,-34.13,15.94,0.05,10.06,-0.18,0.67,-0.21,-0.21,0.68,3146634,16:33:41.423044
73,0.00,0.00,0.00,8.63,-34.13,15.94,0.01,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146665,16:33:41.445986
74,0.00,0.00,0.00,8.63,-34.13,15.94,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146720,16:33:41.507131
75,0.00,0.00,0.00,8.50,-35.19,17.06,0.05,9.98,-0.22,0.67,-0.21,-0.21,0.68,3146794,16:33:41.580534
