,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.96,0.79,0.74,1.25,-22.00,-10.25,0.54,9.95,-0.14,0.60,-0.29,-0.42,0.62,1803229,16:11:18.055629
1,-0.96,0.79,0.74,1.25,-22.00,-10.25,-0.95,10.90,0.20,0.60,-0.29,-0.42,0.62,1805406,16:11:20.148965
2,-0.96,0.79,0.74,1.25,-22.00,-10.25,0.08,9.91,-0.30,0.60,-0.29,-0.42,0.62,1807616,16:11:22.354419
3,-0.96,0.79,0.74,1.25,-22.00,-10.25,-0.22,10.06,-0.22,0.60,-0.29,-0.42,0.62,1809782,16:11:24.519391
4,-0.96,0.79,0.74,1.25,-22.00,-10.25,-0.03,10.06,-0.11,0.60,-0.29,-0.42,0.62,1809948,16:11:24.777145
5,-0.96,0.79,0.74,1.25,-22.00,-10.25,-0.84,8.83,-0.30,0.60,-0.29,-0.42,0.62,1809999,16:11:24.830554
6,-0.77,0.60,0.71,1.25,-22.00,-10.25,-0.84,8.83,-0.30,0.60,-0.29,-0.42,0.62,1810079,16:11:24.913830
7,-0.69,0.19,0.69,1.25,-22.00,-10.25,-0.84,8.83,-0.30,0.60,-0.29,-0.42,0.62,1810136,16:11:24.957479
8,-0.71,0.28,0.70,1.25,-22.00,-10.25,-0.84,8.83,-0.30,0.60,-0.29,-0.42,0.62,1810205,16:11:25.019001
9,-0.71,0.28,0.70,1.25,-22.00,-10.25,0.08,10.10,-0.22,0.60,-0.29,-0.42,0.62,1810262,16:11:25.085233
10,-0.44,-0.02,0.62,1.25,-22.00,-10.25,0.08,10.10,-0.22,0.60,-0.29,-0.42,0.62,1810305,16:11:25.134787
11,-0.44,-0.02,0.62,1.25,-22.00,-10.25,-0.76,9.29,0.47,0.60,-0.29,-0.42,0.62,1810358,16:11:25.194059
12,-0.02,-0.84,-0.08,1.25,-22.00,-10.25,-0.76,9.29,0.47,0.60,-0.29,-0.42,0.62,1810421,16:11:25.251820
13,-0.02,-0.84,-0.08,1.25,-22.00,-10.25,-2.10,11.75,-0.49,0.60,-0.29,-0.42,0.62,1810458,16:11:25.291717
14,-0.02,-0.84,-0.08,1.25,-22.00,-10.25,-0.61,10.10,0.51,0.60,-0.29,-0.42,0.62,1810513,16:11:25.323821
15,-0.02,-0.84,-0.08,1.25,-22.00,-10.25,-0.53,8.87,2.04,0.60,-0.29,-0.42,0.62,1810553,16:11:25.380393
16,-0.02,-0.84,-0.08,1.25,-22.00,-10.25,-1.18,11.82,-0.68,0.60,-0.29,-0.42,0.62,1810589,16:11:25.425800
17,0.79,0.42,-0.91,1.25,-22.00,-10.25,-1.18,11.82,-0.68,0.60,-0.29,-0.42,0.62,1810635,16:11:25.464445
18,1.30,-0.31,-0.58,1.25,-22.00,-10.25,-1.18,11.82,-0.68,0.60,-0.29,-0.42,0.62,1810676,16:11:25.505133
19,1.30,-0.31,-0.58,1.25,-22.00,-10.25,-0.41,9.33,0.70,0.60,-0.29,-0.42,0.62,1810726,16:11:25.553943
20,1.30,-0.31,-0.58,1.25,-22.00,-10.25,-0.11,9.33,0.66,0.60,-0.29,-0.42,0.62,1810766,16:11:25.594977
21,1.30,-0.31,-0.58,1.25,-22.00,-10.25,-0.37,10.02,1.16,0.60,-0.29,-0.42,0.62,1810807,16:11:25.635865
22,1.30,-0.31,-0.58,1.25,-22.00,-10.25,-0.22,9.91,1.16,0.60,-0.29,-0.42,0.62,1810874,16:11:25.708073
23,1.30,-0.31,-0.58,25.25,-12.69,20.81,-0.22,9.91,1.16,0.60,-0.29,-0.42,0.62,1810907,16:11:25.739934
24,1.30,-0.31,-0.58,25.25,-12.69,20.81,-0.53,8.99,1.12,0.60,-0.29,-0.42,0.62,1810985,16:11:25.819042
25,0.05,0.24,0.10,25.25,-12.69,20.81,-0.53,8.99,1.12,0.60,-0.29,-0.42,0.62,1811036,16:11:25.868781
26,0.05,0.24,0.10,25.25,-12.69,20.81,-0.88,10.48,0.09,0.60,-0.29,-0.42,0.62,1811078,16:11:25.912950
27,-0.43,-0.06,0.45,25.25,-12.69,20.81,-0.88,10.48,0.09,0.60,-0.29,-0.42,0.62,1811124,16:11:25.954977
28,-0.43,-0.06,0.45,25.25,-12.69,20.81,0.01,11.97,-0.22,0.60,-0.29,-0.42,0.62,1811215,16:11:26.035969
29,-0.43,-0.06,0.45,25.25,-12.69,20.81,-0.30,9.25,-0.49,0.60,-0.29,-0.42,0.62,1811299,16:11:26.120996
30,-0.43,-0.06,0.45,25.25,-12.69,20.81,-0.53,11.52,-0.79,0.60,-0.29,-0.42,0.62,1811365,16:11:26.178661
31,-0.75,0.25,0.75,25.25,-12.69,20.81,-0.53,11.52,-0.79,0.60,-0.29,-0.42,0.62,1811419,16:11:26.244499
32,-0.75,0.25,0.75,25.25,-12.69,20.81,0.58,9.75,-0.41,0.60,-0.29,-0.42,0.62,1811525,16:11:26.354609
