,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.03,0.05,-0.10,17.87,-5.50,-25.19,-0.80,9.68,1.62,0.46,-0.40,-0.32,0.73,1558596,16:07:13.437824
1,0.03,0.05,-0.10,17.87,-5.50,-25.19,-0.80,9.68,1.62,0.54,-0.21,-0.34,0.74,1558654,16:07:13.491293
2,-0.65,0.48,0.19,17.87,-5.50,-25.19,-0.80,9.68,1.62,0.54,-0.21,-0.34,0.74,1558689,16:07:13.525189
3,-0.45,0.21,0.11,17.87,-5.50,-25.19,-0.80,9.68,1.62,0.54,-0.21,-0.34,0.74,1558730,16:07:13.574556
4,-0.21,-0.01,0.01,17.87,-5.50,-25.19,-0.80,9.68,1.62,0.54,-0.21,-0.34,0.74,1558757,16:07:13.598568
5,-0.21,-0.01,0.01,17.87,-5.50,-25.19,-1.37,9.06,2.50,0.54,-0.21,-0.34,0.74,1558803,16:07:13.638591
6,-0.21,-0.01,0.01,27.94,-17.25,15.31,-1.37,9.06,2.50,0.54,-0.21,-0.34,0.74,1558843,16:07:13.686474
7,0.26,-0.34,-0.39,27.94,-17.25,15.31,-1.37,9.06,2.50,0.54,-0.21,-0.34,0.74,1558895,16:07:13.734551
8,1.12,-0.83,-0.48,27.94,-17.25,15.31,-1.37,9.06,2.50,0.54,-0.21,-0.34,0.74,1559299,16:07:14.140579
9,1.12,-0.83,-0.48,27.94,-17.25,15.31,-2.21,7.22,1.27,0.54,-0.21,-0.34,0.74,1559367,16:07:14.204570
10,1.05,-0.85,-0.12,27.94,-17.25,15.31,-2.21,7.22,1.27,0.54,-0.21,-0.34,0.74,1559396,16:07:14.235608
11,1.05,-0.85,-0.12,27.94,-17.25,15.31,-0.49,9.68,1.58,0.54,-0.21,-0.34,0.74,1559449,16:07:14.291532
12,0.62,0.29,-0.42,27.94,-17.25,15.31,-0.49,9.68,1.58,0.54,-0.21,-0.34,0.74,1559471,16:07:14.307529
13,0.29,0.26,-0.21,27.94,-17.25,15.31,-0.49,9.68,1.58,0.54,-0.21,-0.34,0.74,1559673,16:07:14.515950
14,0.29,0.26,-0.21,27.94,-17.25,15.31,-0.53,10.21,1.77,0.54,-0.21,-0.34,0.74,1559882,16:07:14.716910
15,0.29,0.26,-0.21,27.94,-17.25,15.31,-0.68,11.02,-0.33,0.54,-0.21,-0.34,0.74,1559998,16:07:14.833420
16,0.29,0.26,-0.21,27.94,-17.25,15.31,0.08,10.52,0.24,0.54,-0.21,-0.34,0.74,1560100,16:07:14.937038
17,-0.72,0.15,0.37,27.94,-17.25,15.31,0.08,10.52,0.24,0.54,-0.21,-0.34,0.74,1560229,16:07:15.062693
18,-0.46,0.46,0.13,27.94,-17.25,15.31,0.08,10.52,0.24,0.54,-0.21,-0.34,0.74,1560271,16:07:15.110694
