,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,1.05,-0.66,0.18,-14.50,13.38,20.37,7.40,3.14,0.15,-0.12,-0.47,-0.84,0.26,1743671,15:15:03.624188
1,1.05,-0.66,0.18,-14.50,13.38,20.37,9.74,4.90,2.03,-0.12,-0.47,-0.84,0.26,1743720,15:15:03.668014
2,1.05,-0.66,0.18,-14.50,13.38,20.37,2.73,7.86,4.14,-0.12,-0.47,-0.84,0.26,1743798,15:15:03.756045
3,1.05,-0.66,0.18,-14.50,13.38,20.37,3.31,8.02,4.95,-0.12,-0.47,-0.84,0.26,1743845,15:15:03.793358
4,1.05,-0.66,0.18,-14.50,13.38,20.37,3.70,7.86,3.99,-0.12,-0.47,-0.84,0.26,1743967,15:15:03.919443
5,1.05,-0.66,0.18,-14.50,13.38,20.37,3.08,8.05,4.18,-0.12,-0.47,-0.84,0.26,1744011,15:15:03.960174
6,1.05,-0.66,0.18,-14.50,13.38,20.37,4.57,7.44,2.87,-0.12,-0.47,-0.84,0.26,1744052,15:15:04.004831
7,1.05,-0.66,0.18,-14.50,13.38,20.37,3.31,8.63,4.64,-0.12,-0.47,-0.84,0.26,1744092,15:15:04.044978
8,1.05,-0.66,0.18,-14.50,13.38,20.37,4.27,8.97,3.26,-0.12,-0.47,-0.84,0.26,1744168,15:15:04.126692
9,0.60,0.04,0.57,-14.50,13.38,20.37,4.27,8.97,3.26,-0.12,-0.47,-0.84,0.26,1744258,15:15:04.201439
10,-0.09,0.01,0.14,-14.50,13.38,20.37,4.27,8.97,3.26,-0.12,-0.47,-0.84,0.26,1744290,15:15:04.234687
11,-0.09,0.01,0.14,-14.50,13.38,20.37,3.70,8.25,3.26,-0.12,-0.47,-0.84,0.26,1744348,15:15:04.301085
12,0.13,0.01,-0.18,-14.50,13.38,20.37,3.70,8.25,3.26,-0.12,-0.47,-0.84,0.26,1744414,15:15:04.368333
13,0.13,0.01,-0.18,-14.50,13.38,20.37,4.38,8.17,4.41,-0.12,-0.47,-0.84,0.26,1744445,15:15:04.402473
14,0.13,0.01,-0.18,-14.50,13.38,20.37,4.54,8.25,3.45,-0.12,-0.47,-0.84,0.26,1744488,15:15:04.443264
15,0.13,0.01,-0.18,11.13,10.94,25.50,4.54,8.25,3.45,-0.12,-0.47,-0.84,0.26,1744608,15:15:04.567927
16,-0.09,0.16,-0.07,11.13,10.94,25.50,4.54,8.25,3.45,-0.12,-0.47,-0.84,0.26,1744665,15:15:04.621696
17,-0.09,0.16,-0.07,11.13,10.94,25.50,4.73,8.09,3.76,-0.12,-0.47,-0.84,0.26,1744696,15:15:04.651041
18,-0.09,0.16,-0.07,11.13,10.94,25.50,4.11,7.71,4.48,-0.12,-0.47,-0.84,0.26,1744744,15:15:04.701817
19,-0.09,0.16,-0.07,9.94,10.44,24.12,4.11,7.71,4.48,-0.12,-0.47,-0.84,0.26,1744825,15:15:04.769128
20,-0.01,0.19,0.03,9.94,10.44,24.12,4.11,7.71,4.48,-0.12,-0.47,-0.84,0.26,1744913,15:15:04.868079
21,-0.01,0.19,0.03,9.94,10.44,24.12,2.77,8.55,5.59,-0.12,-0.47,-0.84,0.26,1744956,15:15:04.909892
22,-0.01,0.19,0.03,9.94,10.44,24.12,3.81,8.48,3.91,-0.12,-0.47,-0.84,0.26,1744984,15:15:04.943400
23,-0.01,0.19,0.03,9.94,10.44,24.12,3.16,8.90,4.45,-0.12,-0.47,-0.84,0.26,1745064,15:15:05.018116
24,-0.01,0.19,0.03,9.94,10.44,24.12,2.24,9.24,5.75,-0.12,-0.47,-0.84,0.26,1745122,15:15:05.068467
25,-0.01,0.19,0.03,9.94,10.44,24.12,2.62,8.25,4.02,-0.12,-0.47,-0.84,0.26,1745188,15:15:05.148655
26,-0.25,0.24,-0.12,9.94,10.44,24.12,2.62,8.25,4.02,-0.12,-0.47,-0.84,0.26,1745253,15:15:05.205014
27,0.06,0.69,-0.10,9.94,10.44,24.12,2.62,8.25,4.02,-0.12,-0.47,-0.84,0.26,1745298,15:15:05.254230
28,0.06,0.69,-0.10,9.94,10.44,24.12,0.40,7.82,4.91,-0.12,-0.47,-0.84,0.26,1745344,15:15:05.304315
29,0.06,0.69,-0.10,9.31,12.00,22.94,0.40,7.82,4.91,-0.12,-0.47,-0.84,0.26,1745383,15:15:05.339190
30,0.10,-0.35,0.03,9.31,12.00,22.94,0.40,7.82,4.91,-0.12,-0.47,-0.84,0.26,1745459,15:15:05.418864
31,-0.20,0.31,-0.55,9.31,12.00,22.94,0.40,7.82,4.91,-0.12,-0.47,-0.84,0.26,1746038,15:15:05.993557
32,-0.20,0.31,-0.55,9.31,12.00,22.94,2.12,7.18,5.75,-0.12,-0.47,-0.84,0.26,1746089,15:15:06.043218
33,-0.20,0.31,-0.55,9.31,12.00,22.94,3.35,5.99,6.02,-0.12,-0.47,-0.84,0.26,1746147,15:15:06.101221
34,0.61,0.42,0.79,9.31,12.00,22.94,3.35,5.99,6.02,-0.12,-0.47,-0.84,0.26,1746259,15:15:06.203413
35,0.52,0.43,0.71,9.31,12.00,22.94,3.35,5.99,6.02,-0.12,-0.47,-0.84,0.26,1746358,15:15:06.315299
