,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,1.26,-0.26,-0.05,4.19,-8.13,8.94,5.69,6.02,2.08,0.11,-0.35,-0.48,0.80,1094202,15:04:14.178763
1,1.26,-0.26,-0.05,4.19,-8.13,8.94,4.50,5.82,4.49,0.11,-0.35,-0.48,0.80,1094339,15:04:14.316714
2,1.26,-0.26,-0.05,4.19,-8.13,8.94,6.28,7.54,0.67,0.11,-0.35,-0.48,0.80,1094428,15:04:14.400883
3,0.01,-0.00,0.00,4.19,-8.13,8.94,6.28,7.54,0.67,0.11,-0.35,-0.48,0.80,1094507,15:04:14.482498
4,0.01,-0.00,0.00,4.19,-8.13,8.94,6.31,7.54,0.75,0.11,-0.35,-0.48,0.80,1094574,15:04:14.550693
5,0.01,-0.00,0.00,4.19,-8.13,8.94,6.31,7.50,0.59,0.11,-0.35,-0.48,0.80,1094620,15:04:14.600350
6,0.00,0.01,0.01,4.19,-8.13,8.94,6.31,7.50,0.59,0.11,-0.35,-0.48,0.80,1094677,15:04:14.649663
7,0.00,0.01,0.01,4.19,-8.13,8.94,6.24,7.57,0.67,0.11,-0.35,-0.48,0.80,1094723,15:04:14.701385
8,0.00,0.01,0.01,4.19,-8.13,8.94,6.24,7.57,0.67,0.11,-0.35,-0.48,0.80,1094810,15:04:14.791245
9,0.00,0.01,0.01,4.19,-8.13,8.94,6.35,7.50,0.67,0.11,-0.35,-0.48,0.80,1094986,15:04:14.962407
10,0.00,0.01,0.01,4.19,-8.13,8.94,6.28,7.50,0.59,0.11,-0.35,-0.48,0.80,1095072,15:04:15.040352
11,-0.00,0.02,0.01,4.19,-8.13,8.94,6.28,7.50,0.59,0.11,-0.35,-0.48,0.80,1095137,15:04:15.111836
12,-0.00,0.02,0.01,4.19,-8.13,8.94,6.43,7.46,0.59,0.11,-0.35,-0.48,0.80,1095239,15:04:15.220629
13,-0.00,0.02,0.01,4.19,-8.13,8.94,6.20,7.42,0.48,0.11,-0.35,-0.48,0.80,1095301,15:04:15.279072
14,-0.00,0.02,0.01,4.19,-8.13,8.94,6.12,7.54,0.79,0.11,-0.35,-0.48,0.80,1095353,15:04:15.332607
15,-0.00,0.02,0.01,13.31,6.37,19.25,6.12,7.54,0.79,0.11,-0.35,-0.48,0.80,1095409,15:04:15.388566
16,-0.00,0.02,0.01,13.31,6.37,19.25,6.39,7.50,0.67,0.11,-0.35,-0.48,0.80,1095457,15:04:15.437634
17,-0.00,0.02,0.01,13.31,6.37,19.25,6.35,7.46,0.67,0.11,-0.35,-0.48,0.80,1095492,15:04:15.473770
18,-0.00,0.02,0.01,13.31,6.37,19.25,6.20,7.54,0.67,0.11,-0.35,-0.48,0.80,1095564,15:04:15.544363
19,-0.00,0.02,0.01,13.31,6.37,19.25,6.35,7.54,0.67,0.11,-0.35,-0.48,0.80,1095647,15:04:15.623010
20,-0.00,0.02,0.01,13.31,6.37,19.25,6.28,7.35,0.59,0.11,-0.35,-0.48,0.80,1095841,15:04:15.815141
