,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.03,-0.08,0.01,-16.50,-9.69,-4.56,6.56,6.21,-3.59,-0.40,-0.74,-0.52,0.14,1471419,16:32:16.913349
1,-0.03,-0.08,0.01,-16.50,-9.69,-4.56,6.41,6.25,-3.55,-0.40,-0.74,-0.52,0.14,1473628,16:32:19.032792
2,0.05,0.16,-0.00,-16.50,-9.69,-4.56,6.41,6.25,-3.55,-0.40,-0.74,-0.52,0.14,1475612,16:32:21.108076
3,-0.03,0.01,0.01,-16.50,-9.69,-4.56,6.41,6.25,-3.55,-0.40,-0.74,-0.52,0.14,1475669,16:32:21.147745
4,-0.03,0.01,0.01,-16.50,-9.69,-4.56,4.54,8.43,-1.25,-0.40,-0.74,-0.52,0.14,1475748,16:32:21.244013
5,-0.05,-0.08,-0.07,-16.50,-9.69,-4.56,4.54,8.43,-1.25,-0.40,-0.74,-0.52,0.14,1475815,16:32:21.308511
6,-0.05,-0.08,-0.07,-16.50,-9.69,-4.56,4.84,8.70,-1.33,-0.40,-0.74,-0.52,0.14,1475873,16:32:21.367073
7,-0.05,-0.08,-0.07,-16.50,-9.69,-4.56,4.84,8.24,-1.64,-0.40,-0.74,-0.52,0.14,1475912,16:32:21.394267
8,-0.05,-0.08,-0.07,-16.50,-9.69,-4.56,5.03,8.24,-1.75,-0.40,-0.74,-0.52,0.14,1475951,16:32:21.440632
9,-0.05,-0.08,-0.07,-16.50,-9.69,-4.56,4.76,8.55,-1.41,-0.40,-0.74,-0.52,0.14,1475980,16:32:21.473234
10,-0.05,-0.08,-0.07,-16.50,-9.69,-4.56,4.61,8.74,-1.06,-0.40,-0.74,-0.52,0.14,1476058,16:32:21.555145
11,0.07,0.04,0.02,-16.50,-9.69,-4.56,4.61,8.74,-1.06,-0.40,-0.74,-0.52,0.14,1476123,16:32:21.616660
12,0.07,0.04,0.02,-16.50,-9.69,-4.56,4.95,8.43,-1.29,-0.40,-0.74,-0.52,0.14,1476174,16:32:21.665391
13,0.01,0.01,0.01,-16.50,-9.69,-4.56,4.95,8.43,-1.29,-0.40,-0.74,-0.52,0.14,1476205,16:32:21.700606
14,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.95,8.43,-1.29,-0.40,-0.74,-0.52,0.14,1476249,16:32:21.742003
15,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.73,8.43,-1.48,-0.40,-0.74,-0.52,0.14,1476325,16:32:21.819721
16,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.69,8.43,-1.52,-0.40,-0.74,-0.52,0.14,1476420,16:32:21.890892
17,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.95,8.58,-1.21,-0.40,-0.74,-0.52,0.14,1476517,16:32:22.011392
18,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.88,8.47,-1.56,-0.40,-0.74,-0.52,0.14,1476543,16:32:22.035135
19,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.92,8.43,-1.45,-0.40,-0.74,-0.52,0.14,1476604,16:32:22.098446
20,0.01,0.05,0.05,-16.50,-9.69,-4.56,5.03,8.32,-1.60,-0.40,-0.74,-0.52,0.14,1477474,16:32:22.968153
21,0.01,0.05,0.05,-16.50,-9.69,-4.56,4.99,8.55,-1.14,-0.40,-0.74,-0.52,0.14,1477508,16:32:22.995626
22,0.03,-0.06,-0.11,-16.50,-9.69,-4.56,4.99,8.55,-1.14,-0.40,-0.74,-0.52,0.14,1477544,16:32:23.039733
23,0.03,-0.06,-0.11,-16.50,-9.69,-4.56,5.03,8.62,-1.41,-0.40,-0.74,-0.52,0.14,1477567,16:32:23.060095
24,0.03,-0.06,-0.11,-16.50,-9.69,-4.56,5.26,8.39,-1.45,-0.40,-0.74,-0.52,0.14,1477619,16:32:23.116686
25,-0.02,0.06,0.03,-16.50,-9.69,-4.56,5.26,8.39,-1.45,-0.40,-0.74,-0.52,0.14,1477638,16:32:23.134852
26,-0.02,0.06,0.03,-16.50,-9.69,-4.56,4.80,8.47,-1.87,-0.40,-0.74,-0.52,0.14,1477698,16:32:23.174149
27,0.10,0.09,0.03,-16.50,-9.69,-4.56,4.80,8.47,-1.87,-0.40,-0.74,-0.52,0.14,1477756,16:32:23.244481
28,0.10,0.09,0.03,-16.50,-9.69,-4.56,4.73,8.62,-1.60,-0.40,-0.74,-0.52,0.14,1477795,16:32:23.287833
29,0.10,0.09,0.03,-16.50,-9.69,-4.56,5.03,8.58,-1.64,-0.40,-0.74,-0.52,0.14,1477827,16:32:23.309867
30,0.10,0.09,0.03,-16.50,-9.69,-4.56,4.95,8.43,-1.64,-0.40,-0.74,-0.52,0.14,1477853,16:32:23.349577
31,0.01,-0.04,-0.06,-16.50,-9.69,-4.56,4.95,8.43,-1.64,-0.40,-0.74,-0.52,0.14,1477881,16:32:23.372097
32,0.01,-0.04,-0.06,-16.50,-9.69,-4.56,4.73,8.28,-1.79,-0.40,-0.74,-0.52,0.14,1477926,16:32:23.422454
33,0.03,-0.17,-0.08,-16.50,-9.69,-4.56,4.73,8.28,-1.79,-0.40,-0.74,-0.52,0.14,1477979,16:32:23.464545
34,-0.01,-0.19,-0.05,-16.50,-9.69,-4.56,4.73,8.28,-1.79,-0.40,-0.74,-0.52,0.14,1478017,16:32:23.509448
35,0.11,0.00,0.13,-16.50,-9.69,-4.56,4.73,8.28,-1.79,-0.40,-0.74,-0.52,0.14,1478086,16:32:23.581658
36,0.20,0.12,0.24,-16.50,-9.69,-4.56,4.73,8.28,-1.79,-0.40,-0.74,-0.52,0.14,1478117,16:32:23.610698
37,-0.01,0.08,0.17,-16.50,-9.69,-4.56,4.73,8.28,-1.79,-0.40,-0.74,-0.52,0.14,1478156,16:32:23.652164
38,-0.01,0.08,0.17,-16.50,-9.69,-4.56,4.61,8.32,-1.75,-0.40,-0.74,-0.52,0.14,1478192,16:32:23.688152
39,-0.01,0.08,0.17,-16.50,-9.69,-4.56,4.42,8.24,-2.25,-0.40,-0.74,-0.52,0.14,1478215,16:32:23.708087
40,-0.01,0.08,0.17,-16.50,-9.69,-4.56,4.42,8.16,-2.14,-0.40,-0.74,-0.52,0.14,1478259,16:32:23.745878
41,-0.01,0.08,0.17,-16.50,-9.69,-4.56,4.54,8.24,-1.75,-0.40,-0.74,-0.52,0.14,1478286,16:32:23.781754
42,-0.01,0.08,0.17,-16.50,-9.69,-4.56,4.61,8.58,-1.71,-0.40,-0.74,-0.52,0.14,1478304,16:32:23.801489
43,-0.16,-0.02,-0.06,-16.50,-9.69,-4.56,4.61,8.58,-1.71,-0.40,-0.74,-0.52,0.14,1478387,16:32:23.881273
44,-0.16,-0.02,-0.06,-16.50,-9.69,-4.56,4.65,8.58,-2.25,-0.40,-0.74,-0.52,0.14,1478423,16:32:23.916656
45,-0.15,0.12,-0.29,-16.50,-9.69,-4.56,4.65,8.58,-2.25,-0.40,-0.74,-0.52,0.14,1478467,16:32:23.960944
46,-0.00,-0.01,-0.30,-16.50,-9.69,-4.56,4.65,8.58,-2.25,-0.40,-0.74,-0.52,0.14,1478503,16:32:23.982256
47,-0.00,-0.01,-0.30,-16.50,-9.69,-4.56,4.76,8.20,-1.75,-0.40,-0.74,-0.52,0.14,1478552,16:32:24.048336
48,-0.00,-0.01,-0.30,-16.50,-9.69,-4.56,4.80,8.20,-1.52,-0.40,-0.74,-0.52,0.14,1478591,16:32:24.075974
49,-0.00,-0.01,-0.30,-16.50,-9.69,-4.56,5.30,8.24,-1.18,-0.40,-0.74,-0.52,0.14,1478678,16:32:24.173374
50,-0.00,-0.01,-0.30,-0.81,-11.56,-6.19,5.30,8.24,-1.18,-0.40,-0.74,-0.52,0.14,1478731,16:32:24.224645
51,-0.12,0.24,-0.15,-0.81,-11.56,-6.19,5.30,8.24,-1.18,-0.40,-0.74,-0.52,0.14,1478936,16:32:24.431820
52,-0.12,0.24,-0.15,-0.81,-11.56,-6.19,5.57,7.93,-1.68,-0.40,-0.74,-0.52,0.14,1479021,16:32:24.509388
53,0.29,0.91,1.15,-0.81,-11.56,-6.19,5.57,7.93,-1.68,-0.40,-0.74,-0.52,0.14,1479048,16:32:24.543880
54,0.29,0.91,1.15,-0.81,-11.56,-6.19,9.13,7.01,-1.95,-0.40,-0.74,-0.52,0.14,1479085,16:32:24.577963
55,0.29,0.91,1.15,-0.81,-11.56,-6.19,8.36,7.13,-1.71,-0.40,-0.74,-0.52,0.14,1479106,16:32:24.603016
56,0.29,0.91,1.15,-0.81,-11.56,-6.19,8.06,7.20,-0.83,-0.40,-0.74,-0.52,0.14,1479199,16:32:24.693366
57,0.29,0.91,1.15,-0.81,-11.56,-6.19,7.83,7.01,-0.30,-0.40,-0.74,-0.52,0.14,1479242,16:32:24.715707
58,0.29,0.91,1.15,-0.81,-11.56,-6.19,9.78,5.94,-0.91,-0.40,-0.74,-0.52,0.14,1479379,16:32:24.855185
59,0.29,0.91,1.15,-7.06,-16.87,1.56,9.78,5.94,-0.91,-0.40,-0.74,-0.52,0.14,1479408,16:32:24.898488
