,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.89,1.53,-1.18,26.94,22.62,-15.56,3.24,8.62,1.23,0.53,-0.65,-0.12,0.54,721360,16:50:01.312248
1,0.31,0.14,-1.08,26.94,22.62,-15.56,3.24,8.62,1.23,0.53,-0.65,-0.12,0.54,722769,16:50:02.710631
2,0.31,0.14,-1.08,26.94,22.62,-15.56,1.78,9.62,1.12,0.53,-0.65,-0.12,0.54,722801,16:50:02.752653
3,0.00,-0.05,-0.02,26.94,22.62,-15.56,1.78,9.62,1.12,0.53,-0.65,-0.12,0.54,722847,16:50:02.794057
4,0.02,-0.06,-0.03,26.94,22.62,-15.56,1.78,9.62,1.12,0.53,-0.65,-0.12,0.54,722884,16:50:02.835381
5,0.02,-0.06,-0.03,26.94,22.62,-15.56,1.82,9.62,1.08,0.53,-0.65,-0.12,0.54,722932,16:50:02.879849
6,0.02,-0.06,-0.03,26.94,22.62,-15.56,1.71,9.69,1.04,0.53,-0.65,-0.12,0.54,722973,16:50:02.923872
7,0.01,-0.05,-0.01,26.94,22.62,-15.56,1.71,9.69,1.04,0.53,-0.65,-0.12,0.54,723005,16:50:02.953297
8,0.02,-0.01,-0.02,26.94,22.62,-15.56,1.71,9.69,1.04,0.53,-0.65,-0.12,0.54,723161,16:50:03.110831
9,0.02,-0.01,-0.02,26.94,22.62,-15.56,1.74,9.66,1.20,0.53,-0.65,-0.12,0.54,723196,16:50:03.142310
10,0.02,-0.01,-0.02,26.94,22.62,-15.56,1.59,9.66,1.04,0.53,-0.65,-0.12,0.54,723233,16:50:03.181713
11,0.02,-0.01,-0.02,26.94,22.62,-15.56,1.67,9.66,1.20,0.53,-0.65,-0.12,0.54,723277,16:50:03.227739
12,-0.01,-0.00,-0.00,26.94,22.62,-15.56,1.67,9.66,1.20,0.53,-0.65,-0.12,0.54,723311,16:50:03.258640
13,-0.01,0.03,0.00,26.94,22.62,-15.56,1.67,9.66,1.20,0.53,-0.65,-0.12,0.54,723383,16:50:03.332785
14,0.00,-0.01,-0.00,26.94,22.62,-15.56,1.67,9.66,1.20,0.53,-0.65,-0.12,0.54,723435,16:50:03.385577
