,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.05,-0.14,-0.02,-13.94,-0.44,-24.00,1.55,9.43,0.78,0.13,-0.74,-0.66,0.05,1208353,16:58:08.274113
1,-0.05,-0.14,-0.02,-13.94,-0.44,-24.00,1.48,9.27,0.39,0.13,-0.74,-0.66,0.05,1209135,16:58:09.066021
2,0.05,0.62,0.11,-13.94,-0.44,-24.00,1.48,9.27,0.39,0.13,-0.74,-0.66,0.05,1209178,16:58:09.101944
3,0.05,0.62,0.11,-13.94,-0.44,-24.00,1.82,9.66,0.89,0.13,-0.74,-0.66,0.05,1209251,16:58:09.185005
4,-0.00,-0.03,-0.00,-13.94,-0.44,-24.00,1.82,9.66,0.89,0.13,-0.74,-0.66,0.05,1209443,16:58:09.372335
5,-0.00,-0.03,-0.00,-13.94,-0.44,-24.00,1.78,9.58,0.78,0.13,-0.74,-0.66,0.05,1209532,16:58:09.461389
6,-0.00,-0.03,-0.00,-13.94,-0.44,-24.00,1.78,9.66,0.85,0.13,-0.74,-0.66,0.05,1209574,16:58:09.498770
7,-0.00,-0.03,-0.00,-13.94,-0.44,-24.00,1.82,9.62,0.93,0.13,-0.74,-0.66,0.05,1209635,16:58:09.560082
8,-0.02,0.00,-0.01,-13.94,-0.44,-24.00,1.82,9.62,0.93,0.13,-0.74,-0.66,0.05,1210591,16:58:10.518884
9,-0.02,0.00,-0.01,-13.94,-0.44,-24.00,1.82,9.54,0.85,0.13,-0.74,-0.66,0.05,1210726,16:58:10.655871
10,-0.02,0.00,-0.01,-13.94,-0.44,-24.00,1.78,9.58,0.93,0.13,-0.74,-0.66,0.05,1210793,16:58:10.723952
11,-0.01,-0.03,0.00,-13.94,-0.44,-24.00,1.78,9.58,0.93,0.13,-0.74,-0.66,0.05,1210841,16:58:10.769821
12,-0.01,-0.03,0.00,-13.94,-0.44,-24.00,1.82,9.62,0.85,0.13,-0.74,-0.66,0.05,1210904,16:58:10.837138
13,-0.01,-0.03,0.00,-13.94,-0.44,-24.00,1.78,9.50,1.04,0.13,-0.74,-0.66,0.05,1210940,16:58:10.864569
14,-0.01,-0.03,0.00,-13.94,-0.44,-24.00,1.74,9.62,0.89,0.13,-0.74,-0.66,0.05,1210981,16:58:10.910204
15,-0.01,-0.03,0.00,-13.94,-0.44,-24.00,1.78,9.62,0.78,0.13,-0.74,-0.66,0.05,1211025,16:58:10.955982
16,0.04,0.04,0.02,-13.94,-0.44,-24.00,1.78,9.62,0.78,0.13,-0.74,-0.66,0.05,1211257,16:58:11.188564
17,-0.02,0.01,-0.00,-13.94,-0.44,-24.00,1.78,9.62,0.78,0.13,-0.74,-0.66,0.05,1211358,16:58:11.279394
18,-0.02,0.01,-0.00,-13.94,-0.44,-24.00,1.74,9.62,0.97,0.13,-0.74,-0.66,0.05,1211454,16:58:11.386386
19,-0.02,0.01,-0.00,-13.94,-0.44,-24.00,1.82,9.50,0.93,0.13,-0.74,-0.66,0.05,1211572,16:58:11.500725
20,-0.02,0.01,-0.00,-13.94,-0.44,-24.00,1.67,9.73,1.08,0.13,-0.74,-0.66,0.05,1211705,16:58:11.633692
21,-0.07,0.05,0.00,-13.94,-0.44,-24.00,1.67,9.73,1.08,0.13,-0.74,-0.66,0.05,1211764,16:58:11.694049
22,-0.07,0.05,0.00,-13.94,-0.44,-24.00,1.67,9.77,0.81,0.13,-0.74,-0.66,0.05,1211823,16:58:11.751505
23,-0.07,0.05,0.00,-13.94,-0.44,-24.00,1.55,9.62,0.32,0.13,-0.74,-0.66,0.05,1211889,16:58:11.820688
24,0.03,0.45,0.06,-13.94,-0.44,-24.00,1.55,9.62,0.32,0.13,-0.74,-0.66,0.05,1212071,16:58:11.999655
