,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.82,0.34,1.41,-16.31,8.44,16.94,6.76,7.48,8.32,0.12,-0.33,-0.62,0.70,1871363,15:17:11.317700
1,0.82,0.34,1.41,-16.31,8.44,16.94,4.27,6.75,4.68,0.12,-0.33,-0.62,0.70,1871406,15:17:11.344982
2,0.00,-0.01,0.01,-16.31,8.44,16.94,4.27,6.75,4.68,0.12,-0.33,-0.62,0.70,1871441,15:17:11.394614
3,0.00,-0.01,0.01,-16.31,8.44,16.94,6.30,7.21,2.20,0.12,-0.33,-0.62,0.70,1871467,15:17:11.417108
4,0.00,-0.01,0.01,-16.31,8.44,16.94,6.34,7.18,2.23,0.12,-0.33,-0.62,0.70,1871611,15:17:11.552927
5,-0.01,-0.01,-0.02,-16.31,8.44,16.94,6.34,7.18,2.23,0.12,-0.33,-0.62,0.70,1871850,15:17:11.797683
6,-0.02,-0.01,-0.01,-16.31,8.44,16.94,6.34,7.18,2.23,0.12,-0.33,-0.62,0.70,1871897,15:17:11.848206
7,-0.02,-0.01,-0.01,-16.31,8.44,16.94,6.57,7.14,2.23,0.12,-0.33,-0.62,0.70,1871966,15:17:11.890867
8,0.01,-0.02,0.00,-16.31,8.44,16.94,6.57,7.14,2.23,0.12,-0.33,-0.62,0.70,1872036,15:17:11.990187
9,0.02,0.02,0.00,-16.31,8.44,16.94,6.57,7.14,2.23,0.12,-0.33,-0.62,0.70,1872526,15:17:12.458812
10,0.02,0.02,0.00,-16.31,8.44,16.94,6.49,7.10,2.20,0.12,-0.33,-0.62,0.70,1872569,15:17:12.514841
11,0.00,0.01,-0.02,-16.31,8.44,16.94,6.49,7.10,2.20,0.12,-0.33,-0.62,0.70,1872628,15:17:12.574950
12,0.01,-0.01,-0.03,-16.31,8.44,16.94,6.49,7.10,2.20,0.12,-0.33,-0.62,0.70,1872665,15:17:12.615903
13,0.01,-0.01,-0.03,-16.31,8.44,16.94,6.53,7.14,2.23,0.12,-0.33,-0.62,0.70,1872698,15:17:12.650124
14,0.03,-0.01,-0.00,-16.31,8.44,16.94,6.53,7.14,2.23,0.12,-0.33,-0.62,0.70,1872730,15:17:12.678526
15,0.03,-0.01,-0.00,-16.31,8.44,16.94,6.45,7.33,2.39,0.12,-0.33,-0.62,0.70,1872765,15:17:12.719872
