,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.24,-0.67,-0.23,11.13,-10.38,-4.87,4.98,5.70,0.55,-0.12,-0.47,-0.84,0.26,1575794,15:12:15.754966
1,1.61,-0.16,0.42,11.13,-10.38,-4.87,4.98,5.70,0.55,-0.12,-0.47,-0.84,0.26,1575891,15:12:15.827536
2,1.61,-0.16,0.42,11.13,-10.38,-4.87,6.71,7.24,0.30,-0.12,-0.47,-0.84,0.26,1576011,15:12:15.969270
3,0.04,0.01,-0.02,11.13,-10.38,-4.87,6.71,7.24,0.30,-0.12,-0.47,-0.84,0.26,1576061,15:12:16.019218
4,0.01,0.00,-0.02,11.13,-10.38,-4.87,6.71,7.24,0.30,-0.12,-0.47,-0.84,0.26,1576119,15:12:16.079546
5,-0.01,0.00,-0.02,11.13,-10.38,-4.87,6.71,7.24,0.30,-0.12,-0.47,-0.84,0.26,1576179,15:12:16.145438
6,0.00,0.01,-0.02,11.13,-10.38,-4.87,6.71,7.24,0.30,-0.12,-0.47,-0.84,0.26,1576222,15:12:16.185896
7,0.00,0.01,-0.02,11.13,-10.38,-4.87,6.71,7.31,0.34,-0.12,-0.47,-0.84,0.26,1576305,15:12:16.269615
8,0.00,0.01,-0.02,11.13,-10.38,-4.87,6.60,7.39,0.30,-0.12,-0.47,-0.84,0.26,1576370,15:12:16.330898
9,-0.01,-0.01,0.03,11.13,-10.38,-4.87,6.60,7.39,0.30,-0.12,-0.47,-0.84,0.26,1576410,15:12:16.369930
10,-0.04,-0.05,0.01,11.13,-10.38,-4.87,6.60,7.39,0.30,-0.12,-0.47,-0.84,0.26,1576457,15:12:16.420085
11,-0.06,-0.04,0.02,11.13,-10.38,-4.87,6.60,7.39,0.30,-0.12,-0.47,-0.84,0.26,1576576,15:12:16.535630
12,-0.06,-0.04,0.02,11.13,-10.38,-4.87,6.63,7.27,0.30,-0.12,-0.47,-0.84,0.26,1576623,15:12:16.584071
13,-0.06,-0.04,0.02,11.13,-10.38,-4.87,6.67,7.27,0.27,-0.12,-0.47,-0.84,0.26,1576672,15:12:16.635943
14,-0.06,-0.04,0.02,13.81,5.19,20.56,6.67,7.27,0.27,-0.12,-0.47,-0.84,0.26,1576727,15:12:16.685950
15,-0.06,-0.04,0.02,12.38,6.62,19.62,6.67,7.27,0.27,-0.12,-0.47,-0.84,0.26,1576785,15:12:16.728095
16,-0.06,-0.04,0.02,12.38,6.62,19.62,6.71,7.27,0.34,-0.12,-0.47,-0.84,0.26,1576831,15:12:16.794095
17,-0.06,-0.04,0.02,12.38,6.62,19.62,6.67,7.24,0.27,-0.12,-0.47,-0.84,0.26,1576873,15:12:16.836514
18,-0.06,-0.04,0.02,12.38,6.62,19.62,6.71,7.27,0.27,-0.12,-0.47,-0.84,0.26,1576922,15:12:16.876814
19,-0.06,-0.04,0.02,12.81,5.62,20.25,6.71,7.27,0.27,-0.12,-0.47,-0.84,0.26,1576973,15:12:16.924529
20,-0.06,-0.04,0.02,12.75,4.06,19.81,6.71,7.27,0.27,-0.12,-0.47,-0.84,0.26,1577006,15:12:16.969063
21,-0.06,-0.04,0.02,12.75,4.06,19.81,6.71,7.27,0.27,-0.12,-0.47,-0.84,0.26,1577042,15:12:17.002307
22,-0.00,-0.01,0.00,12.75,4.06,19.81,6.71,7.27,0.27,-0.12,-0.47,-0.84,0.26,1577086,15:12:17.044868
23,-0.00,-0.01,0.00,12.75,4.06,19.81,6.67,7.20,0.23,-0.12,-0.47,-0.84,0.26,1577132,15:12:17.089041
24,-0.00,-0.01,0.00,12.75,4.06,19.81,6.56,7.24,0.30,-0.12,-0.47,-0.84,0.26,1577199,15:12:17.158345
25,-0.00,-0.01,0.00,12.75,4.06,19.81,6.63,7.27,0.19,-0.12,-0.47,-0.84,0.26,1577305,15:12:17.260907
26,0.04,0.05,-0.02,12.75,4.06,19.81,6.63,7.27,0.19,-0.12,-0.47,-0.84,0.26,1577344,15:12:17.302644
27,0.05,0.02,-0.03,12.75,4.06,19.81,6.63,7.27,0.19,-0.12,-0.47,-0.84,0.26,1577377,15:12:17.336479
28,0.05,0.02,-0.03,12.75,4.06,19.81,6.63,7.27,0.30,-0.12,-0.47,-0.84,0.26,1577437,15:12:17.402159
29,0.05,0.02,-0.03,12.75,4.06,19.81,6.75,7.20,0.34,-0.12,-0.47,-0.84,0.26,1577472,15:12:17.436200
30,0.05,0.02,-0.03,12.75,4.06,19.81,6.75,7.20,0.27,-0.12,-0.47,-0.84,0.26,1577512,15:12:17.476626
31,0.07,0.03,-0.03,12.75,4.06,19.81,6.75,7.20,0.27,-0.12,-0.47,-0.84,0.26,1577579,15:12:17.543611
32,0.07,0.03,-0.03,12.75,4.06,19.81,6.94,7.24,0.19,-0.12,-0.47,-0.84,0.26,1577622,15:12:17.578685
33,0.07,0.03,-0.03,12.75,4.06,19.81,6.82,6.62,0.23,-0.12,-0.47,-0.84,0.26,1577680,15:12:17.635821
34,0.08,-0.14,-0.06,12.75,4.06,19.81,6.82,6.62,0.23,-0.12,-0.47,-0.84,0.26,1577732,15:12:17.692738
35,0.08,-0.14,-0.06,12.75,4.06,19.81,7.09,6.62,0.61,-0.12,-0.47,-0.84,0.26,1577828,15:12:17.785799
36,0.08,-0.14,-0.06,12.75,4.06,19.81,7.29,6.70,1.19,-0.12,-0.47,-0.84,0.26,1577886,15:12:17.843776
37,0.08,-0.14,-0.06,12.75,4.06,19.81,6.79,7.24,3.02,-0.12,-0.47,-0.84,0.26,1577941,15:12:17.900286
38,0.08,-0.14,-0.06,12.75,4.06,19.81,5.83,7.96,3.14,-0.12,-0.47,-0.84,0.26,1577996,15:12:17.953968
39,0.08,-0.14,-0.06,12.75,4.06,19.81,5.60,8.73,4.17,-0.12,-0.47,-0.84,0.26,1578039,15:12:18.000327
40,-1.19,0.83,-0.47,12.75,4.06,19.81,5.60,8.73,4.17,-0.12,-0.47,-0.84,0.26,1578105,15:12:18.069099
41,-1.19,0.83,-0.47,12.75,4.06,19.81,3.72,9.42,5.17,-0.12,-0.47,-0.84,0.26,1578146,15:12:18.102884
42,-1.19,0.83,-0.47,12.75,4.06,19.81,4.49,9.84,7.39,-0.12,-0.47,-0.84,0.26,1578188,15:12:18.152294
43,-1.19,0.83,-0.47,12.75,4.06,19.81,3.00,10.34,8.96,-0.12,-0.47,-0.84,0.26,1578233,15:12:18.195404
44,-1.19,0.83,-0.47,12.75,4.06,19.81,5.60,9.65,8.73,-0.12,-0.47,-0.84,0.26,1578308,15:12:18.252684
45,-1.19,0.83,-0.47,12.75,4.06,19.81,4.49,8.35,8.50,-0.12,-0.47,-0.84,0.26,1578347,15:12:18.310470
46,-1.19,0.83,-0.47,12.75,4.06,19.81,3.76,5.89,7.16,-0.12,-0.47,-0.84,0.26,1578379,15:12:18.344294
47,-1.19,0.83,-0.47,12.75,4.06,19.81,3.64,4.90,6.47,-0.12,-0.47,-0.84,0.26,1578462,15:12:18.426688
48,-1.19,0.83,-0.47,12.75,4.06,19.81,3.30,4.48,5.21,-0.12,-0.47,-0.84,0.26,1578504,15:12:18.469586
49,-1.19,0.83,-0.47,12.75,4.06,19.81,4.57,3.37,1.76,-0.12,-0.47,-0.84,0.26,1578542,15:12:18.505653
50,-0.82,-1.38,-0.83,12.75,4.06,19.81,4.57,3.37,1.76,-0.12,-0.47,-0.84,0.26,1578642,15:12:18.599005
