,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,DirecHTion,SensorHTime,HTime,Label
0,0.03,0.04,0,-20.06,-12.44,0,-3.02,-9.08,1.08,-0.08,0.66,-0.68,0.32,356788,0,HT
1,0.02,0.04,0,-20.06,-12.44,0,-3.02,-9.08,1.08,-0.08,0.66,-0.68,0.32,357798,1010,HT
2,0.02,0.04,0,-20.06,-12.44,0,-2.99,-9.08,1.12,-0.08,0.66,-0.68,0.32,358810,2022,HT
3,0.02,0.04,0,-20.06,-12.44,0,-2.95,-9.16,1.04,-0.08,0.66,-0.68,0.32,359558,2770,HT
4,0.02,0.04,0,-20.06,-12.44,0,-3.14,-9.16,1.04,-0.08,0.66,-0.68,0.32,359592,2804,HT
5,0.02,0.04,0,-20.06,-12.44,0,-2.83,-9.12,0.96,-0.08,0.66,-0.68,0.32,359610,2822,HT
6,0.02,0.04,0,-22.12,-13.19,10,-2.83,-9.12,0.96,-0.08,0.66,-0.68,0.32,359630,2842,HT
7,0.02,0.04,0,-22.12,-13.19,10,-2.83,-9.2,0.93,-0.08,0.66,-0.68,0.32,359649,2861,HT
8,-0.01,-0.01,0.01,-22.12,-13.19,10,-2.83,-9.2,0.93,-0.08,0.66,-0.68,0.32,359665,2877,HT
9,-0.01,-0.01,0.01,-22.12,-13.19,10,-2.83,-9.16,0.96,-0.08,0.66,-0.68,0.32,359679,2891,HT
10,-0.01,-0.01,0,-22.12,-13.19,10,-2.83,-9.16,0.96,-0.08,0.66,-0.68,0.32,359695,2907,HT
11,-0.01,-0.01,0,-22.12,-13.19,10,-2.83,-9.16,0.96,-0.1,0.66,-0.67,0.32,359784,2996,HT
12,-0.01,-0.01,0,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,359804,3016,HT
13,-0.01,-0.02,0,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,359832,3044,HT
14,-0.01,-0.02,0,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,359875,3087,HT
15,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,359898,3110,HT
16,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,359913,3125,HT
17,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,1,-0.1,0.66,-0.67,0.32,359926,3138,HT
18,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,0.96,-0.1,0.66,-0.67,0.32,359940,3152,HT
19,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,0.96,-0.1,0.66,-0.67,0.32,359960,3172,HT
20,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,0.96,-0.1,0.66,-0.67,0.32,359975,3187,HT
21,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,359999,3211,HT
22,0.01,0,0,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,360015,3227,HT
23,0.01,0,0,-22.12,-13.19,10,-2.91,-9.12,1,-0.1,0.66,-0.67,0.32,360030,3242,HT
24,0,-0.01,0,-22.12,-13.19,10,-2.91,-9.12,1,-0.1,0.66,-0.67,0.32,360044,3256,HT
25,0,-0.01,0,-22.12,-13.19,10,-2.91,-9.12,1,-0.1,0.66,-0.67,0.32,360064,3276,HT
26,0,-0.01,0,-22.12,-13.19,10,-2.87,-9.12,1.04,-0.1,0.66,-0.67,0.32,360077,3289,HT
27,0,-0.01,0,-22.12,-13.19,10,-2.87,-9.2,0.96,-0.1,0.66,-0.67,0.32,360100,3312,HT
28,0.01,0.03,0.01,-22.12,-13.19,10,-2.87,-9.2,0.96,-0.1,0.66,-0.67,0.32,360890,4102,HT
29,0.01,0.03,0.01,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,360915,4127,HT
30,0.11,0.36,-0.17,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,360932,4144,HT
31,0.11,0.36,-0.17,-22.12,-13.19,10,-2.3,-9.23,0.85,-0.1,0.66,-0.67,0.32,360947,4159,HT
32,0.06,0.62,-0.39,-22.12,-13.19,10,-2.3,-9.23,0.85,-0.1,0.66,-0.67,0.32,361312,4524,HT
33,0.06,0.62,-0.39,-22.12,-13.19,10,-1.87,-9.39,0.77,-0.1,0.66,-0.67,0.32,361343,4555,HT
34,0.06,0.62,-0.39,-22.12,-13.19,10,-1.76,-9.43,0.73,-0.1,0.66,-0.67,0.32,361357,4569,HT
35,0.06,0.62,-0.39,-21.81,-14.44,2.56,-1.76,-9.43,0.73,-0.1,0.66,-0.67,0.32,361374,4586,HT
36,0.06,0.62,-0.39,-21.81,-14.44,2.56,-2.03,-9.31,0.93,-0.1,0.66,-0.67,0.32,361392,4604,HT
37,0,0.62,-0.12,-21.81,-14.44,2.56,-2.03,-9.31,0.93,-0.1,0.66,-0.67,0.32,361407,4619,HT
38,0,0.62,-0.12,-21.81,-14.44,2.56,-2.03,-9.31,0.93,-0.11,0.68,-0.71,0.17,361439,4651,HT
39,0,0.62,-0.12,-21.81,-14.44,2.56,-2.3,-9.43,1.5,-0.11,0.68,-0.71,0.17,361456,4668,HT
40,-0.08,0.61,0.11,-21.81,-14.44,2.56,-2.3,-9.43,1.5,-0.11,0.68,-0.71,0.17,361472,4684,HT
41,-0.08,0.61,0.11,-21.81,-14.44,2.56,-2.61,-9.7,1.73,-0.11,0.68,-0.71,0.17,361487,4699,HT
42,-0.08,0.61,0.11,-21.81,-14.44,2.56,-2.53,-9.04,1.92,-0.11,0.68,-0.71,0.17,361502,4714,HT
43,-0.06,0.39,0.31,-21.81,-14.44,2.56,-2.53,-9.04,1.92,-0.11,0.68,-0.71,0.17,361729,4941,HT
44,-0.06,0.39,0.31,-21.81,-14.44,2.56,-2.18,-7.86,1.92,-0.11,0.68,-0.71,0.17,361785,4997,HT
45,0.44,-0.13,0.73,-21.81,-14.44,2.56,-2.18,-7.86,1.92,-0.11,0.68,-0.71,0.17,361804,5016,HT
46,0.49,-0.31,1.27,-21.81,-14.44,2.56,-2.18,-7.86,1.92,-0.11,0.68,-0.71,0.17,361821,5033,HT
47,0.49,-0.31,1.27,-21.81,-14.44,2.56,-6.01,-8.81,2.92,-0.11,0.68,-0.71,0.17,361838,5050,HT
48,0.49,-0.31,1.27,-21.81,-14.44,2.56,-5.63,-8.89,2.96,-0.11,0.68,-0.71,0.17,361855,5067,HT
49,0.6,-0.38,1.71,-21.81,-14.44,2.56,-5.63,-8.89,2.96,-0.11,0.68,-0.71,0.17,361875,5087,HT
50,0.6,-0.38,1.71,-21.81,-14.44,2.56,-6.43,-9.77,2.77,-0.11,0.68,-0.71,0.17,361889,5101,HT
51,0.62,-0.56,1.78,-21.81,-14.44,2.56,-6.43,-9.77,2.77,-0.11,0.68,-0.71,0.17,361903,5115,HT
52,0.62,-0.56,1.78,-21.81,-14.44,2.56,-6.43,-9.77,2.77,0.03,0.64,-0.72,0.26,361918,5130,HT
53,0.62,-0.56,1.78,-21.81,-14.44,2.56,-6.97,-12.49,2.54,0.03,0.64,-0.72,0.26,361932,5144,HT
54,0.62,-0.56,1.78,-21.81,-14.44,2.56,-6.36,-13.95,1.96,0.03,0.64,-0.72,0.26,361946,5158,HT
55,0.75,0.08,1.75,-21.81,-14.44,2.56,-6.36,-13.95,1.96,0.03,0.64,-0.72,0.26,361961,5173,HT
56,0.75,0.08,1.75,-23.5,-1.62,-5.5,-6.36,-13.95,1.96,0.03,0.64,-0.72,0.26,361974,5186,HT
57,0.75,0.08,1.75,-23.5,-1.62,-5.5,-5.48,-12.07,1.54,0.03,0.64,-0.72,0.26,362276,5488,HT
58,0.69,-0.04,2.14,-23.5,-1.62,-5.5,-5.48,-12.07,1.54,0.03,0.64,-0.72,0.26,362302,5514,HT
59,0.69,-0.04,2.14,-23.5,-1.62,-5.5,-2.64,-6.86,0.24,0.03,0.64,-0.72,0.26,362316,5528,HT
60,0.69,-0.04,2.14,-23.5,-1.62,-5.5,-2.8,-6.79,0.12,0.03,0.64,-0.72,0.26,362332,5544,HT
61,-0.3,0.16,-0.35,-23.5,-1.62,-5.5,-2.8,-6.79,0.12,0.03,0.64,-0.72,0.26,362347,5559,HT
62,-0.3,0.16,-0.35,-23.5,-1.62,-5.5,-2.8,-6.79,0.12,0.19,0.51,-0.68,0.49,362362,5574,HT
63,-0.3,0.16,-0.35,-11,6.19,-21.62,-2.8,-6.79,0.12,0.19,0.51,-0.68,0.49,362630,5842,HT
64,-0.3,0.16,-0.35,-11,6.19,-21.62,-3.21,-6.79,0.58,0.19,0.51,-0.68,0.49,362657,5869,HT
65,-0.3,0.16,-0.35,-11,6.19,-21.62,-6.78,-13.34,2.3,0.19,0.51,-0.68,0.49,362672,5884,HT
66,-0.3,0.16,-0.35,-11,6.19,-21.62,-6.7,-16.13,2.23,0.19,0.51,-0.68,0.49,362702,5914,HT
67,-0.96,2.23,-2.22,-11,6.19,-21.62,-6.7,-16.13,2.23,0.19,0.51,-0.68,0.49,362729,5941,HT
68,-0.96,2.23,-2.22,-11,6.19,-21.62,-5.52,-13.87,1.96,0.19,0.51,-0.68,0.49,362755,5967,HT
69,-0.96,2.23,-2.22,-11,6.19,-21.62,-5.09,-10.12,1.54,0.19,0.51,-0.68,0.49,362777,5989,HT
70,-0.96,2.23,-2.22,-11,6.19,-21.62,-5.55,-7.13,1.88,0.19,0.51,-0.68,0.49,362793,6005,HT
71,-0.96,2.23,-2.22,-11,6.19,-21.62,-3.71,-6.63,1.62,0.19,0.51,-0.68,0.49,362818,6030,HT
72,0.06,0.09,0.16,-11,6.19,-21.62,-3.71,-6.63,1.62,0.19,0.51,-0.68,0.49,362837,6049,HT
73,0.06,0.09,0.16,-11,6.19,-21.62,-3.41,-6.94,1.46,0.19,0.51,-0.68,0.49,362851,6063,HT
74,0.21,0.41,0.43,-11,6.19,-21.62,-3.41,-6.94,1.46,0.19,0.51,-0.68,0.49,362867,6079,HT
75,0.21,0.41,0.43,-11,6.19,-21.62,-2.76,-7.36,1,0.19,0.51,-0.68,0.49,362882,6094,HT
76,0.21,0.41,0.43,-11,6.19,-21.62,-1.99,-7.39,0.73,0.19,0.51,-0.68,0.49,362898,6110,HT
